player,Position,Experience,Birth,Age,Salary
Aaron Gordon,PF,7,9/16/1995,26,16409091
Aaron Holiday,PG,3,9/30/1996,25,3980551
Aaron Nesmith,SF,1,10/16/1999,22,3631200
Al Horford,C,14,6/3/1986,35,27000000
Alex Caruso,SG,4,2/28/1994,27,8600000
Andre Drummond,C,9,8/10/1993,28,2401537
Andre Iguodala,SF,17,1/28/1984,37,2641691
Andrew Wiggins,SF,7,2/23/1995,26,31579390
Anthony Edwards,SG,1,8/5/2001,20,10245480
Armoni Brooks,SG-PG,1,6/5/1998,23,1739065
Austin Rivers,SG,9,8/1/1992,29,2401537
Ayo Dosunmu,SG,0,1/17/2000,21,925258
Bam Adebayo,C,4,7/18/1997,24,28103500
Bismack Biyombo,C,10,8/28/1992,29,1518213
Blake Griffin,C,11,3/16/1989,32,32405817
Boban Marjanovic,C,6,8/15/1988,33,3500000
Bobby Portis,C,6,2/10/1995,26,4347600
Bogdan Bogdanovic,SG,4,8/18/1992,29,18000000
Bojan Bogdanovic,PF,4,8/18/1992,29,18700000
Bones Hyland,SG,0,9/14/2000,21,2096880
Brandon Clarke,PF,2,9/19/1996,25,2726880
Brandon Ingram,SF,5,9/2/1997,24,29467800
Brook Lopez,C,13,4/1/1988,33,13302325
Bruce Brown,SF,3,8/15/1996,25,4736102
Bryn Forbes,SG,5,7/23/1993,28,4500000
CJ McCollum,SG,8,9/19/1991,30,30864198
Caleb Martin,SF,2,9/28/1995,26,844011
Cameron Johnson,PF,2,3/3/1996,25,4437000
Cameron Payne,PG,6,8/8/1994,27,6500000
Charles Bassey,C,0,10/28/2000,20,925258
Chris Boucher,SF,4,1/11/1993,28,7020000
Chris Paul,PG,16,5/6/1985,36,30800000
Clint Capela,C,7,5/18/1994,27,17603448
Coby White,PG,2,2/16/2000,21,5837760
D'Angelo Russell,PG,6,2/23/1996,25,30013500
Dalano Banton,PG,0,11/7/1999,21,925258
Damion Lee,SG,4,10/21/1992,28,1910860
Daniel Theis,C,4,4/4/1992,29,8280351
Danilo Gallinari,PF,12,8/8/1988,33,20475000
Danny Green,SF,12,6/22/1987,34,10000000
Danuel House Jr.,SF,5,6/7/1993,28,4997424
Davis Bertans,PF,5,11/12/1992,28,16000000
De'Andre Hunter,SF,2,12/2/1997,23,7775400
De'Anthony Melton,SG,3,5/28/1998,23,8805976
DeAndre Jordan,C,13,7/21/1988,33,11109327
