game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
22200004,2022-23 Regular Season,2022-10-19,Kristaps Porzingis,Kyle Kuzma,Monte Morris,Bradley Beal,Deni Avdija,Jalen Smith,Tyrese Haliburton,Chris Duarte,Buddy Hield,Terry Taylor,1,0,0,0:12:00,0:00:00,0:00:00,1,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
22200004,2022-23 Regular Season,2022-10-19,Kristaps Porzingis,Kyle Kuzma,Monte Morris,Bradley Beal,Deni Avdija,Jalen Smith,Tyrese Haliburton,Chris Duarte,Buddy Hield,Terry Taylor,1,0,0,0:12:00,0:00:00,0:00:00,2,IND,jump ball,,Kristaps Porzingis,Jalen Smith,,,,,,,Kristaps Porzingis,,Kyle Kuzma,,,,jump ball,,,,,,Jump Ball Smith vs. Porzingis: Tip to Kuzma
22200004,2022-23 Regular Season,2022-10-19,Kristaps Porzingis,Kyle Kuzma,Monte Morris,Bradley Beal,Deni Avdija,Jalen Smith,Tyrese Haliburton,Chris Duarte,Buddy Hield,Terry Taylor,1,0,0,0:11:45,0:00:15,0:00:15,3,IND,foul,,,,,,,,Kristaps Porzingis,,Jalen Smith,,,s.foul,,,shooting,,,,,,Smith S.FOUL (P1.T1) (A.Moyer-Gleich)
22200004,2022-23 Regular Season,2022-10-19,Kristaps Porzingis,Kyle Kuzma,Monte Morris,Bradley Beal,Deni Avdija,Jalen Smith,Tyrese Haliburton,Chris Duarte,Buddy Hield,Terry Taylor,1,0,0,0:11:45,0:00:15,0:00:00,4,WAS,free throw,,,,,,,1,,2,Kristaps Porzingis,0,,,missed,,free throw 1/2,,,,,,MISS Porzingis Free Throw 1 of 2
22200004,2022-23 Regular Season,2022-10-19,Kristaps Porzingis,Kyle Kuzma,Monte Morris,Bradley Beal,Deni Avdija,Jalen Smith,Tyrese Haliburton,Chris Duarte,Buddy Hield,Terry Taylor,1,0,0,0:11:45,0:00:15,0:00:00,5,WAS,rebound,,,,,,,,,,,,,,,,team rebound,,,,,,Wizards Rebound
22200004,2022-23 Regular Season,2022-10-19,Kristaps Porzingis,Kyle Kuzma,Monte Morris,Bradley Beal,Deni Avdija,Jalen Smith,Tyrese Haliburton,Chris Duarte,Buddy Hield,Terry Taylor,1,1,0,0:11:45,0:00:15,0:00:00,6,WAS,free throw,,,,,,,2,,2,Kristaps Porzingis,1,,,made,,free throw 2/2,,,,,,Porzingis Free Throw 2 of 2 (1 PTS)
22200004,2022-23 Regular Season,2022-10-19,Kristaps Porzingis,Kyle Kuzma,Monte Morris,Bradley Beal,Deni Avdija,Jalen Smith,Tyrese Haliburton,Chris Duarte,Buddy Hield,Terry Taylor,1,1,0,0:11:36,0:00:24,0:00:09,7,IND,shot,,,,,,,,,,Jalen Smith,0,,,missed,,3pt jump shot,26,-208,157,4.199999999999999,73.3,MISS Smith 26' 3PT Jump Shot
22200004,2022-23 Regular Season,2022-10-19,Kristaps Porzingis,Kyle Kuzma,Monte Morris,Bradley Beal,Deni Avdija,Jalen Smith,Tyrese Haliburton,Chris Duarte,Buddy Hield,Terry Taylor,1,1,0,0:11:31,0:00:29,0:00:05,8,WAS,rebound,,,,,,,,,,Monte Morris,,,,,,rebound defensive,,,,,,Morris REBOUND (Off:0 Def:1)
22200004,2022-23 Regular Season,2022-10-19,Kristaps Porzingis,Kyle Kuzma,Monte Morris,Bradley Beal,Deni Avdija,Jalen Smith,Tyrese Haliburton,Chris Duarte,Buddy Hield,Terry Taylor,1,4,0,0:11:20,0:00:40,0:00:11,9,WAS,shot,Kristaps Porzingis,,,,,,,,,Bradley Beal,3,,,made,,3pt jump shot,25,-234,77,48.400000000000006,12.7,Beal 25' 3PT Jump Shot (3 PTS) (Porzingis 1 AST)
22200004,2022-23 Regular Season,2022-10-19,Kristaps Porzingis,Kyle Kuzma,Monte Morris,Bradley Beal,Deni Avdija,Jalen Smith,Tyrese Haliburton,Chris Duarte,Buddy Hield,Terry Taylor,1,4,3,0:11:12,0:00:48,0:00:08,10,IND,shot,,,,,,,,,,Tyrese Haliburton,3,,,made,,3pt pullup jump shot,26,92,239,34.2,65.1,Haliburton 26' 3PT Pullup Jump Shot (3 PTS)
22200004,2022-23 Regular Season,2022-10-19,Kristaps Porzingis,Kyle Kuzma,Monte Morris,Bradley Beal,Deni Avdija,Jalen Smith,Tyrese Haliburton,Chris Duarte,Buddy Hield,Terry Taylor,1,4,3,0:10:52,0:01:08,0:00:20,11,WAS,shot,,,,,,,,,,Kristaps Porzingis,0,,,missed,,3pt step back jump shot,26,4,262,24.6,31.200000000000003,MISS Porzingis 26' 3PT Step Back Jump Shot
22200004,2022-23 Regular Season,2022-10-19,Kristaps Porzingis,Kyle Kuzma,Monte Morris,Bradley Beal,Deni Avdija,Jalen Smith,Tyrese Haliburton,Chris Duarte,Buddy Hield,Terry Taylor,1,4,3,0:10:50,0:01:10,0:00:02,12,IND,rebound,,,,,,,,,,Chris Duarte,,,,,,rebound defensive,,,,,,Duarte REBOUND (Off:0 Def:1)
22200004,2022-23 Regular Season,2022-10-19,Kristaps Porzingis,Kyle Kuzma,Monte Morris,Bradley Beal,Deni Avdija,Jalen Smith,Tyrese Haliburton,Chris Duarte,Buddy Hield,Terry Taylor,1,4,3,0:10:41,0:01:19,0:00:09,13,IND,turnover,,,,,,,,,,Tyrese Haliburton,,,bad pass,,Monte Morris,bad pass,,,,,,Haliburton Bad Pass Turnover (P1.T1): Morris STEAL (1 STL)
22200004,2022-23 Regular Season,2022-10-19,Kristaps Porzingis,Kyle Kuzma,Monte Morris,Bradley Beal,Deni Avdija,Jalen Smith,Tyrese Haliburton,Chris Duarte,Buddy Hield,Terry Taylor,1,6,3,0:10:39,0:01:21,0:00:02,14,WAS,shot,,,,,,,,,,Monte Morris,2,,,made,,layup,1,13,0,23.7,5.0,Morris 1' Running Finger Roll Layup (2 PTS)
22200004,2022-23 Regular Season,2022-10-19,Kristaps Porzingis,Kyle Kuzma,Monte Morris,Bradley Beal,Deni Avdija,Jalen Smith,Tyrese Haliburton,Chris Duarte,Buddy Hield,Terry Taylor,1,6,3,0:10:35,0:01:25,0:00:04,15,IND,turnover,,,,,,,,,,Tyrese Haliburton,,,out of bounds lost ball,,,out of bounds lost ball,,,,,,Haliburton Out of Bounds Lost Ball Turnover (P2.T2)
22200004,2022-23 Regular Season,2022-10-19,Kristaps Porzingis,Kyle Kuzma,Monte Morris,Bradley Beal,Deni Avdija,Jalen Smith,Tyrese Haliburton,Chris Duarte,Buddy Hield,Terry Taylor,1,8,3,0:10:31,0:01:29,0:00:04,16,WAS,shot,Monte Morris,,,,,,,,,Kristaps Porzingis,2,,,made,,cutting dunk shot,2,1,20,24.9,7.0,Porzingis 2' Cutting Dunk Shot (3 PTS) (Morris 1 AST)
22200004,2022-23 Regular Season,2022-10-19,Kristaps Porzingis,Kyle Kuzma,Monte Morris,Bradley Beal,Deni Avdija,Jalen Smith,Tyrese Haliburton,Chris Duarte,Buddy Hield,Terry Taylor,1,8,3,0:10:30,0:01:30,0:00:01,17,IND,timeout,,,,,,,,,,,,,,,,timeout: regular,,,,,,PACERS Timeout: Regular (Full 1 Short 0)
22200004,2022-23 Regular Season,2022-10-19,Kristaps Porzingis,Kyle Kuzma,Monte Morris,Bradley Beal,Deni Avdija,Jalen Smith,Tyrese Haliburton,Chris Duarte,Buddy Hield,Terry Taylor,1,8,3,0:10:17,0:01:43,0:00:13,18,IND,shot,,,,,,,,,,Chris Duarte,0,,,missed,,3pt jump shot,23,-234,10,1.5999999999999979,88.0,MISS Duarte 3PT Jump Shot
22200004,2022-23 Regular Season,2022-10-19,Kristaps Porzingis,Kyle Kuzma,Monte Morris,Bradley Beal,Deni Avdija,Jalen Smith,Tyrese Haliburton,Chris Duarte,Buddy Hield,Terry Taylor,1,8,3,0:10:12,0:01:48,0:00:05,19,WAS,rebound,,,,,,,,,,Kyle Kuzma,,,,,,rebound defensive,,,,,,Kuzma REBOUND (Off:0 Def:1)
22200004,2022-23 Regular Season,2022-10-19,Kristaps Porzingis,Kyle Kuzma,Monte Morris,Bradley Beal,Deni Avdija,Jalen Smith,Tyrese Haliburton,Chris Duarte,Buddy Hield,Terry Taylor,1,10,3,0:10:05,0:01:55,0:00:07,20,WAS,shot,Kyle Kuzma,,,,,,,,,Deni Avdija,2,,,made,,cutting dunk shot,3,-18,19,26.8,6.9,Avdija 3' Cutting Dunk Shot (2 PTS) (Kuzma 1 AST)
22200004,2022-23 Regular Season,2022-10-19,Kristaps Porzingis,Kyle Kuzma,Monte Morris,Bradley Beal,Deni Avdija,Jalen Smith,Tyrese Haliburton,Chris Duarte,Buddy Hield,Terry Taylor,1,10,6,0:09:42,0:02:18,0:00:23,21,IND,shot,,,,,,,,,,Buddy Hield,3,,,made,,3pt step back jump shot,30,-142,260,10.799999999999999,63.0,Hield 30' 3PT Step Back Jump Shot (3 PTS)
22200004,2022-23 Regular Season,2022-10-19,Kristaps Porzingis,Kyle Kuzma,Monte Morris,Bradley Beal,Deni Avdija,Jalen Smith,Tyrese Haliburton,Chris Duarte,Buddy Hield,Terry Taylor,1,10,6,0:09:25,0:02:35,0:00:17,22,WAS,shot,,,,,,,,,,Kristaps Porzingis,0,,,missed,,3pt jump shot,26,-20,264,27.0,31.400000000000002,MISS Porzingis 26' 3PT Jump Shot
22200004,2022-23 Regular Season,2022-10-19,Kristaps Porzingis,Kyle Kuzma,Monte Morris,Bradley Beal,Deni Avdija,Jalen Smith,Tyrese Haliburton,Chris Duarte,Buddy Hield,Terry Taylor,1,10,6,0:09:22,0:02:38,0:00:03,23,IND,rebound,,,,,,,,,,Buddy Hield,,,,,,rebound defensive,,,,,,Hield REBOUND (Off:0 Def:1)
22200004,2022-23 Regular Season,2022-10-19,Kristaps Porzingis,Kyle Kuzma,Monte Morris,Bradley Beal,Deni Avdija,Jalen Smith,Tyrese Haliburton,Chris Duarte,Buddy Hield,Terry Taylor,1,10,6,0:09:16,0:02:44,0:00:06,24,IND,shot,,,,,,,,,,Jalen Smith,0,,,missed,,3pt running jump shot,26,66,249,31.6,64.1,MISS Smith 26' 3PT Running Jump Shot
22200004,2022-23 Regular Season,2022-10-19,Kristaps Porzingis,Kyle Kuzma,Monte Morris,Bradley Beal,Deni Avdija,Jalen Smith,Tyrese Haliburton,Chris Duarte,Buddy Hield,Terry Taylor,1,10,6,0:09:13,0:02:47,0:00:03,25,WAS,rebound,,,,,,,,,,Kyle Kuzma,,,,,,rebound defensive,,,,,,Kuzma REBOUND (Off:0 Def:2)
22200004,2022-23 Regular Season,2022-10-19,Kristaps Porzingis,Kyle Kuzma,Monte Morris,Bradley Beal,Deni Avdija,Jalen Smith,Tyrese Haliburton,Chris Duarte,Buddy Hield,Terry Taylor,1,10,6,0:09:11,0:02:49,0:00:02,26,IND,foul,,,,,,,,Kristaps Porzingis,,Jalen Smith,,,s.foul,,,shooting,,,,,,Smith S.FOUL (P2.T2) (B.Barnaky)
22200004,2022-23 Regular Season,2022-10-19,Kristaps Porzingis,Kyle Kuzma,Monte Morris,Bradley Beal,Deni Avdija,Jalen Smith,Tyrese Haliburton,Chris Duarte,Buddy Hield,Terry Taylor,1,11,6,0:09:11,0:02:49,0:00:00,27,WAS,free throw,,,,,,,1,,2,Kristaps Porzingis,1,,,made,,free throw 1/2,,,,,,Porzingis Free Throw 1 of 2 (4 PTS)
22200004,2022-23 Regular Season,2022-10-19,Kristaps Porzingis,Kyle Kuzma,Monte Morris,Bradley Beal,Deni Avdija,Jalen Smith,Tyrese Haliburton,Chris Duarte,Buddy Hield,Terry Taylor,1,11,6,0:09:11,0:02:49,0:00:00,28,WAS,free throw,,,,,,,2,,2,Kristaps Porzingis,0,,,missed,,free throw 2/2,,,,,,MISS Porzingis Free Throw 2 of 2
22200004,2022-23 Regular Season,2022-10-19,Kristaps Porzingis,Kyle Kuzma,Monte Morris,Bradley Beal,Deni Avdija,Isaiah Jackson,Tyrese Haliburton,Chris Duarte,Buddy Hield,Terry Taylor,1,11,6,0:09:11,0:02:49,0:00:00,29,IND,substitution,,,,,Isaiah Jackson,Jalen Smith,,,,Jalen Smith,,,,,,sub,,,,,,SUB: Jackson FOR Smith
22200004,2022-23 Regular Season,2022-10-19,Kristaps Porzingis,Kyle Kuzma,Monte Morris,Bradley Beal,Deni Avdija,Isaiah Jackson,Tyrese Haliburton,Chris Duarte,Buddy Hield,Terry Taylor,1,11,6,0:09:10,0:02:50,0:00:01,30,IND,rebound,,,,,,,,,,Buddy Hield,,,,,,rebound defensive,,,,,,Hield REBOUND (Off:0 Def:2)
22200004,2022-23 Regular Season,2022-10-19,Kristaps Porzingis,Kyle Kuzma,Monte Morris,Bradley Beal,Deni Avdija,Isaiah Jackson,Tyrese Haliburton,Chris Duarte,Buddy Hield,Terry Taylor,1,11,6,0:09:01,0:02:59,0:00:09,31,IND,shot,,,,,,,,,,Buddy Hield,0,,,missed,,3pt jump shot,26,132,223,38.2,66.7,MISS Hield 26' 3PT Jump Shot
22200004,2022-23 Regular Season,2022-10-19,Kristaps Porzingis,Kyle Kuzma,Monte Morris,Bradley Beal,Deni Avdija,Isaiah Jackson,Tyrese Haliburton,Chris Duarte,Buddy Hield,Terry Taylor,1,11,6,0:08:58,0:03:02,0:00:03,32,WAS,rebound,,,,,,,,,,,,,,,,rebound defensive,,,,,,Wizards Rebound
22200004,2022-23 Regular Season,2022-10-19,Kristaps Porzingis,Kyle Kuzma,Monte Morris,Bradley Beal,Deni Avdija,Isaiah Jackson,Tyrese Haliburton,Chris Duarte,Buddy Hield,Terry Taylor,1,11,6,0:08:47,0:03:13,0:00:11,33,IND,foul,,,,,,,,Kyle Kuzma,,Tyrese Haliburton,,,s.foul,,,shooting,,,,,,Haliburton S.FOUL (P1.T3) (S.Foster)
22200004,2022-23 Regular Season,2022-10-19,Kristaps Porzingis,Kyle Kuzma,Monte Morris,Bradley Beal,Deni Avdija,Isaiah Jackson,Tyrese Haliburton,Chris Duarte,Buddy Hield,Terry Taylor,1,11,6,0:08:47,0:03:13,0:00:00,34,WAS,free throw,,,,,,,1,,2,Kyle Kuzma,0,,,missed,,free throw 1/2,,,,,,MISS Kuzma Free Throw 1 of 2
22200004,2022-23 Regular Season,2022-10-19,Kristaps Porzingis,Kyle Kuzma,Monte Morris,Bradley Beal,Deni Avdija,Isaiah Jackson,Tyrese Haliburton,Chris Duarte,Buddy Hield,Terry Taylor,1,11,6,0:08:47,0:03:13,0:00:00,35,WAS,rebound,,,,,,,,,,,,,,,,team rebound,,,,,,Wizards Rebound
22200004,2022-23 Regular Season,2022-10-19,Kristaps Porzingis,Kyle Kuzma,Monte Morris,Bradley Beal,Deni Avdija,Isaiah Jackson,Tyrese Haliburton,Chris Duarte,Buddy Hield,Terry Taylor,1,12,6,0:08:47,0:03:13,0:00:00,36,WAS,free throw,,,,,,,2,,2,Kyle Kuzma,1,,,made,,free throw 2/2,,,,,,Kuzma Free Throw 2 of 2 (1 PTS)
22200004,2022-23 Regular Season,2022-10-19,Kristaps Porzingis,Kyle Kuzma,Monte Morris,Bradley Beal,Deni Avdija,Isaiah Jackson,Tyrese Haliburton,Chris Duarte,Buddy Hield,Terry Taylor,1,12,6,0:08:28,0:03:32,0:00:19,37,IND,turnover,,,,,,,,,,Terry Taylor,,,bad pass,,Monte Morris,bad pass,,,,,,Taylor Bad Pass Turnover (P1.T3): Morris STEAL (2 STL)
22200004,2022-23 Regular Season,2022-10-19,Kristaps Porzingis,Kyle Kuzma,Monte Morris,Bradley Beal,Deni Avdija,Isaiah Jackson,Tyrese Haliburton,Chris Duarte,Buddy Hield,Terry Taylor,1,12,6,0:08:25,0:03:35,0:00:03,38,WAS,shot,,,,,,,,,,Monte Morris,0,,,missed,,layup,3,22,17,22.8,6.7,MISS Morris 3' Running Finger Roll Layup
22200004,2022-23 Regular Season,2022-10-19,Kristaps Porzingis,Kyle Kuzma,Monte Morris,Bradley Beal,Deni Avdija,Isaiah Jackson,Tyrese Haliburton,Chris Duarte,Buddy Hield,Terry Taylor,1,12,6,0:08:20,0:03:40,0:00:05,39,IND,rebound,,,,,,,,,,Buddy Hield,,,,,,rebound defensive,,,,,,Hield REBOUND (Off:0 Def:3)
22200004,2022-23 Regular Season,2022-10-19,Kristaps Porzingis,Kyle Kuzma,Monte Morris,Bradley Beal,Deni Avdija,Isaiah Jackson,Tyrese Haliburton,Chris Duarte,Buddy Hield,Terry Taylor,1,12,9,0:08:18,0:03:42,0:00:02,40,IND,shot,,,,,,,,,,Tyrese Haliburton,3,,,made,,3pt pullup jump shot,26,-89,244,16.1,64.6,Haliburton 26' 3PT Pullup Jump Shot (6 PTS)
22200004,2022-23 Regular Season,2022-10-19,Kristaps Porzingis,Kyle Kuzma,Monte Morris,Bradley Beal,Deni Avdija,Isaiah Jackson,Tyrese Haliburton,Chris Duarte,Buddy Hield,Terry Taylor,1,15,9,0:07:58,0:04:02,0:00:20,41,WAS,shot,Bradley Beal,,,,,,,,,Kyle Kuzma,3,,,made,,3pt jump shot,25,-197,153,44.7,20.3,Kuzma 25' 3PT Jump Shot (4 PTS) (Beal 1 AST)
22200004,2022-23 Regular Season,2022-10-19,Kristaps Porzingis,Kyle Kuzma,Monte Morris,Bradley Beal,Deni Avdija,Isaiah Jackson,Tyrese Haliburton,Chris Duarte,Buddy Hield,Terry Taylor,1,15,9,0:07:48,0:04:12,0:00:10,42,IND,shot,,,,,,,,,,Tyrese Haliburton,0,,,missed,,3pt pullup jump shot,28,60,272,31.0,61.8,MISS Haliburton 28' 3PT Pullup Jump Shot
22200004,2022-23 Regular Season,2022-10-19,Kristaps Porzingis,Kyle Kuzma,Monte Morris,Bradley Beal,Deni Avdija,Isaiah Jackson,Tyrese Haliburton,Chris Duarte,Buddy Hield,Terry Taylor,1,15,9,0:07:45,0:04:15,0:00:03,43,WAS,rebound,,,,,,,,,,Kyle Kuzma,,,,,,rebound defensive,,,,,,Kuzma REBOUND (Off:0 Def:3)
22200004,2022-23 Regular Season,2022-10-19,Kristaps Porzingis,Kyle Kuzma,Monte Morris,Bradley Beal,Deni Avdija,Isaiah Jackson,Tyrese Haliburton,Chris Duarte,Buddy Hield,Terry Taylor,1,18,9,0:07:29,0:04:31,0:00:16,44,WAS,shot,Bradley Beal,,,,,,,,,Kyle Kuzma,3,,,made,,3pt jump shot,26,83,246,16.7,29.6,Kuzma 26' 3PT Jump Shot (7 PTS) (Beal 2 AST)
22200004,2022-23 Regular Season,2022-10-19,Kristaps Porzingis,Kyle Kuzma,Monte Morris,Bradley Beal,Deni Avdija,Isaiah Jackson,Tyrese Haliburton,Chris Duarte,Buddy Hield,Terry Taylor,1,18,9,0:07:13,0:04:47,0:00:16,45,IND,shot,,,,,,,,,,Terry Taylor,0,,,missed,,jump shot,12,-26,115,22.4,77.5,MISS Taylor 12' Jump Shot
22200004,2022-23 Regular Season,2022-10-19,Kristaps Porzingis,Kyle Kuzma,Monte Morris,Bradley Beal,Deni Avdija,Isaiah Jackson,Tyrese Haliburton,Chris Duarte,Buddy Hield,Terry Taylor,1,18,9,0:07:09,0:04:51,0:00:04,46,IND,rebound,,,,,,,,,,Buddy Hield,,,,,,rebound offensive,,,,,,Hield REBOUND (Off:1 Def:3)
22200004,2022-23 Regular Season,2022-10-19,Kristaps Porzingis,Kyle Kuzma,Monte Morris,Bradley Beal,Deni Avdija,Isaiah Jackson,Tyrese Haliburton,Chris Duarte,Buddy Hield,Terry Taylor,1,18,11,0:07:01,0:04:59,0:00:08,47,IND,shot,,,,,,,,,,Tyrese Haliburton,2,,,made,,jump shot,17,163,59,41.3,83.1,Haliburton 17' Pullup Jump Shot (8 PTS)
