game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
22200049,2022-23 Regular Season,2022-10-24,Nic Claxton,Royce O'Neale,Ben Simmons,Kyrie Irving,Kevin Durant,Steven Adams,Dillon Brooks,Ja Morant,Desmond Bane,Santi Aldama,1,0,0,0:12:00,0:00:00,0:00:00,1,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
22200049,2022-23 Regular Season,2022-10-24,Nic Claxton,Royce O'Neale,Ben Simmons,Kyrie Irving,Kevin Durant,Steven Adams,Dillon Brooks,Ja Morant,Desmond Bane,Santi Aldama,1,0,0,0:12:00,0:00:00,0:00:00,2,MEM,jump ball,,Nic Claxton,Steven Adams,,,,,,,Nic Claxton,,Royce O'Neale,,,,jump ball,,,,,,Jump Ball Adams vs. Claxton: Tip to O'Neale
22200049,2022-23 Regular Season,2022-10-24,Nic Claxton,Royce O'Neale,Ben Simmons,Kyrie Irving,Kevin Durant,Steven Adams,Dillon Brooks,Ja Morant,Desmond Bane,Santi Aldama,1,0,0,0:11:55,0:00:05,0:00:05,3,BKN,shot,,,,,,,,,,Royce O'Neale,0,,,missed,,layup,6,-26,50,27.6,10.0,MISS O'Neale 6' Driving Finger Roll Layup
22200049,2022-23 Regular Season,2022-10-24,Nic Claxton,Royce O'Neale,Ben Simmons,Kyrie Irving,Kevin Durant,Steven Adams,Dillon Brooks,Ja Morant,Desmond Bane,Santi Aldama,1,0,0,0:11:52,0:00:08,0:00:03,4,MEM,rebound,,,,,,,,,,Steven Adams,,,,,,rebound defensive,,,,,,Adams REBOUND (Off:0 Def:1)
22200049,2022-23 Regular Season,2022-10-24,Nic Claxton,Royce O'Neale,Ben Simmons,Kyrie Irving,Kevin Durant,Steven Adams,Dillon Brooks,Ja Morant,Desmond Bane,Santi Aldama,1,0,0,0:11:37,0:00:23,0:00:15,5,MEM,shot,,,,,,,,,,Steven Adams,0,,,missed,,cutting layup shot,2,13,14,26.3,87.6,MISS Adams 2' Cutting Layup Shot
22200049,2022-23 Regular Season,2022-10-24,Nic Claxton,Royce O'Neale,Ben Simmons,Kyrie Irving,Kevin Durant,Steven Adams,Dillon Brooks,Ja Morant,Desmond Bane,Santi Aldama,1,0,0,0:11:36,0:00:24,0:00:01,6,MEM,rebound,,,,,,,,,,Steven Adams,,,,,,rebound offensive,,,,,,Adams REBOUND (Off:1 Def:1)
22200049,2022-23 Regular Season,2022-10-24,Nic Claxton,Royce O'Neale,Ben Simmons,Kyrie Irving,Kevin Durant,Steven Adams,Dillon Brooks,Ja Morant,Desmond Bane,Santi Aldama,1,0,0,0:11:34,0:00:26,0:00:02,7,MEM,shot,,,,,,,,,,Dillon Brooks,0,,,missed,,3pt jump shot,25,221,113,47.1,77.7,MISS Brooks 25' 3PT Jump Shot
22200049,2022-23 Regular Season,2022-10-24,Nic Claxton,Royce O'Neale,Ben Simmons,Kyrie Irving,Kevin Durant,Steven Adams,Dillon Brooks,Ja Morant,Desmond Bane,Santi Aldama,1,0,0,0:11:30,0:00:30,0:00:04,8,BKN,rebound,,,,,,,,,,Ben Simmons,,,,,,rebound defensive,,,,,,Simmons REBOUND (Off:0 Def:1)
22200049,2022-23 Regular Season,2022-10-24,Nic Claxton,Royce O'Neale,Ben Simmons,Kyrie Irving,Kevin Durant,Steven Adams,Dillon Brooks,Ja Morant,Desmond Bane,Santi Aldama,1,0,0,0:11:19,0:00:41,0:00:11,9,MEM,foul,,,,,,,,Kyrie Irving,,Dillon Brooks,,,p.foul,,,personal,,,,,,Brooks P.FOUL (P1.T1) (S.Wright)
22200049,2022-23 Regular Season,2022-10-24,Nic Claxton,Royce O'Neale,Ben Simmons,Kyrie Irving,Kevin Durant,Steven Adams,Dillon Brooks,Ja Morant,Desmond Bane,Santi Aldama,1,0,0,0:11:08,0:00:52,0:00:11,10,BKN,shot,,,,Steven Adams,,,,,,Kevin Durant,0,,,missed,,jump shot,15,-134,63,38.4,11.3,Adams BLOCK (1 BLK): MISS Durant 15' Pullup Jump Shot
