game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
22200050,2022-23 Regular Season,2022-10-24,Jakob Poeltl,Tre Jones,Devin Vassell,Jeremy Sochan,Keldon Johnson,Rudy Gobert,D'Angelo Russell,Anthony Edwards,Karl-Anthony Towns,Jaden McDaniels,1,0,0,0:12:00,0:00:00,0:00:00,1,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
22200050,2022-23 Regular Season,2022-10-24,Jakob Poeltl,Tre Jones,Devin Vassell,Jeremy Sochan,Keldon Johnson,Rudy Gobert,D'Angelo Russell,Anthony Edwards,Karl-Anthony Towns,Jaden McDaniels,1,0,0,0:12:00,0:00:00,0:00:00,2,MIN,jump ball,,Jakob Poeltl,Rudy Gobert,,,,,,,Rudy Gobert,,D'Angelo Russell,,,,jump ball,,,,,,Jump Ball Gobert vs. Poeltl: Tip to Russell
22200050,2022-23 Regular Season,2022-10-24,Jakob Poeltl,Tre Jones,Devin Vassell,Jeremy Sochan,Keldon Johnson,Rudy Gobert,D'Angelo Russell,Anthony Edwards,Karl-Anthony Towns,Jaden McDaniels,1,0,3,0:11:43,0:00:17,0:00:17,3,MIN,shot,Rudy Gobert,,,,,,,,,D'Angelo Russell,3,,,made,,3pt jump shot,25,119,222,36.9,66.8,Russell 25' 3PT Jump Shot (3 PTS) (Gobert 1 AST)
22200050,2022-23 Regular Season,2022-10-24,Jakob Poeltl,Tre Jones,Devin Vassell,Jeremy Sochan,Keldon Johnson,Rudy Gobert,D'Angelo Russell,Anthony Edwards,Karl-Anthony Towns,Jaden McDaniels,1,0,3,0:11:28,0:00:32,0:00:15,4,SAS,shot,,,,,,,,,,Tre Jones,0,,,missed,,3pt jump shot,25,-176,172,42.6,22.2,MISS Jones 25' 3PT Jump Shot
22200050,2022-23 Regular Season,2022-10-24,Jakob Poeltl,Tre Jones,Devin Vassell,Jeremy Sochan,Keldon Johnson,Rudy Gobert,D'Angelo Russell,Anthony Edwards,Karl-Anthony Towns,Jaden McDaniels,1,0,3,0:11:26,0:00:34,0:00:02,5,MIN,rebound,,,,,,,,,,Anthony Edwards,,,,,,rebound defensive,,,,,,Edwards REBOUND (Off:0 Def:1)
22200050,2022-23 Regular Season,2022-10-24,Jakob Poeltl,Tre Jones,Devin Vassell,Jeremy Sochan,Keldon Johnson,Rudy Gobert,D'Angelo Russell,Anthony Edwards,Karl-Anthony Towns,Jaden McDaniels,1,0,3,0:11:19,0:00:41,0:00:07,6,MIN,shot,,,,,,,,,,D'Angelo Russell,0,,,missed,,jump shot,16,163,24,41.3,86.6,MISS Russell 16' Step Back Jump Shot
22200050,2022-23 Regular Season,2022-10-24,Jakob Poeltl,Tre Jones,Devin Vassell,Jeremy Sochan,Keldon Johnson,Rudy Gobert,D'Angelo Russell,Anthony Edwards,Karl-Anthony Towns,Jaden McDaniels,1,0,3,0:11:17,0:00:43,0:00:02,7,SAS,rebound,,,,,,,,,,Devin Vassell,,,,,,rebound defensive,,,,,,Vassell REBOUND (Off:0 Def:1)
22200050,2022-23 Regular Season,2022-10-24,Jakob Poeltl,Tre Jones,Devin Vassell,Jeremy Sochan,Keldon Johnson,Rudy Gobert,D'Angelo Russell,Anthony Edwards,Karl-Anthony Towns,Jaden McDaniels,1,0,3,0:11:04,0:00:56,0:00:13,8,SAS,shot,,,,,,,,,,Devin Vassell,0,,,missed,,3pt jump shot,24,148,191,10.2,24.1,MISS Vassell 24' 3PT Jump Shot
22200050,2022-23 Regular Season,2022-10-24,Jakob Poeltl,Tre Jones,Devin Vassell,Jeremy Sochan,Keldon Johnson,Rudy Gobert,D'Angelo Russell,Anthony Edwards,Karl-Anthony Towns,Jaden McDaniels,1,0,3,0:11:01,0:00:59,0:00:03,9,MIN,rebound,,,,,,,,,,Karl-Anthony Towns,,,,,,rebound defensive,,,,,,Towns REBOUND (Off:0 Def:1)
22200050,2022-23 Regular Season,2022-10-24,Jakob Poeltl,Tre Jones,Devin Vassell,Jeremy Sochan,Keldon Johnson,Rudy Gobert,D'Angelo Russell,Anthony Edwards,Karl-Anthony Towns,Jaden McDaniels,1,0,3,0:10:51,0:01:09,0:00:10,10,MIN,shot,,,,,,,,,,Anthony Edwards,0,,,missed,,layup,3,22,26,27.2,86.4,MISS Edwards 3' Driving Finger Roll Layup
22200050,2022-23 Regular Season,2022-10-24,Jakob Poeltl,Tre Jones,Devin Vassell,Jeremy Sochan,Keldon Johnson,Rudy Gobert,D'Angelo Russell,Anthony Edwards,Karl-Anthony Towns,Jaden McDaniels,1,0,3,0:10:49,0:01:11,0:00:02,11,SAS,rebound,,,,,,,,,,Jakob Poeltl,,,,,,rebound defensive,,,,,,Poeltl REBOUND (Off:0 Def:1)
22200050,2022-23 Regular Season,2022-10-24,Jakob Poeltl,Tre Jones,Devin Vassell,Jeremy Sochan,Keldon Johnson,Rudy Gobert,D'Angelo Russell,Anthony Edwards,Karl-Anthony Towns,Jaden McDaniels,1,2,3,0:10:43,0:01:17,0:00:06,12,SAS,shot,Tre Jones,,,,,,,,,Jeremy Sochan,2,,,made,,layup,0,5,1,24.5,5.1,Sochan 1' Reverse Layup (2 PTS) (Jones 1 AST)
22200050,2022-23 Regular Season,2022-10-24,Jakob Poeltl,Tre Jones,Devin Vassell,Jeremy Sochan,Keldon Johnson,Rudy Gobert,D'Angelo Russell,Anthony Edwards,Karl-Anthony Towns,Jaden McDaniels,1,2,3,0:10:26,0:01:34,0:00:17,13,MIN,shot,,,,,,,,,,Karl-Anthony Towns,0,,,missed,,3pt jump shot,23,-228,6,2.1999999999999993,88.4,MISS Towns 3PT Jump Shot
22200050,2022-23 Regular Season,2022-10-24,Jakob Poeltl,Tre Jones,Devin Vassell,Jeremy Sochan,Keldon Johnson,Rudy Gobert,D'Angelo Russell,Anthony Edwards,Karl-Anthony Towns,Jaden McDaniels,1,2,3,0:10:22,0:01:38,0:00:04,14,SAS,rebound,,,,,,,,,,Devin Vassell,,,,,,rebound defensive,,,,,,Vassell REBOUND (Off:0 Def:2)
22200050,2022-23 Regular Season,2022-10-24,Jakob Poeltl,Tre Jones,Devin Vassell,Jeremy Sochan,Keldon Johnson,Rudy Gobert,D'Angelo Russell,Anthony Edwards,Karl-Anthony Towns,Jaden McDaniels,1,4,3,0:10:18,0:01:42,0:00:04,15,SAS,shot,Keldon Johnson,,,,,,,,,Jeremy Sochan,2,,,made,,layup,1,1,6,24.9,5.6,Sochan 1' Layup (4 PTS) (Johnson 1 AST)
22200050,2022-23 Regular Season,2022-10-24,Jakob Poeltl,Tre Jones,Devin Vassell,Jeremy Sochan,Keldon Johnson,Rudy Gobert,D'Angelo Russell,Anthony Edwards,Karl-Anthony Towns,Jaden McDaniels,1,4,3,0:09:53,0:02:07,0:00:25,16,MIN,turnover,,,,,,,,,,Karl-Anthony Towns,,,bad pass,,Jakob Poeltl,bad pass,,,,,,Towns Bad Pass Turnover (P1.T1): Poeltl STEAL (1 STL)
22200050,2022-23 Regular Season,2022-10-24,Jakob Poeltl,Tre Jones,Devin Vassell,Jeremy Sochan,Keldon Johnson,Rudy Gobert,D'Angelo Russell,Anthony Edwards,Karl-Anthony Towns,Jaden McDaniels,1,4,3,0:09:48,0:02:12,0:00:05,17,SAS,shot,,,,,,,,,,Keldon Johnson,0,,,missed,,layup,1,9,5,24.1,5.5,MISS Johnson 1' Running Layup
22200050,2022-23 Regular Season,2022-10-24,Jakob Poeltl,Tre Jones,Devin Vassell,Jeremy Sochan,Keldon Johnson,Rudy Gobert,D'Angelo Russell,Anthony Edwards,Karl-Anthony Towns,Jaden McDaniels,1,4,3,0:09:47,0:02:13,0:00:01,18,MIN,rebound,,,,,,,,,,Anthony Edwards,,,,,,rebound defensive,,,,,,Edwards REBOUND (Off:0 Def:2)
