game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
22200098,2022-23 Regular Season,2022-10-31,Myles Turner,Tyrese Haliburton,Buddy Hield,Jalen Smith,Chris Duarte,Nic Claxton,Kevin Durant,Royce O'Neale,Joe Harris,Kyrie Irving,1,0,0,0:12:00,0:00:00,0:00:00,1,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
22200098,2022-23 Regular Season,2022-10-31,Myles Turner,Tyrese Haliburton,Buddy Hield,Jalen Smith,Chris Duarte,Nic Claxton,Kevin Durant,Royce O'Neale,Joe Harris,Kyrie Irving,1,0,0,0:12:00,0:00:00,0:00:00,2,BKN,jump ball,,Myles Turner,Nic Claxton,,,,,,,Nic Claxton,,Kevin Durant,,,,jump ball,,,,,,Jump Ball Claxton vs. Turner: Tip to Durant
22200098,2022-23 Regular Season,2022-10-31,Myles Turner,Tyrese Haliburton,Buddy Hield,Jalen Smith,Chris Duarte,Nic Claxton,Kevin Durant,Royce O'Neale,Joe Harris,Kyrie Irving,1,0,0,0:11:41,0:00:19,0:00:19,3,BKN,shot,,,,,,,,,,Kevin Durant,0,,,missed,,jump shot,15,152,0,40.2,89.0,MISS Durant 15' Pullup Jump Shot
22200098,2022-23 Regular Season,2022-10-31,Myles Turner,Tyrese Haliburton,Buddy Hield,Jalen Smith,Chris Duarte,Nic Claxton,Kevin Durant,Royce O'Neale,Joe Harris,Kyrie Irving,1,0,0,0:11:37,0:00:23,0:00:04,4,IND,rebound,,,,,,,,,,Tyrese Haliburton,,,,,,rebound defensive,,,,,,Haliburton REBOUND (Off:0 Def:1)
22200098,2022-23 Regular Season,2022-10-31,Myles Turner,Tyrese Haliburton,Buddy Hield,Jalen Smith,Chris Duarte,Nic Claxton,Kevin Durant,Royce O'Neale,Joe Harris,Kyrie Irving,1,0,0,0:11:22,0:00:38,0:00:15,5,IND,shot,,,,,,,,,,Myles Turner,0,,,missed,,3pt jump shot,26,147,220,10.299999999999999,27.0,MISS Turner 26' 3PT Jump Shot
22200098,2022-23 Regular Season,2022-10-31,Myles Turner,Tyrese Haliburton,Buddy Hield,Jalen Smith,Chris Duarte,Nic Claxton,Kevin Durant,Royce O'Neale,Joe Harris,Kyrie Irving,1,0,0,0:11:20,0:00:40,0:00:02,6,BKN,rebound,,,,,,,,,,Kevin Durant,,,,,,rebound defensive,,,,,,Durant REBOUND (Off:0 Def:1)
22200098,2022-23 Regular Season,2022-10-31,Myles Turner,Tyrese Haliburton,Buddy Hield,Jalen Smith,Chris Duarte,Nic Claxton,Kevin Durant,Royce O'Neale,Joe Harris,Kyrie Irving,1,0,0,0:11:11,0:00:49,0:00:09,7,BKN,shot,,,,,,,,,,Royce O'Neale,0,,,missed,,3pt jump shot,23,-223,34,2.6999999999999993,85.6,MISS O'Neale 3PT Jump Shot
22200098,2022-23 Regular Season,2022-10-31,Myles Turner,Tyrese Haliburton,Buddy Hield,Jalen Smith,Chris Duarte,Nic Claxton,Kevin Durant,Royce O'Neale,Joe Harris,Kyrie Irving,1,0,0,0:11:09,0:00:51,0:00:02,8,IND,rebound,,,,,,,,,,Tyrese Haliburton,,,,,,rebound defensive,,,,,,Haliburton REBOUND (Off:0 Def:2)
22200098,2022-23 Regular Season,2022-10-31,Myles Turner,Tyrese Haliburton,Buddy Hield,Jalen Smith,Chris Duarte,Nic Claxton,Kevin Durant,Royce O'Neale,Joe Harris,Kyrie Irving,1,0,0,0:11:01,0:00:59,0:00:08,9,IND,shot,,,,,,,,,,Buddy Hield,0,,,missed,,3pt jump shot,25,-228,99,47.8,14.9,MISS Hield 25' 3PT Jump Shot
22200098,2022-23 Regular Season,2022-10-31,Myles Turner,Tyrese Haliburton,Buddy Hield,Jalen Smith,Chris Duarte,Nic Claxton,Kevin Durant,Royce O'Neale,Joe Harris,Kyrie Irving,1,0,0,0:10:57,0:01:03,0:00:04,10,BKN,rebound,,,,,,,,,,Nic Claxton,,,,,,rebound defensive,,,,,,Claxton REBOUND (Off:0 Def:1)
22200098,2022-23 Regular Season,2022-10-31,Myles Turner,Tyrese Haliburton,Buddy Hield,Jalen Smith,Chris Duarte,Nic Claxton,Kevin Durant,Royce O'Neale,Joe Harris,Kyrie Irving,1,0,0,0:10:56,0:01:04,0:00:01,11,BKN,turnover,,,,,,,,,,Nic Claxton,,,bad pass,,Buddy Hield,bad pass,,,,,,Claxton Bad Pass Turnover (P1.T1): Hield STEAL (1 STL)
22200098,2022-23 Regular Season,2022-10-31,Myles Turner,Tyrese Haliburton,Buddy Hield,Jalen Smith,Chris Duarte,Nic Claxton,Kevin Durant,Royce O'Neale,Joe Harris,Kyrie Irving,1,2,0,0:10:55,0:01:05,0:00:01,12,IND,shot,,,,,,,,,,Buddy Hield,2,,,made,,layup,1,-13,5,26.3,5.5,Hield 1' Layup (2 PTS)
22200098,2022-23 Regular Season,2022-10-31,Myles Turner,Tyrese Haliburton,Buddy Hield,Jalen Smith,Chris Duarte,Nic Claxton,Kevin Durant,Royce O'Neale,Joe Harris,Kyrie Irving,1,2,2,0:10:38,0:01:22,0:00:17,13,BKN,shot,Joe Harris,,,,,,,,,Nic Claxton,2,,,made,,hook shot,5,-32,42,21.8,84.8,Claxton 5' Hook Shot (2 PTS) (Harris 1 AST)
22200098,2022-23 Regular Season,2022-10-31,Myles Turner,Tyrese Haliburton,Buddy Hield,Jalen Smith,Chris Duarte,Nic Claxton,Kevin Durant,Royce O'Neale,Joe Harris,Kyrie Irving,1,2,2,0:10:20,0:01:40,0:00:18,14,IND,shot,,,,,,,,,,Jalen Smith,0,,,missed,,3pt jump shot,24,-235,-8,48.5,4.2,MISS Smith 24' 3PT Jump Shot
