game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
22200181,2022-23 Regular Season,2022-11-11,Rudy Gobert,Anthony Edwards,Jaden McDaniels,D'Angelo Russell,Karl-Anthony Towns,Steven Adams,Ja Morant,Dillon Brooks,Desmond Bane,Santi Aldama,1,0,0,0:12:00,0:00:00,0:00:00,1,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
22200181,2022-23 Regular Season,2022-11-11,Rudy Gobert,Anthony Edwards,Jaden McDaniels,D'Angelo Russell,Karl-Anthony Towns,Steven Adams,Ja Morant,Dillon Brooks,Desmond Bane,Santi Aldama,1,0,0,0:12:00,0:00:00,0:00:00,2,MEM,jump ball,,Rudy Gobert,Steven Adams,,,,,,,Steven Adams,,Ja Morant,,,,jump ball,,,,,,Jump Ball Adams vs. Gobert: Tip to Morant
22200181,2022-23 Regular Season,2022-11-11,Rudy Gobert,Anthony Edwards,Jaden McDaniels,D'Angelo Russell,Karl-Anthony Towns,Steven Adams,Ja Morant,Dillon Brooks,Desmond Bane,Santi Aldama,1,0,0,0:11:42,0:00:18,0:00:18,3,MIN,foul,,,,,,,,Ja Morant,,Anthony Edwards,,,p.foul,,,personal,,,,,,Edwards P.FOUL (P1.T1) (B.Barnaky)
22200181,2022-23 Regular Season,2022-11-11,Rudy Gobert,Anthony Edwards,Jaden McDaniels,D'Angelo Russell,Karl-Anthony Towns,Steven Adams,Ja Morant,Dillon Brooks,Desmond Bane,Santi Aldama,1,0,0,0:11:37,0:00:23,0:00:05,4,MEM,shot,,,,,,,,,,Dillon Brooks,0,,,missed,,cutting layup shot,2,7,19,25.7,87.1,MISS Brooks 2' Cutting Layup Shot
22200181,2022-23 Regular Season,2022-11-11,Rudy Gobert,Anthony Edwards,Jaden McDaniels,D'Angelo Russell,Karl-Anthony Towns,Steven Adams,Ja Morant,Dillon Brooks,Desmond Bane,Santi Aldama,1,0,0,0:11:35,0:00:25,0:00:02,5,MIN,rebound,,,,,,,,,,Rudy Gobert,,,,,,rebound defensive,,,,,,Gobert REBOUND (Off:0 Def:1)
22200181,2022-23 Regular Season,2022-11-11,Rudy Gobert,Anthony Edwards,Jaden McDaniels,D'Angelo Russell,Karl-Anthony Towns,Steven Adams,Ja Morant,Dillon Brooks,Desmond Bane,Santi Aldama,1,2,0,0:11:27,0:00:33,0:00:08,6,MIN,shot,Anthony Edwards,,,,,,,,,Rudy Gobert,2,,,made,,dunk,1,-2,6,25.2,5.6,Gobert 1' Alley Oop Dunk (2 PTS) (Edwards 1 AST)
22200181,2022-23 Regular Season,2022-11-11,Rudy Gobert,Anthony Edwards,Jaden McDaniels,D'Angelo Russell,Karl-Anthony Towns,Steven Adams,Ja Morant,Dillon Brooks,Desmond Bane,Santi Aldama,1,2,2,0:11:15,0:00:45,0:00:12,7,MEM,shot,,,,,,,,,,Ja Morant,2,,,made,,driving floating jump shot,12,4,116,25.4,77.4,Morant 12' Driving Floating Jump Shot (2 PTS)
22200181,2022-23 Regular Season,2022-11-11,Rudy Gobert,Anthony Edwards,Jaden McDaniels,D'Angelo Russell,Karl-Anthony Towns,Steven Adams,Ja Morant,Dillon Brooks,Desmond Bane,Santi Aldama,1,2,2,0:11:01,0:00:59,0:00:14,8,MIN,shot,,,,Steven Adams,,,,,,Jaden McDaniels,0,,,missed,,driving layup,3,15,22,23.5,7.2,Adams BLOCK (1 BLK): MISS McDaniels 3' Driving Layup
22200181,2022-23 Regular Season,2022-11-11,Rudy Gobert,Anthony Edwards,Jaden McDaniels,D'Angelo Russell,Karl-Anthony Towns,Steven Adams,Ja Morant,Dillon Brooks,Desmond Bane,Santi Aldama,1,2,2,0:10:58,0:01:02,0:00:03,9,MEM,rebound,,,,,,,,,,Ja Morant,,,,,,rebound defensive,,,,,,Morant REBOUND (Off:0 Def:1)
22200181,2022-23 Regular Season,2022-11-11,Rudy Gobert,Anthony Edwards,Jaden McDaniels,D'Angelo Russell,Karl-Anthony Towns,Steven Adams,Ja Morant,Dillon Brooks,Desmond Bane,Santi Aldama,1,2,2,0:10:47,0:01:13,0:00:11,10,MIN,foul,,,,,,,,Desmond Bane,,D'Angelo Russell,,,s.foul,,,shooting,,,,,,Russell S.FOUL (P1.T2) (B.Nansel)
