game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
22200258,2022-23 Regular Season,2022-11-22,Marvin Bagley III,Jaden Ivey,Bojan Bogdanovic,Isaiah Livers,Killian Hayes,Nikola Jokic,Aaron Gordon,Jamal Murray,Kentavious Caldwell-Pope,Michael Porter Jr.,1,0,0,0:12:00,0:00:00,0:00:00,1,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
22200258,2022-23 Regular Season,2022-11-22,Marvin Bagley III,Jaden Ivey,Bojan Bogdanovic,Isaiah Livers,Killian Hayes,Nikola Jokic,Aaron Gordon,Jamal Murray,Kentavious Caldwell-Pope,Michael Porter Jr.,1,0,0,0:12:00,0:00:00,0:00:00,2,DEN,jump ball,,Marvin Bagley III,Nikola Jokic,,,,,,,Marvin Bagley III,,Jaden Ivey,,,,jump ball,,,,,,Jump Ball Jokic vs. Bagley III: Tip to Ivey
22200258,2022-23 Regular Season,2022-11-22,Marvin Bagley III,Jaden Ivey,Bojan Bogdanovic,Isaiah Livers,Killian Hayes,Nikola Jokic,Aaron Gordon,Jamal Murray,Kentavious Caldwell-Pope,Michael Porter Jr.,1,2,0,0:11:41,0:00:19,0:00:19,3,DET,shot,,,,,,,,,,Bojan Bogdanovic,2,,,made,,floating jump shot,5,48,13,20.2,6.3,Bogdanovic 5' Floating Jump Shot (2 PTS)
22200258,2022-23 Regular Season,2022-11-22,Marvin Bagley III,Jaden Ivey,Bojan Bogdanovic,Isaiah Livers,Killian Hayes,Nikola Jokic,Aaron Gordon,Jamal Murray,Kentavious Caldwell-Pope,Michael Porter Jr.,1,2,0,0:11:21,0:00:39,0:00:20,4,DEN,turnover,,,,,,,,,,Aaron Gordon,,,out of bounds lost ball,,,out of bounds lost ball,,,,,,Gordon Out of Bounds Lost Ball Turnover (P1.T1)
22200258,2022-23 Regular Season,2022-11-22,Marvin Bagley III,Jaden Ivey,Bojan Bogdanovic,Isaiah Livers,Killian Hayes,Nikola Jokic,Aaron Gordon,Jamal Murray,Kentavious Caldwell-Pope,Michael Porter Jr.,1,2,0,0:11:16,0:00:44,0:00:05,5,DEN,violation,,,,,,,,,,Nikola Jokic,,,,,,kicked ball,,,,,,Jokic Violation:Kicked Ball (L.Holtkamp)
22200258,2022-23 Regular Season,2022-11-22,Marvin Bagley III,Jaden Ivey,Bojan Bogdanovic,Isaiah Livers,Killian Hayes,Nikola Jokic,Aaron Gordon,Jamal Murray,Kentavious Caldwell-Pope,Michael Porter Jr.,1,5,0,0:11:05,0:00:55,0:00:11,6,DET,shot,Jaden Ivey,,,,,,,,,Bojan Bogdanovic,3,,,made,,3pt jump shot,23,-232,10,48.2,6.0,Bogdanovic 3PT Jump Shot (5 PTS) (Ivey 1 AST)
22200258,2022-23 Regular Season,2022-11-22,Marvin Bagley III,Jaden Ivey,Bojan Bogdanovic,Isaiah Livers,Killian Hayes,Nikola Jokic,Aaron Gordon,Jamal Murray,Kentavious Caldwell-Pope,Michael Porter Jr.,1,5,0,0:10:52,0:01:08,0:00:13,7,DET,violation,,,,,,,,,,Isaiah Livers,,,,,,kicked ball,,,,,,Livers Violation:Kicked Ball (J.Williams)
22200258,2022-23 Regular Season,2022-11-22,Marvin Bagley III,Jaden Ivey,Bojan Bogdanovic,Isaiah Livers,Killian Hayes,Nikola Jokic,Aaron Gordon,Jamal Murray,Kentavious Caldwell-Pope,Michael Porter Jr.,1,5,0,0:10:49,0:01:11,0:00:03,8,DEN,shot,,,,,,,,,,Jamal Murray,0,,,missed,,3pt jump shot,23,-228,46,2.1999999999999993,84.4,MISS Murray 3PT Jump Shot
22200258,2022-23 Regular Season,2022-11-22,Marvin Bagley III,Jaden Ivey,Bojan Bogdanovic,Isaiah Livers,Killian Hayes,Nikola Jokic,Aaron Gordon,Jamal Murray,Kentavious Caldwell-Pope,Michael Porter Jr.,1,5,0,0:10:46,0:01:14,0:00:03,9,DET,rebound,,,,,,,,,,Bojan Bogdanovic,,,,,,rebound defensive,,,,,,Bogdanovic REBOUND (Off:0 Def:1)
22200258,2022-23 Regular Season,2022-11-22,Marvin Bagley III,Jaden Ivey,Bojan Bogdanovic,Isaiah Livers,Killian Hayes,Nikola Jokic,Aaron Gordon,Jamal Murray,Kentavious Caldwell-Pope,Michael Porter Jr.,1,8,0,0:10:42,0:01:18,0:00:04,10,DET,shot,Bojan Bogdanovic,,,,,,,,,Killian Hayes,3,,,made,,3pt jump shot,26,167,193,8.3,24.3,Hayes 26' 3PT Jump Shot (3 PTS) (Bogdanovic 1 AST)
