game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
22200364,2022-23 Regular Season,2022-12-07,Mason Plumlee,Terry Rozier,P.J. Washington,Kelly Oubre Jr.,Jalen McDaniels,Nic Claxton,Kyrie Irving,Kevin Durant,Joe Harris,Royce O'Neale,1,0,0,0:12:00,0:00:00,0:00:00,1,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
22200364,2022-23 Regular Season,2022-12-07,Mason Plumlee,Terry Rozier,P.J. Washington,Kelly Oubre Jr.,Jalen McDaniels,Nic Claxton,Kyrie Irving,Kevin Durant,Joe Harris,Royce O'Neale,1,0,0,0:12:00,0:00:00,0:00:00,2,BKN,jump ball,,Mason Plumlee,Nic Claxton,,,,,,,Mason Plumlee,,Terry Rozier,,,,jump ball,,,,,,Jump Ball Claxton vs. Plumlee: Tip to Rozier
22200364,2022-23 Regular Season,2022-12-07,Mason Plumlee,Terry Rozier,P.J. Washington,Kelly Oubre Jr.,Jalen McDaniels,Nic Claxton,Kyrie Irving,Kevin Durant,Joe Harris,Royce O'Neale,1,0,0,0:11:37,0:00:23,0:00:23,3,CHA,shot,,,,Kyrie Irving,,,,,,P.J. Washington,0,,,missed,,driving floating jump shot,6,17,56,23.3,10.600000000000001,Irving BLOCK (1 BLK): MISS Washington 6' Driving Floating Jump Shot
22200364,2022-23 Regular Season,2022-12-07,Mason Plumlee,Terry Rozier,P.J. Washington,Kelly Oubre Jr.,Jalen McDaniels,Nic Claxton,Kyrie Irving,Kevin Durant,Joe Harris,Royce O'Neale,1,0,0,0:11:34,0:00:26,0:00:03,4,BKN,rebound,,,,,,,,,,Nic Claxton,,,,,,rebound defensive,,,,,,Claxton REBOUND (Off:0 Def:1)
22200364,2022-23 Regular Season,2022-12-07,Mason Plumlee,Terry Rozier,P.J. Washington,Kelly Oubre Jr.,Jalen McDaniels,Nic Claxton,Kyrie Irving,Kevin Durant,Joe Harris,Royce O'Neale,1,0,2,0:11:27,0:00:33,0:00:07,5,BKN,shot,,,,,,,,,,Kevin Durant,2,,,made,,jump shot,23,125,188,37.5,70.2,Durant 23' Pullup Jump Shot (2 PTS)
22200364,2022-23 Regular Season,2022-12-07,Mason Plumlee,Terry Rozier,P.J. Washington,Kelly Oubre Jr.,Jalen McDaniels,Nic Claxton,Kyrie Irving,Kevin Durant,Joe Harris,Royce O'Neale,1,0,2,0:11:27,0:00:33,0:00:00,6,CHA,foul,,,,,,,,Kevin Durant,,Mason Plumlee,,,s.foul,,,shooting,,,,,,Plumlee S.FOUL (P1.T1) (J.Williams)
22200364,2022-23 Regular Season,2022-12-07,Mason Plumlee,Terry Rozier,P.J. Washington,Kelly Oubre Jr.,Jalen McDaniels,Nic Claxton,Kyrie Irving,Kevin Durant,Joe Harris,Royce O'Neale,1,0,3,0:11:27,0:00:33,0:00:00,7,BKN,free throw,,,,,,,1,,1,Kevin Durant,1,,,made,,free throw 1/1,,,,,,Durant Free Throw 1 of 1 (3 PTS)
22200364,2022-23 Regular Season,2022-12-07,Mason Plumlee,Terry Rozier,P.J. Washington,Kelly Oubre Jr.,Jalen McDaniels,Nic Claxton,Kyrie Irving,Kevin Durant,Joe Harris,Royce O'Neale,1,2,3,0:11:15,0:00:45,0:00:12,8,CHA,shot,P.J. Washington,,,,,,,,,Mason Plumlee,2,,,made,,dunk,0,0,4,25.0,5.4,Plumlee Dunk (2 PTS) (Washington 1 AST)
22200364,2022-23 Regular Season,2022-12-07,Mason Plumlee,Terry Rozier,P.J. Washington,Kelly Oubre Jr.,Jalen McDaniels,Nic Claxton,Kyrie Irving,Kevin Durant,Joe Harris,Royce O'Neale,1,2,3,0:10:56,0:01:04,0:00:19,9,BKN,shot,,,,,,,,,,Kyrie Irving,0,,,missed,,jump shot,16,159,-5,40.9,89.5,MISS Irving 16' Jump Shot
22200364,2022-23 Regular Season,2022-12-07,Mason Plumlee,Terry Rozier,P.J. Washington,Kelly Oubre Jr.,Jalen McDaniels,Nic Claxton,Kyrie Irving,Kevin Durant,Joe Harris,Royce O'Neale,1,2,3,0:10:54,0:01:06,0:00:02,10,CHA,rebound,,,,,,,,,,Kelly Oubre Jr.,,,,,,rebound defensive,,,,,,Oubre Jr. REBOUND (Off:0 Def:1)
