game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
22200418,2022-23 Regular Season,2022-12-14,Mitchell Robinson,Jalen Brunson,Julius Randle,Quentin Grimes,RJ Barrett,Nikola Vucevic,Zach LaVine,Patrick Williams,Alex Caruso,DeMar DeRozan,1,0,0,0:12:00,0:00:00,0:00:00,1,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
22200418,2022-23 Regular Season,2022-12-14,Mitchell Robinson,Jalen Brunson,Julius Randle,Quentin Grimes,RJ Barrett,Nikola Vucevic,Zach LaVine,Patrick Williams,Alex Caruso,DeMar DeRozan,1,0,0,0:12:00,0:00:00,0:00:00,2,CHI,jump ball,,Mitchell Robinson,Nikola Vucevic,,,,,,,Mitchell Robinson,,Jalen Brunson,,,,jump ball,,,,,,Jump Ball Vucevic vs. Robinson: Tip to Brunson
22200418,2022-23 Regular Season,2022-12-14,Mitchell Robinson,Jalen Brunson,Julius Randle,Quentin Grimes,RJ Barrett,Nikola Vucevic,Zach LaVine,Patrick Williams,Alex Caruso,DeMar DeRozan,1,3,0,0:11:40,0:00:20,0:00:20,3,NYK,shot,Quentin Grimes,,,,,,,,,Julius Randle,3,,,made,,3pt jump shot,23,230,31,2.0,8.1,Randle 3PT Jump Shot (3 PTS) (Grimes 1 AST)
22200418,2022-23 Regular Season,2022-12-14,Mitchell Robinson,Jalen Brunson,Julius Randle,Quentin Grimes,RJ Barrett,Nikola Vucevic,Zach LaVine,Patrick Williams,Alex Caruso,DeMar DeRozan,1,3,0,0:11:23,0:00:37,0:00:17,4,CHI,shot,,,,,,,,,,Zach LaVine,0,,,missed,,3pt jump shot,26,118,231,36.8,65.9,MISS LaVine 26' 3PT Jump Shot
22200418,2022-23 Regular Season,2022-12-14,Mitchell Robinson,Jalen Brunson,Julius Randle,Quentin Grimes,RJ Barrett,Nikola Vucevic,Zach LaVine,Patrick Williams,Alex Caruso,DeMar DeRozan,1,3,0,0:11:20,0:00:40,0:00:03,5,NYK,rebound,,,,,,,,,,Mitchell Robinson,,,,,,rebound defensive,,,,,,Robinson REBOUND (Off:0 Def:1)
22200418,2022-23 Regular Season,2022-12-14,Mitchell Robinson,Jalen Brunson,Julius Randle,Quentin Grimes,RJ Barrett,Nikola Vucevic,Zach LaVine,Patrick Williams,Alex Caruso,DeMar DeRozan,1,3,0,0:11:11,0:00:49,0:00:09,6,NYK,shot,,,,,,,,,,Quentin Grimes,0,,,missed,,3pt jump shot,23,-227,5,47.7,5.5,MISS Grimes 3PT Jump Shot
22200418,2022-23 Regular Season,2022-12-14,Mitchell Robinson,Jalen Brunson,Julius Randle,Quentin Grimes,RJ Barrett,Nikola Vucevic,Zach LaVine,Patrick Williams,Alex Caruso,DeMar DeRozan,1,3,0,0:11:08,0:00:52,0:00:03,7,NYK,rebound,,,,,,,,,,Mitchell Robinson,,,,,,rebound offensive,,,,,,Robinson REBOUND (Off:1 Def:1)
22200418,2022-23 Regular Season,2022-12-14,Mitchell Robinson,Jalen Brunson,Julius Randle,Quentin Grimes,RJ Barrett,Nikola Vucevic,Zach LaVine,Patrick Williams,Alex Caruso,DeMar DeRozan,1,5,0,0:11:04,0:00:56,0:00:04,8,NYK,shot,Mitchell Robinson,,,,,,,,,Quentin Grimes,2,,,made,,cutting dunk shot,2,7,15,24.3,6.5,Grimes 2' Cutting Dunk Shot (2 PTS) (Robinson 1 AST)
22200418,2022-23 Regular Season,2022-12-14,Mitchell Robinson,Jalen Brunson,Julius Randle,Quentin Grimes,RJ Barrett,Nikola Vucevic,Zach LaVine,Patrick Williams,Alex Caruso,DeMar DeRozan,1,5,0,0:10:48,0:01:12,0:00:16,9,CHI,shot,,,,,,,,,,Patrick Williams,0,,,missed,,jump shot,14,-140,24,11.0,86.6,MISS Williams 14' Jump Shot
22200418,2022-23 Regular Season,2022-12-14,Mitchell Robinson,Jalen Brunson,Julius Randle,Quentin Grimes,RJ Barrett,Nikola Vucevic,Zach LaVine,Patrick Williams,Alex Caruso,DeMar DeRozan,1,5,0,0:10:46,0:01:14,0:00:02,10,NYK,rebound,,,,,,,,,,Julius Randle,,,,,,rebound defensive,,,,,,Randle REBOUND (Off:0 Def:1)
