game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
22200633,2022-23 Regular Season,2023-01-13,Onyeka Okongwu,Trae Young,John Collins,Dejounte Murray,De'Andre Hunter,Isaiah Jackson,Andrew Nembhard,Bennedict Mathurin,Buddy Hield,Chris Duarte,1,0,0,0:12:00,0:00:00,0:00:00,1,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
22200633,2022-23 Regular Season,2023-01-13,Onyeka Okongwu,Trae Young,John Collins,Dejounte Murray,De'Andre Hunter,Isaiah Jackson,Andrew Nembhard,Bennedict Mathurin,Buddy Hield,Chris Duarte,1,0,0,0:12:00,0:00:00,0:00:00,2,IND,jump ball,,Onyeka Okongwu,Isaiah Jackson,,,,,,,Onyeka Okongwu,,Trae Young,,,,jump ball,,,,,,Jump Ball Jackson vs. Okongwu: Tip to Young
22200633,2022-23 Regular Season,2023-01-13,Onyeka Okongwu,Trae Young,John Collins,Dejounte Murray,De'Andre Hunter,Isaiah Jackson,Andrew Nembhard,Bennedict Mathurin,Buddy Hield,Chris Duarte,1,0,0,0:11:45,0:00:15,0:00:15,3,ATL,shot,,,,,,,,,,John Collins,0,,,missed,,floating jump shot,2,-21,6,27.1,5.6,MISS Collins 2' Floating Jump Shot
22200633,2022-23 Regular Season,2023-01-13,Onyeka Okongwu,Trae Young,John Collins,Dejounte Murray,De'Andre Hunter,Isaiah Jackson,Andrew Nembhard,Bennedict Mathurin,Buddy Hield,Chris Duarte,1,0,0,0:11:42,0:00:18,0:00:03,4,ATL,rebound,,,,,,,,,,Onyeka Okongwu,,,,,,rebound offensive,,,,,,Okongwu REBOUND (Off:1 Def:0)
22200633,2022-23 Regular Season,2023-01-13,Onyeka Okongwu,Trae Young,John Collins,Dejounte Murray,De'Andre Hunter,Isaiah Jackson,Andrew Nembhard,Bennedict Mathurin,Buddy Hield,Chris Duarte,1,3,0,0:11:33,0:00:27,0:00:09,5,ATL,shot,Dejounte Murray,,,,,,,,,Trae Young,3,,,made,,3pt pullup jump shot,28,-134,243,38.4,29.3,Young 28' 3PT Pullup Jump Shot (3 PTS) (Murray 1 AST)
22200633,2022-23 Regular Season,2023-01-13,Onyeka Okongwu,Trae Young,John Collins,Dejounte Murray,De'Andre Hunter,Isaiah Jackson,Andrew Nembhard,Bennedict Mathurin,Buddy Hield,Chris Duarte,1,3,0,0:11:06,0:00:54,0:00:27,6,IND,shot,,,,,,,,,,Andrew Nembhard,0,,,missed,,3pt jump shot,26,217,136,46.7,75.4,MISS Nembhard 26' 3PT Jump Shot
22200633,2022-23 Regular Season,2023-01-13,Onyeka Okongwu,Trae Young,John Collins,Dejounte Murray,De'Andre Hunter,Isaiah Jackson,Andrew Nembhard,Bennedict Mathurin,Buddy Hield,Chris Duarte,1,3,0,0:11:04,0:00:56,0:00:02,7,ATL,rebound,,,,,,,,,,Onyeka Okongwu,,,,,,rebound defensive,,,,,,Okongwu REBOUND (Off:1 Def:1)
22200633,2022-23 Regular Season,2023-01-13,Onyeka Okongwu,Trae Young,John Collins,Dejounte Murray,De'Andre Hunter,Isaiah Jackson,Andrew Nembhard,Bennedict Mathurin,Buddy Hield,Chris Duarte,1,3,0,0:10:58,0:01:02,0:00:06,8,ATL,foul,,,,,,,,Bennedict Mathurin,,John Collins,,,,,,offensive,,,,,,Collins OFF.Foul (P1) (J.Goldenberg)
22200633,2022-23 Regular Season,2023-01-13,Onyeka Okongwu,Trae Young,John Collins,Dejounte Murray,De'Andre Hunter,Isaiah Jackson,Andrew Nembhard,Bennedict Mathurin,Buddy Hield,Chris Duarte,1,3,0,0:10:58,0:01:02,0:00:00,9,ATL,turnover,,,,,,,,,,John Collins,,,offensive foul turnover,,,offensive foul,,,,,,Collins Offensive Foul Turnover (P1.T1)
22200633,2022-23 Regular Season,2023-01-13,Onyeka Okongwu,Trae Young,John Collins,Dejounte Murray,De'Andre Hunter,Isaiah Jackson,Andrew Nembhard,Bennedict Mathurin,Buddy Hield,Chris Duarte,1,3,2,0:10:49,0:01:11,0:00:09,10,IND,shot,Andrew Nembhard,,,,,,,,,Isaiah Jackson,2,,,made,,dunk,0,1,0,25.1,89.0,Jackson Dunk (2 PTS) (Nembhard 1 AST)
