game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
22200661,2022-23 Regular Season,2023-01-16,Bam Adebayo,Gabe Vincent,Tyler Herro,Caleb Martin,Jimmy Butler,Onyeka Okongwu,De'Andre Hunter,John Collins,Trae Young,Dejounte Murray,1,0,0,0:12:00,0:00:00,0:00:00,1,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
22200661,2022-23 Regular Season,2023-01-16,Bam Adebayo,Gabe Vincent,Tyler Herro,Caleb Martin,Jimmy Butler,Onyeka Okongwu,De'Andre Hunter,John Collins,Trae Young,Dejounte Murray,1,0,0,0:12:00,0:00:00,0:00:00,2,ATL,jump ball,,Bam Adebayo,Onyeka Okongwu,,,,,,,Bam Adebayo,,Gabe Vincent,,,,jump ball,,,,,,Jump Ball Okongwu vs. Adebayo: Tip to Vincent
22200661,2022-23 Regular Season,2023-01-16,Bam Adebayo,Gabe Vincent,Tyler Herro,Caleb Martin,Jimmy Butler,Onyeka Okongwu,De'Andre Hunter,John Collins,Trae Young,Dejounte Murray,1,0,0,0:11:38,0:00:22,0:00:22,3,MIA,shot,,,,,,,,,,Tyler Herro,0,,,missed,,3pt jump shot,25,-168,183,41.8,23.3,MISS Herro 25' 3PT Jump Shot
22200661,2022-23 Regular Season,2023-01-16,Bam Adebayo,Gabe Vincent,Tyler Herro,Caleb Martin,Jimmy Butler,Onyeka Okongwu,De'Andre Hunter,John Collins,Trae Young,Dejounte Murray,1,0,0,0:11:35,0:00:25,0:00:03,4,MIA,rebound,,,,,,,,,,Caleb Martin,,,,,,rebound offensive,,,,,,Martin REBOUND (Off:1 Def:0)
22200661,2022-23 Regular Season,2023-01-16,Bam Adebayo,Gabe Vincent,Tyler Herro,Caleb Martin,Jimmy Butler,Onyeka Okongwu,De'Andre Hunter,John Collins,Trae Young,Dejounte Murray,1,0,0,0:11:34,0:00:26,0:00:01,5,MIA,shot,,,,,,,,,,Caleb Martin,0,,,missed,,layup,1,-6,1,25.6,5.1,MISS Martin 1' Putback Layup
22200661,2022-23 Regular Season,2023-01-16,Bam Adebayo,Gabe Vincent,Tyler Herro,Caleb Martin,Jimmy Butler,Onyeka Okongwu,De'Andre Hunter,John Collins,Trae Young,Dejounte Murray,1,0,0,0:11:32,0:00:28,0:00:02,6,ATL,rebound,,,,,,,,,,Onyeka Okongwu,,,,,,rebound defensive,,,,,,Okongwu REBOUND (Off:0 Def:1)
22200661,2022-23 Regular Season,2023-01-16,Bam Adebayo,Gabe Vincent,Tyler Herro,Caleb Martin,Jimmy Butler,Onyeka Okongwu,De'Andre Hunter,John Collins,Trae Young,Dejounte Murray,1,0,2,0:11:19,0:00:41,0:00:13,7,ATL,shot,De'Andre Hunter,,,,,,,,,Onyeka Okongwu,2,,,made,,layup,2,9,17,25.9,87.3,Okongwu 2' Layup (2 PTS) (Hunter 1 AST)
22200661,2022-23 Regular Season,2023-01-16,Bam Adebayo,Gabe Vincent,Tyler Herro,Caleb Martin,Jimmy Butler,Onyeka Okongwu,De'Andre Hunter,John Collins,Trae Young,Dejounte Murray,1,0,2,0:10:59,0:01:01,0:00:20,8,MIA,shot,,,,,,,,,,Tyler Herro,0,,,missed,,3pt jump shot,25,74,243,17.6,29.3,MISS Herro 25' 3PT Jump Shot
22200661,2022-23 Regular Season,2023-01-16,Bam Adebayo,Gabe Vincent,Tyler Herro,Caleb Martin,Jimmy Butler,Onyeka Okongwu,De'Andre Hunter,John Collins,Trae Young,Dejounte Murray,1,0,2,0:10:56,0:01:04,0:00:03,9,ATL,rebound,,,,,,,,,,De'Andre Hunter,,,,,,rebound defensive,,,,,,Hunter REBOUND (Off:0 Def:1)
22200661,2022-23 Regular Season,2023-01-16,Bam Adebayo,Gabe Vincent,Tyler Herro,Caleb Martin,Jimmy Butler,Onyeka Okongwu,De'Andre Hunter,John Collins,Trae Young,Dejounte Murray,1,0,2,0:10:47,0:01:13,0:00:09,10,MIA,foul,,,,,,,,John Collins,,Caleb Martin,,,s.foul,,,shooting,,,,,,Martin S.FOUL (P1.T1) (G.Petraitis)
