game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
22200687,2022-23 Regular Season,2023-01-20,Ivica Zubac,Kawhi Leonard,Paul George,Terance Mann,Marcus Morris Sr.,Jakob Poeltl,Keldon Johnson,Romeo Langford,Jeremy Sochan,Tre Jones,1,0,0,0:12:00,0:00:00,0:00:00,1,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
22200687,2022-23 Regular Season,2023-01-20,Ivica Zubac,Kawhi Leonard,Paul George,Terance Mann,Marcus Morris Sr.,Jakob Poeltl,Keldon Johnson,Romeo Langford,Jeremy Sochan,Tre Jones,1,0,0,0:12:00,0:00:00,0:00:00,2,SAS,jump ball,,Ivica Zubac,Jakob Poeltl,,,,,,,Jakob Poeltl,,Keldon Johnson,,,,jump ball,,,,,,Jump Ball Poeltl vs. Zubac: Tip to K. Johnson
22200687,2022-23 Regular Season,2023-01-20,Ivica Zubac,Kawhi Leonard,Paul George,Terance Mann,Marcus Morris Sr.,Jakob Poeltl,Keldon Johnson,Romeo Langford,Jeremy Sochan,Tre Jones,1,0,0,0:11:45,0:00:15,0:00:15,3,SAS,shot,,,,,,,,,,Romeo Langford,0,,,missed,,floating jump shot,10,-105,1,14.5,88.9,MISS Langford 11' Floating Jump Shot
22200687,2022-23 Regular Season,2023-01-20,Ivica Zubac,Kawhi Leonard,Paul George,Terance Mann,Marcus Morris Sr.,Jakob Poeltl,Keldon Johnson,Romeo Langford,Jeremy Sochan,Tre Jones,1,0,0,0:11:43,0:00:17,0:00:02,4,SAS,rebound,,,,,,,,,,Romeo Langford,,,,,,rebound offensive,,,,,,Langford REBOUND (Off:1 Def:0)
22200687,2022-23 Regular Season,2023-01-20,Ivica Zubac,Kawhi Leonard,Paul George,Terance Mann,Marcus Morris Sr.,Jakob Poeltl,Keldon Johnson,Romeo Langford,Jeremy Sochan,Tre Jones,1,0,3,0:11:40,0:00:20,0:00:03,5,SAS,shot,Romeo Langford,,,,,,,,,Jeremy Sochan,3,,,made,,3pt jump shot,25,-163,188,8.7,70.2,Sochan 25' 3PT Jump Shot (3 PTS) (Langford 1 AST)
22200687,2022-23 Regular Season,2023-01-20,Ivica Zubac,Kawhi Leonard,Paul George,Terance Mann,Marcus Morris Sr.,Jakob Poeltl,Keldon Johnson,Romeo Langford,Jeremy Sochan,Tre Jones,1,3,3,0:11:13,0:00:47,0:00:27,6,LAC,shot,Paul George,,,,,,,,,Kawhi Leonard,3,,,made,,3pt jump shot,25,103,230,14.7,28.0,Leonard 25' 3PT Jump Shot (3 PTS) (George 1 AST)
22200687,2022-23 Regular Season,2023-01-20,Ivica Zubac,Kawhi Leonard,Paul George,Terance Mann,Marcus Morris Sr.,Jakob Poeltl,Keldon Johnson,Romeo Langford,Jeremy Sochan,Tre Jones,1,3,3,0:10:51,0:01:09,0:00:22,7,SAS,shot,,,,,,,,,,Keldon Johnson,0,,,missed,,driving floating jump shot,8,12,77,26.2,81.3,MISS K. Johnson 8' Driving Floating Jump Shot
22200687,2022-23 Regular Season,2023-01-20,Ivica Zubac,Kawhi Leonard,Paul George,Terance Mann,Marcus Morris Sr.,Jakob Poeltl,Keldon Johnson,Romeo Langford,Jeremy Sochan,Tre Jones,1,3,3,0:10:49,0:01:11,0:00:02,8,LAC,rebound,,,,,,,,,,Ivica Zubac,,,,,,rebound defensive,,,,,,Zubac REBOUND (Off:0 Def:1)
22200687,2022-23 Regular Season,2023-01-20,Ivica Zubac,Kawhi Leonard,Paul George,Terance Mann,Marcus Morris Sr.,Jakob Poeltl,Keldon Johnson,Romeo Langford,Jeremy Sochan,Tre Jones,1,3,3,0:10:42,0:01:18,0:00:07,9,SAS,foul,,,,,,,,Kawhi Leonard,,Romeo Langford,,,s.foul,,,shooting,,,,,,Langford S.FOUL (P1.T1) (J.Van Duyne)
22200687,2022-23 Regular Season,2023-01-20,Ivica Zubac,Kawhi Leonard,Paul George,Terance Mann,Marcus Morris Sr.,Jakob Poeltl,Keldon Johnson,Romeo Langford,Jeremy Sochan,Tre Jones,1,4,3,0:10:42,0:01:18,0:00:00,10,LAC,free throw,,,,,,,1,,2,Kawhi Leonard,1,,,made,,free throw 1/2,,,,,,Leonard Free Throw 1 of 2 (4 PTS)
22200687,2022-23 Regular Season,2023-01-20,Ivica Zubac,Kawhi Leonard,Paul George,Terance Mann,Marcus Morris Sr.,Jakob Poeltl,Keldon Johnson,Romeo Langford,Jeremy Sochan,Tre Jones,1,5,3,0:10:42,0:01:18,0:00:00,11,LAC,free throw,,,,,,,2,,2,Kawhi Leonard,1,,,made,,free throw 2/2,,,,,,Leonard Free Throw 2 of 2 (5 PTS)
