game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
22200755,2022-23 Regular Season,2023-01-29,Jonas Valanciunas,Naji Marshall,Jose Alvarado,Herbert Jones,Trey Murphy III,Brook Lopez,Giannis Antetokounmpo,Pat Connaughton,Jrue Holiday,Grayson Allen,1,0,0,0:12:00,0:00:00,0:00:00,1,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
22200755,2022-23 Regular Season,2023-01-29,Jonas Valanciunas,Naji Marshall,Jose Alvarado,Herbert Jones,Trey Murphy III,Brook Lopez,Giannis Antetokounmpo,Pat Connaughton,Jrue Holiday,Grayson Allen,1,0,0,0:12:00,0:00:00,0:00:00,2,MIL,jump ball,,Jonas Valanciunas,Brook Lopez,,,,,,,Jonas Valanciunas,,Naji Marshall,,,,jump ball,,,,,,Jump Ball Lopez vs. Valanciunas: Tip to Marshall
22200755,2022-23 Regular Season,2023-01-29,Jonas Valanciunas,Naji Marshall,Jose Alvarado,Herbert Jones,Trey Murphy III,Brook Lopez,Giannis Antetokounmpo,Pat Connaughton,Jrue Holiday,Grayson Allen,1,0,0,0:11:38,0:00:22,0:00:22,3,NOP,shot,,,,,,,,,,Jonas Valanciunas,0,,,missed,,jump shot,17,-5,167,25.5,21.7,MISS Valanciunas 17' Jump Shot
22200755,2022-23 Regular Season,2023-01-29,Jonas Valanciunas,Naji Marshall,Jose Alvarado,Herbert Jones,Trey Murphy III,Brook Lopez,Giannis Antetokounmpo,Pat Connaughton,Jrue Holiday,Grayson Allen,1,0,0,0:11:35,0:00:25,0:00:03,4,MIL,rebound,,,,,,,,,,Giannis Antetokounmpo,,,,,,rebound defensive,,,,,,G. Antetokounmpo REBOUND (Off:0 Def:1)
22200755,2022-23 Regular Season,2023-01-29,Jonas Valanciunas,Naji Marshall,Jose Alvarado,Herbert Jones,Trey Murphy III,Brook Lopez,Giannis Antetokounmpo,Pat Connaughton,Jrue Holiday,Grayson Allen,1,0,0,0:11:31,0:00:29,0:00:04,5,NOP,foul,,,,,,,,Giannis Antetokounmpo,,Jonas Valanciunas,,,s.foul,,,shooting,,,,,,Valanciunas S.FOUL (P1.T1) (S.Foster)
22200755,2022-23 Regular Season,2023-01-29,Jonas Valanciunas,Naji Marshall,Jose Alvarado,Herbert Jones,Trey Murphy III,Brook Lopez,Giannis Antetokounmpo,Pat Connaughton,Jrue Holiday,Grayson Allen,1,0,1,0:11:31,0:00:29,0:00:00,6,MIL,free throw,,,,,,,1,,2,Giannis Antetokounmpo,1,,,made,,free throw 1/2,,,,,,G. Antetokounmpo Free Throw 1 of 2 (1 PTS)
22200755,2022-23 Regular Season,2023-01-29,Jonas Valanciunas,Naji Marshall,Jose Alvarado,Herbert Jones,Trey Murphy III,Brook Lopez,Giannis Antetokounmpo,Pat Connaughton,Jrue Holiday,Grayson Allen,1,0,1,0:11:31,0:00:29,0:00:00,7,MIL,free throw,,,,,,,2,,2,Giannis Antetokounmpo,0,,,missed,,free throw 2/2,,,,,,MISS G. Antetokounmpo Free Throw 2 of 2
22200755,2022-23 Regular Season,2023-01-29,Jonas Valanciunas,Naji Marshall,Jose Alvarado,Herbert Jones,Trey Murphy III,Brook Lopez,Giannis Antetokounmpo,Pat Connaughton,Jrue Holiday,Grayson Allen,1,0,1,0:11:26,0:00:34,0:00:05,8,NOP,rebound,,,,,,,,,,Jose Alvarado,,,,,,rebound defensive,,,,,,Alvarado REBOUND (Off:0 Def:1)
22200755,2022-23 Regular Season,2023-01-29,Jonas Valanciunas,Naji Marshall,Jose Alvarado,Herbert Jones,Trey Murphy III,Brook Lopez,Giannis Antetokounmpo,Pat Connaughton,Jrue Holiday,Grayson Allen,1,0,1,0:11:22,0:00:38,0:00:04,9,NOP,shot,,,,Brook Lopez,,,,,,Herbert Jones,0,,,missed,,jump shot,7,53,48,19.7,9.8,Lopez BLOCK (1 BLK): MISS Jones 7' Running Pull-Up Jump Shot
22200755,2022-23 Regular Season,2023-01-29,Jonas Valanciunas,Naji Marshall,Jose Alvarado,Herbert Jones,Trey Murphy III,Brook Lopez,Giannis Antetokounmpo,Pat Connaughton,Jrue Holiday,Grayson Allen,1,0,1,0:11:21,0:00:39,0:00:01,10,MIL,rebound,,,,,,,,,,Pat Connaughton,,,,,,rebound defensive,,,,,,Connaughton REBOUND (Off:0 Def:1)
22200755,2022-23 Regular Season,2023-01-29,Jonas Valanciunas,Naji Marshall,Jose Alvarado,Herbert Jones,Trey Murphy III,Brook Lopez,Giannis Antetokounmpo,Pat Connaughton,Jrue Holiday,Grayson Allen,1,0,3,0:11:07,0:00:53,0:00:14,11,MIL,shot,Giannis Antetokounmpo,,,,,,,,,Brook Lopez,2,,,made,,dunk,1,7,4,25.7,88.6,Lopez 1' Alley Oop Dunk (2 PTS) (G. Antetokounmpo 1 AST)
22200755,2022-23 Regular Season,2023-01-29,Jonas Valanciunas,Naji Marshall,Jose Alvarado,Herbert Jones,Trey Murphy III,Brook Lopez,Giannis Antetokounmpo,Pat Connaughton,Jrue Holiday,Grayson Allen,1,0,3,0:10:54,0:01:06,0:00:13,12,NOP,turnover,,,,,,,,,,Jose Alvarado,,,out of bounds lost ball,,,out of bounds lost ball,,,,,,Alvarado Out of Bounds Lost Ball Turnover (P1.T1)
22200755,2022-23 Regular Season,2023-01-29,Jonas Valanciunas,Naji Marshall,Jose Alvarado,Herbert Jones,Trey Murphy III,Brook Lopez,Giannis Antetokounmpo,Pat Connaughton,Jrue Holiday,Grayson Allen,1,0,5,0:10:39,0:01:21,0:00:15,13,MIL,shot,Jrue Holiday,,,,,,,,,Giannis Antetokounmpo,2,,,made,,cutting dunk shot,1,7,8,25.7,88.2,G. Antetokounmpo 1' Cutting Dunk Shot (3 PTS) (Holiday 1 AST)
22200755,2022-23 Regular Season,2023-01-29,Jonas Valanciunas,Naji Marshall,Jose Alvarado,Herbert Jones,Trey Murphy III,Brook Lopez,Giannis Antetokounmpo,Pat Connaughton,Jrue Holiday,Grayson Allen,1,0,5,0:10:28,0:01:32,0:00:11,14,NOP,shot,,,,,,,,,,Jonas Valanciunas,0,,,missed,,3pt jump shot,26,25,261,22.5,31.1,MISS Valanciunas 26' 3PT Jump Shot
