game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
22200877,2022-23 Regular Season,2023-02-15,Jalen Duren,Isaiah Stewart,Killian Hayes,Jaden Ivey,Bojan Bogdanovic,Al Horford,Blake Griffin,Marcus Smart,Jayson Tatum,Derrick White,1,0,0,0:12:00,0:00:00,0:00:00,1,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
22200877,2022-23 Regular Season,2023-02-15,Jalen Duren,Isaiah Stewart,Killian Hayes,Jaden Ivey,Bojan Bogdanovic,Al Horford,Blake Griffin,Marcus Smart,Jayson Tatum,Derrick White,1,0,0,0:12:00,0:00:00,0:00:00,2,BOS,jump ball,,Jalen Duren,Al Horford,,,,,,,Al Horford,,Blake Griffin,,,,jump ball,,,,,,Jump Ball Horford vs. Duren: Tip to Griffin
22200877,2022-23 Regular Season,2023-02-15,Jalen Duren,Isaiah Stewart,Killian Hayes,Jaden Ivey,Bojan Bogdanovic,Al Horford,Blake Griffin,Marcus Smart,Jayson Tatum,Derrick White,1,0,0,0:11:38,0:00:22,0:00:22,3,BOS,shot,,,,,,,,,,Al Horford,0,,,missed,,hook shot,7,56,37,30.6,85.3,MISS Horford 7' Turnaround Bank Hook Shot
22200877,2022-23 Regular Season,2023-02-15,Jalen Duren,Isaiah Stewart,Killian Hayes,Jaden Ivey,Bojan Bogdanovic,Al Horford,Blake Griffin,Marcus Smart,Jayson Tatum,Derrick White,1,0,0,0:11:35,0:00:25,0:00:03,4,DET,rebound,,,,,,,,,,Jalen Duren,,,,,,rebound defensive,,,,,,Duren REBOUND (Off:0 Def:1)
22200877,2022-23 Regular Season,2023-02-15,Jalen Duren,Isaiah Stewart,Killian Hayes,Jaden Ivey,Bojan Bogdanovic,Al Horford,Blake Griffin,Marcus Smart,Jayson Tatum,Derrick White,1,0,0,0:11:26,0:00:34,0:00:09,5,DET,turnover,,,,,,,,,,Isaiah Stewart,,,,,Marcus Smart,lost ball,,,,,,Smart STEAL (1 STL): Stewart Lost Ball Turnover (P1.T1)
22200877,2022-23 Regular Season,2023-02-15,Jalen Duren,Isaiah Stewart,Killian Hayes,Jaden Ivey,Bojan Bogdanovic,Al Horford,Blake Griffin,Marcus Smart,Jayson Tatum,Derrick White,1,0,2,0:11:21,0:00:39,0:00:05,6,BOS,shot,Derrick White,,,,,,,,,Jayson Tatum,2,,,made,,layup,3,21,21,27.1,86.9,Tatum 3' Running Finger Roll Layup (2 PTS) (White 1 AST)
22200877,2022-23 Regular Season,2023-02-15,Jalen Duren,Isaiah Stewart,Killian Hayes,Jaden Ivey,Bojan Bogdanovic,Al Horford,Blake Griffin,Marcus Smart,Jayson Tatum,Derrick White,1,2,2,0:11:10,0:00:50,0:00:11,7,DET,shot,Killian Hayes,,,,,,,,,Isaiah Stewart,2,,,made,,jump shot,16,-163,2,41.3,5.2,Stewart 16' Jump Shot (2 PTS) (Hayes 1 AST)
22200877,2022-23 Regular Season,2023-02-15,Jalen Duren,Isaiah Stewart,Killian Hayes,Jaden Ivey,Bojan Bogdanovic,Al Horford,Blake Griffin,Marcus Smart,Jayson Tatum,Derrick White,1,2,2,0:10:48,0:01:12,0:00:22,8,BOS,shot,,,,,,,,,,Blake Griffin,0,,,missed,,driving layup,6,45,41,29.5,84.9,MISS Griffin 6' Driving Layup
22200877,2022-23 Regular Season,2023-02-15,Jalen Duren,Isaiah Stewart,Killian Hayes,Jaden Ivey,Bojan Bogdanovic,Al Horford,Blake Griffin,Marcus Smart,Jayson Tatum,Derrick White,1,2,2,0:10:44,0:01:16,0:00:04,9,DET,rebound,,,,,,,,,,Jalen Duren,,,,,,rebound defensive,,,,,,Duren REBOUND (Off:0 Def:2)
22200877,2022-23 Regular Season,2023-02-15,Jalen Duren,Isaiah Stewart,Killian Hayes,Jaden Ivey,Bojan Bogdanovic,Al Horford,Blake Griffin,Marcus Smart,Jayson Tatum,Derrick White,1,2,2,0:10:36,0:01:24,0:00:08,10,DET,shot,,,,,,,,,,Jalen Duren,0,,,missed,,cutting layup shot,5,-38,33,28.8,8.3,MISS Duren 5' Cutting Layup Shot
