game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
22200884,2022-23 Regular Season,2023-02-16,Kristaps Porzingis,Daniel Gafford,Kyle Kuzma,Bradley Beal,Monte Morris,Rudy Gobert,Mike Conley,Anthony Edwards,Kyle Anderson,Jaden McDaniels,1,0,0,0:12:00,0:00:00,0:00:00,1,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
22200884,2022-23 Regular Season,2023-02-16,Kristaps Porzingis,Daniel Gafford,Kyle Kuzma,Bradley Beal,Monte Morris,Rudy Gobert,Mike Conley,Anthony Edwards,Kyle Anderson,Jaden McDaniels,1,0,0,0:12:00,0:00:00,0:00:00,2,MIN,jump ball,,Kristaps Porzingis,Rudy Gobert,,,,,,,Rudy Gobert,,Mike Conley,,,,jump ball,,,,,,Jump Ball Gobert vs. Porzingis: Tip to Conley
22200884,2022-23 Regular Season,2023-02-16,Kristaps Porzingis,Daniel Gafford,Kyle Kuzma,Bradley Beal,Monte Morris,Rudy Gobert,Mike Conley,Anthony Edwards,Kyle Anderson,Jaden McDaniels,1,0,0,0:11:50,0:00:10,0:00:10,3,WAS,foul,,,,,,,,Rudy Gobert,,Daniel Gafford,,,p.foul,,,personal,,,,,,Gafford P.FOUL (P1.T1) (G.Petraitis)
22200884,2022-23 Regular Season,2023-02-16,Kristaps Porzingis,Daniel Gafford,Kyle Kuzma,Bradley Beal,Monte Morris,Rudy Gobert,Mike Conley,Anthony Edwards,Kyle Anderson,Jaden McDaniels,1,0,0,0:11:42,0:00:18,0:00:08,4,MIN,shot,,,,,,,,,,Anthony Edwards,0,,,missed,,driving floating jump shot,2,18,13,26.8,87.7,MISS Edwards 2' Driving Floating Jump Shot
22200884,2022-23 Regular Season,2023-02-16,Kristaps Porzingis,Daniel Gafford,Kyle Kuzma,Bradley Beal,Monte Morris,Rudy Gobert,Mike Conley,Anthony Edwards,Kyle Anderson,Jaden McDaniels,1,0,0,0:11:40,0:00:20,0:00:02,5,WAS,rebound,,,,,,,,,,Daniel Gafford,,,,,,rebound defensive,,,,,,Gafford REBOUND (Off:0 Def:1)
22200884,2022-23 Regular Season,2023-02-16,Kristaps Porzingis,Daniel Gafford,Kyle Kuzma,Bradley Beal,Monte Morris,Rudy Gobert,Mike Conley,Anthony Edwards,Kyle Anderson,Jaden McDaniels,1,0,0,0:11:23,0:00:37,0:00:17,6,WAS,shot,,,,,,,,,,Kyle Kuzma,0,,,missed,,3pt jump shot,25,138,206,11.2,25.6,MISS Kuzma 25' 3PT Jump Shot
22200884,2022-23 Regular Season,2023-02-16,Kristaps Porzingis,Daniel Gafford,Kyle Kuzma,Bradley Beal,Monte Morris,Rudy Gobert,Mike Conley,Anthony Edwards,Kyle Anderson,Jaden McDaniels,1,0,0,0:11:21,0:00:39,0:00:02,7,MIN,rebound,,,,,,,,,,Kyle Anderson,,,,,,rebound defensive,,,,,,Anderson REBOUND (Off:0 Def:1)
22200884,2022-23 Regular Season,2023-02-16,Kristaps Porzingis,Daniel Gafford,Kyle Kuzma,Bradley Beal,Monte Morris,Rudy Gobert,Mike Conley,Anthony Edwards,Kyle Anderson,Jaden McDaniels,1,0,2,0:11:04,0:00:56,0:00:17,8,MIN,shot,Anthony Edwards,,,,,,,,,Rudy Gobert,2,,,made,,driving dunk,2,-5,16,24.5,87.4,Gobert 2' Driving Dunk (2 PTS) (Edwards 1 AST)
22200884,2022-23 Regular Season,2023-02-16,Kristaps Porzingis,Daniel Gafford,Kyle Kuzma,Bradley Beal,Monte Morris,Rudy Gobert,Mike Conley,Anthony Edwards,Kyle Anderson,Jaden McDaniels,1,0,2,0:10:44,0:01:16,0:00:20,9,WAS,shot,,,,,,,,,,Kristaps Porzingis,0,,,missed,,jump shot,14,96,106,15.399999999999999,15.600000000000001,MISS Porzingis 14' Turnaround Jump Shot
22200884,2022-23 Regular Season,2023-02-16,Kristaps Porzingis,Daniel Gafford,Kyle Kuzma,Bradley Beal,Monte Morris,Rudy Gobert,Mike Conley,Anthony Edwards,Kyle Anderson,Jaden McDaniels,1,0,2,0:10:42,0:01:18,0:00:02,10,MIN,rebound,,,,,,,,,,Rudy Gobert,,,,,,rebound defensive,,,,,,Gobert REBOUND (Off:0 Def:1)
22200884,2022-23 Regular Season,2023-02-16,Kristaps Porzingis,Daniel Gafford,Kyle Kuzma,Bradley Beal,Monte Morris,Rudy Gobert,Mike Conley,Anthony Edwards,Kyle Anderson,Jaden McDaniels,1,0,2,0:10:36,0:01:24,0:00:06,11,MIN,turnover,,,,,,,,,,Jaden McDaniels,,,bad pass,,Kyle Kuzma,bad pass,,,,,,McDaniels Bad Pass Turnover (P1.T1): Kuzma STEAL (1 STL)
22200884,2022-23 Regular Season,2023-02-16,Kristaps Porzingis,Daniel Gafford,Kyle Kuzma,Bradley Beal,Monte Morris,Rudy Gobert,Mike Conley,Anthony Edwards,Kyle Anderson,Jaden McDaniels,1,0,2,0:10:31,0:01:29,0:00:05,12,WAS,shot,,,,Anthony Edwards,,,,,,Kyle Kuzma,0,,,missed,,layup,3,10,29,24.0,7.9,Edwards BLOCK (1 BLK): MISS Kuzma 3' Running Layup
22200884,2022-23 Regular Season,2023-02-16,Kristaps Porzingis,Daniel Gafford,Kyle Kuzma,Bradley Beal,Monte Morris,Rudy Gobert,Mike Conley,Anthony Edwards,Kyle Anderson,Jaden McDaniels,1,0,2,0:10:29,0:01:31,0:00:02,13,MIN,rebound,,,,,,,,,,Mike Conley,,,,,,rebound defensive,,,,,,Conley REBOUND (Off:0 Def:1)
22200884,2022-23 Regular Season,2023-02-16,Kristaps Porzingis,Daniel Gafford,Kyle Kuzma,Bradley Beal,Monte Morris,Rudy Gobert,Mike Conley,Anthony Edwards,Kyle Anderson,Jaden McDaniels,1,0,5,0:10:25,0:01:35,0:00:04,14,MIN,shot,Mike Conley,,,,,,,,,Anthony Edwards,3,,,made,,3pt running jump shot,25,207,141,45.7,74.9,Edwards 25' 3PT Running Jump Shot (3 PTS) (Conley 1 AST)
22200884,2022-23 Regular Season,2023-02-16,Kristaps Porzingis,Daniel Gafford,Kyle Kuzma,Bradley Beal,Monte Morris,Rudy Gobert,Mike Conley,Anthony Edwards,Kyle Anderson,Jaden McDaniels,1,3,5,0:10:05,0:01:55,0:00:20,15,WAS,shot,Daniel Gafford,,,,,,,,,Kyle Kuzma,3,,,made,,3pt jump shot,24,235,64,1.5,11.4,Kuzma 24' 3PT Jump Shot (3 PTS) (Gafford 1 AST)
22200884,2022-23 Regular Season,2023-02-16,Kristaps Porzingis,Daniel Gafford,Kyle Kuzma,Bradley Beal,Monte Morris,Rudy Gobert,Mike Conley,Anthony Edwards,Kyle Anderson,Jaden McDaniels,1,3,8,0:09:45,0:02:15,0:00:20,16,MIN,shot,Rudy Gobert,,,,,,,,,Jaden McDaniels,3,,,made,,3pt jump shot,23,-234,-10,1.5999999999999979,90.0,McDaniels 3PT Jump Shot (3 PTS) (Gobert 1 AST)
22200884,2022-23 Regular Season,2023-02-16,Kristaps Porzingis,Daniel Gafford,Kyle Kuzma,Bradley Beal,Monte Morris,Rudy Gobert,Mike Conley,Anthony Edwards,Kyle Anderson,Jaden McDaniels,1,3,8,0:09:28,0:02:32,0:00:17,17,WAS,shot,,,,,,,,,,Bradley Beal,0,,,missed,,driving floating jump shot,8,-7,83,25.7,13.3,MISS Beal 8' Driving Floating Jump Shot
