game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
22200887,2022-23 Regular Season,2023-02-23,Robert Williams III,Marcus Smart,Jaylen Brown,Jayson Tatum,Al Horford,Myles Turner,Aaron Nesmith,Andrew Nembhard,Buddy Hield,Tyrese Haliburton,1,0,0,0:12:00,0:00:00,0:00:00,1,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
22200887,2022-23 Regular Season,2023-02-23,Robert Williams III,Marcus Smart,Jaylen Brown,Jayson Tatum,Al Horford,Myles Turner,Aaron Nesmith,Andrew Nembhard,Buddy Hield,Tyrese Haliburton,1,0,0,0:12:00,0:00:00,0:00:00,2,IND,jump ball,,Robert Williams III,Myles Turner,,,,,,,Robert Williams III,,Marcus Smart,,,,jump ball,,,,,,Jump Ball Turner vs. Williams III: Tip to Smart
22200887,2022-23 Regular Season,2023-02-23,Robert Williams III,Marcus Smart,Jaylen Brown,Jayson Tatum,Al Horford,Myles Turner,Aaron Nesmith,Andrew Nembhard,Buddy Hield,Tyrese Haliburton,1,0,0,0:11:48,0:00:12,0:00:12,3,BOS,shot,,,,,,,,,,Jaylen Brown,0,,,missed,,3pt jump shot,25,70,237,18.0,28.700000000000003,MISS Brown 25' 3PT Jump Shot
22200887,2022-23 Regular Season,2023-02-23,Robert Williams III,Marcus Smart,Jaylen Brown,Jayson Tatum,Al Horford,Myles Turner,Aaron Nesmith,Andrew Nembhard,Buddy Hield,Tyrese Haliburton,1,0,0,0:11:43,0:00:17,0:00:05,4,IND,rebound,,,,,,,,,,Myles Turner,,,,,,rebound defensive,,,,,,Turner REBOUND (Off:0 Def:1)
22200887,2022-23 Regular Season,2023-02-23,Robert Williams III,Marcus Smart,Jaylen Brown,Jayson Tatum,Al Horford,Myles Turner,Aaron Nesmith,Andrew Nembhard,Buddy Hield,Tyrese Haliburton,1,0,0,0:11:24,0:00:36,0:00:19,5,IND,shot,,,,,,,,,,Aaron Nesmith,0,,,missed,,3pt jump shot,26,-129,227,12.1,66.3,MISS Nesmith 26' 3PT Jump Shot
22200887,2022-23 Regular Season,2023-02-23,Robert Williams III,Marcus Smart,Jaylen Brown,Jayson Tatum,Al Horford,Myles Turner,Aaron Nesmith,Andrew Nembhard,Buddy Hield,Tyrese Haliburton,1,0,0,0:11:21,0:00:39,0:00:03,6,BOS,rebound,,,,,,,,,,Jayson Tatum,,,,,,rebound defensive,,,,,,Tatum REBOUND (Off:0 Def:1)
22200887,2022-23 Regular Season,2023-02-23,Robert Williams III,Marcus Smart,Jaylen Brown,Jayson Tatum,Al Horford,Myles Turner,Aaron Nesmith,Andrew Nembhard,Buddy Hield,Tyrese Haliburton,1,0,0,0:11:11,0:00:49,0:00:10,7,BOS,shot,,,,Myles Turner,,,,,,Jayson Tatum,0,,,missed,,layup,2,-2,24,25.2,7.4,Turner BLOCK (1 BLK): MISS Tatum 2' Driving Finger Roll Layup
22200887,2022-23 Regular Season,2023-02-23,Robert Williams III,Marcus Smart,Jaylen Brown,Jayson Tatum,Al Horford,Myles Turner,Aaron Nesmith,Andrew Nembhard,Buddy Hield,Tyrese Haliburton,1,0,0,0:11:10,0:00:50,0:00:01,8,BOS,rebound,,,,,,,,,,Robert Williams III,,,,,,rebound offensive,,,,,,Williams III REBOUND (Off:1 Def:0)
22200887,2022-23 Regular Season,2023-02-23,Robert Williams III,Marcus Smart,Jaylen Brown,Jayson Tatum,Al Horford,Myles Turner,Aaron Nesmith,Andrew Nembhard,Buddy Hield,Tyrese Haliburton,1,2,0,0:11:10,0:00:50,0:00:00,9,BOS,shot,,,,,,,,,,Robert Williams III,2,,,made,,layup,2,1,17,24.9,6.7,Williams III 2' Tip Layup Shot (2 PTS)
22200887,2022-23 Regular Season,2023-02-23,Robert Williams III,Marcus Smart,Jaylen Brown,Jayson Tatum,Al Horford,Myles Turner,Aaron Nesmith,Andrew Nembhard,Buddy Hield,Tyrese Haliburton,1,2,0,0:10:55,0:01:05,0:00:15,10,IND,shot,,,,,,,,,,Andrew Nembhard,0,,,missed,,3pt jump shot,25,228,97,47.8,79.3,MISS Nembhard 25' 3PT Jump Shot
22200887,2022-23 Regular Season,2023-02-23,Robert Williams III,Marcus Smart,Jaylen Brown,Jayson Tatum,Al Horford,Myles Turner,Aaron Nesmith,Andrew Nembhard,Buddy Hield,Tyrese Haliburton,1,2,0,0:10:53,0:01:07,0:00:02,11,BOS,rebound,,,,,,,,,,Al Horford,,,,,,rebound defensive,,,,,,Horford REBOUND (Off:0 Def:1)
22200887,2022-23 Regular Season,2023-02-23,Robert Williams III,Marcus Smart,Jaylen Brown,Jayson Tatum,Al Horford,Myles Turner,Aaron Nesmith,Andrew Nembhard,Buddy Hield,Tyrese Haliburton,1,2,0,0:10:45,0:01:15,0:00:08,12,BOS,turnover,,,,,,,,,,Jayson Tatum,,,bad pass,,Buddy Hield,bad pass,,,,,,Hield STEAL (1 STL): Tatum Bad Pass Turnover (P1.T1)
22200887,2022-23 Regular Season,2023-02-23,Robert Williams III,Marcus Smart,Jaylen Brown,Jayson Tatum,Al Horford,Myles Turner,Aaron Nesmith,Andrew Nembhard,Buddy Hield,Tyrese Haliburton,1,2,3,0:10:39,0:01:21,0:00:06,13,IND,shot,Andrew Nembhard,,,,,,,,,Myles Turner,3,,,made,,3pt jump shot,26,-12,259,23.8,63.099999999999994,Turner 26' 3PT Jump Shot (3 PTS) (Nembhard 1 AST)
22200887,2022-23 Regular Season,2023-02-23,Robert Williams III,Marcus Smart,Jaylen Brown,Jayson Tatum,Al Horford,Myles Turner,Aaron Nesmith,Andrew Nembhard,Buddy Hield,Tyrese Haliburton,1,2,3,0:10:26,0:01:34,0:00:13,14,BOS,turnover,,,,,,,,,,Marcus Smart,,,bad pass,,,bad pass,,,,,,Smart Out of Bounds - Bad Pass Turnover Turnover (P1.T2)
22200887,2022-23 Regular Season,2023-02-23,Robert Williams III,Marcus Smart,Jaylen Brown,Jayson Tatum,Al Horford,Myles Turner,Aaron Nesmith,Andrew Nembhard,Buddy Hield,Tyrese Haliburton,1,2,5,0:10:09,0:01:51,0:00:17,15,IND,shot,,,,,,,,,,Andrew Nembhard,2,,,made,,driving floating bank jump shot,5,31,36,28.1,85.4,Nembhard 5' Driving Floating Bank Jump Shot (2 PTS)
22200887,2022-23 Regular Season,2023-02-23,Robert Williams III,Marcus Smart,Jaylen Brown,Jayson Tatum,Al Horford,Myles Turner,Aaron Nesmith,Andrew Nembhard,Buddy Hield,Tyrese Haliburton,1,2,5,0:09:58,0:02:02,0:00:11,16,BOS,turnover,,,,,,,,,,Jaylen Brown,,,bad pass,,Tyrese Haliburton,bad pass,,,,,,Haliburton STEAL (1 STL): Brown Bad Pass Turnover (P1.T3)
22200887,2022-23 Regular Season,2023-02-23,Robert Williams III,Marcus Smart,Jaylen Brown,Jayson Tatum,Al Horford,Myles Turner,Aaron Nesmith,Andrew Nembhard,Buddy Hield,Tyrese Haliburton,1,2,8,0:09:54,0:02:06,0:00:04,17,IND,shot,Tyrese Haliburton,,,,,,,,,Buddy Hield,3,,,made,,3pt running jump shot,26,-237,110,1.2999999999999972,78.0,Hield 26' 3PT Running Jump Shot (3 PTS) (Haliburton 1 AST)
22200887,2022-23 Regular Season,2023-02-23,Robert Williams III,Marcus Smart,Jaylen Brown,Jayson Tatum,Al Horford,Myles Turner,Aaron Nesmith,Andrew Nembhard,Buddy Hield,Tyrese Haliburton,1,4,8,0:09:30,0:02:30,0:00:24,18,BOS,shot,Al Horford,,,,,,,,,Jaylen Brown,2,,,made,,driving floating jump shot,4,-17,35,26.7,8.5,Brown 4' Driving Floating Jump Shot (2 PTS) (Horford 1 AST)
22200887,2022-23 Regular Season,2023-02-23,Robert Williams III,Marcus Smart,Jaylen Brown,Jayson Tatum,Al Horford,Myles Turner,Aaron Nesmith,Andrew Nembhard,Buddy Hield,Tyrese Haliburton,1,4,8,0:09:17,0:02:43,0:00:13,19,IND,shot,,,,Robert Williams III,,,,,,Tyrese Haliburton,0,,,missed,,3pt step back jump shot,24,229,65,47.900000000000006,82.5,MISS Haliburton 24' 3PT Step Back Jump Shot: Williams III BLOCK (1 BLK)
22200887,2022-23 Regular Season,2023-02-23,Robert Williams III,Marcus Smart,Jaylen Brown,Jayson Tatum,Al Horford,Myles Turner,Aaron Nesmith,Andrew Nembhard,Buddy Hield,Tyrese Haliburton,1,4,8,0:09:14,0:02:46,0:00:03,20,BOS,rebound,,,,,,,,,,Jayson Tatum,,,,,,rebound defensive,,,,,,Tatum REBOUND (Off:0 Def:2)
22200887,2022-23 Regular Season,2023-02-23,Robert Williams III,Marcus Smart,Jaylen Brown,Jayson Tatum,Al Horford,Myles Turner,Aaron Nesmith,Andrew Nembhard,Buddy Hield,Tyrese Haliburton,1,7,8,0:09:05,0:02:55,0:00:09,21,BOS,shot,,,,,,,,,,Jayson Tatum,3,,,made,,3pt step back jump shot,24,-185,155,43.5,20.5,Tatum 24' 3PT Step Back Jump Shot (3 PTS)
22200887,2022-23 Regular Season,2023-02-23,Robert Williams III,Marcus Smart,Jaylen Brown,Jayson Tatum,Al Horford,Myles Turner,Aaron Nesmith,Andrew Nembhard,Buddy Hield,Tyrese Haliburton,1,7,8,0:08:51,0:03:09,0:00:14,22,BOS,foul,,,,,,,,Aaron Nesmith,,Marcus Smart,,,s.foul,,,shooting,,,,,,Smart S.FOUL (P1.T1) (J.Butler)
22200887,2022-23 Regular Season,2023-02-23,Robert Williams III,Marcus Smart,Jaylen Brown,Jayson Tatum,Al Horford,Myles Turner,Aaron Nesmith,Andrew Nembhard,Buddy Hield,Tyrese Haliburton,1,7,9,0:08:51,0:03:09,0:00:00,23,IND,free throw,,,,,,,1,,2,Aaron Nesmith,1,,,made,,free throw 1/2,,,,,,Nesmith Free Throw 1 of 2 (1 PTS)
22200887,2022-23 Regular Season,2023-02-23,Robert Williams III,Marcus Smart,Jaylen Brown,Jayson Tatum,Al Horford,Myles Turner,Aaron Nesmith,Andrew Nembhard,Buddy Hield,Tyrese Haliburton,1,7,10,0:08:51,0:03:09,0:00:00,24,IND,free throw,,,,,,,2,,2,Aaron Nesmith,1,,,made,,free throw 2/2,,,,,,Nesmith Free Throw 2 of 2 (2 PTS)
22200887,2022-23 Regular Season,2023-02-23,Robert Williams III,Marcus Smart,Jaylen Brown,Jayson Tatum,Al Horford,Myles Turner,Aaron Nesmith,Andrew Nembhard,Buddy Hield,Tyrese Haliburton,1,7,10,0:08:45,0:03:15,0:00:06,25,BOS,foul,,,,,,,,Aaron Nesmith,,Jaylen Brown,,,,,,offensive,,,,,,Brown OFF.Foul (P1) (S.Twardoski)
22200887,2022-23 Regular Season,2023-02-23,Robert Williams III,Marcus Smart,Jaylen Brown,Jayson Tatum,Al Horford,Myles Turner,Aaron Nesmith,Andrew Nembhard,Buddy Hield,Tyrese Haliburton,1,7,10,0:08:45,0:03:15,0:00:00,26,BOS,turnover,,,,,,,,,,Jaylen Brown,,,offensive foul turnover,,,offensive foul,,,,,,Brown Offensive Foul Turnover (P2.T4)
22200887,2022-23 Regular Season,2023-02-23,Robert Williams III,Marcus Smart,Jaylen Brown,Jayson Tatum,Al Horford,Myles Turner,Aaron Nesmith,Andrew Nembhard,Buddy Hield,Tyrese Haliburton,1,7,10,0:08:34,0:03:26,0:00:11,27,IND,shot,,,,,,,,,,Buddy Hield,0,,,missed,,3pt jump shot,24,229,84,47.900000000000006,80.6,MISS Hield 24' 3PT Jump Shot
22200887,2022-23 Regular Season,2023-02-23,Robert Williams III,Marcus Smart,Jaylen Brown,Jayson Tatum,Al Horford,Myles Turner,Aaron Nesmith,Andrew Nembhard,Buddy Hield,Tyrese Haliburton,1,7,10,0:08:32,0:03:28,0:00:02,28,BOS,rebound,,,,,,,,,,Jayson Tatum,,,,,,rebound defensive,,,,,,Tatum REBOUND (Off:0 Def:3)
22200887,2022-23 Regular Season,2023-02-23,Robert Williams III,Marcus Smart,Jaylen Brown,Jayson Tatum,Al Horford,Myles Turner,Aaron Nesmith,Andrew Nembhard,Buddy Hield,Tyrese Haliburton,1,10,10,0:08:18,0:03:42,0:00:14,29,BOS,shot,Marcus Smart,,,,,,,,,Al Horford,3,,,made,,3pt jump shot,26,-97,245,34.7,29.5,Horford 26' 3PT Jump Shot (3 PTS) (Smart 1 AST)
22200887,2022-23 Regular Season,2023-02-23,Robert Williams III,Marcus Smart,Jaylen Brown,Jayson Tatum,Al Horford,Myles Turner,Aaron Nesmith,Andrew Nembhard,Buddy Hield,Tyrese Haliburton,1,10,10,0:07:53,0:04:07,0:00:25,30,IND,turnover,,,,,,,,,,Andrew Nembhard,,,bad pass,,,bad pass,,,,,,Nembhard Out of Bounds - Bad Pass Turnover Turnover (P1.T1)
22200887,2022-23 Regular Season,2023-02-23,Robert Williams III,Marcus Smart,Jaylen Brown,Jayson Tatum,Al Horford,Myles Turner,Aaron Nesmith,Andrew Nembhard,Buddy Hield,Tyrese Haliburton,1,12,10,0:07:38,0:04:22,0:00:15,31,BOS,shot,Jaylen Brown,,,,,,,,,Robert Williams III,2,,,made,,cutting dunk shot,1,-9,3,25.9,5.3,Williams III 1' Cutting Dunk Shot (4 PTS) (Brown 1 AST)
22200887,2022-23 Regular Season,2023-02-23,Robert Williams III,Marcus Smart,Jaylen Brown,Jayson Tatum,Al Horford,Myles Turner,Aaron Nesmith,Andrew Nembhard,Buddy Hield,Tyrese Haliburton,1,12,10,0:07:37,0:04:23,0:00:01,32,IND,timeout,,,,,,,,,,,,,,,,timeout: regular,,,,,,PACERS Timeout: Regular (Full 1 Short 0)
22200887,2022-23 Regular Season,2023-02-23,Robert Williams III,Marcus Smart,Jaylen Brown,Jayson Tatum,Al Horford,Myles Turner,Aaron Nesmith,Andrew Nembhard,Buddy Hield,Tyrese Haliburton,1,12,10,0:07:17,0:04:43,0:00:20,33,IND,turnover,,,,,,,,,,Myles Turner,,,,,Jaylen Brown,lost ball,,,,,,Turner Lost Ball Turnover (P1.T2): Brown STEAL (1 STL)
22200887,2022-23 Regular Season,2023-02-23,Robert Williams III,Marcus Smart,Jaylen Brown,Jayson Tatum,Al Horford,Myles Turner,Aaron Nesmith,Andrew Nembhard,Buddy Hield,Tyrese Haliburton,1,14,10,0:07:12,0:04:48,0:00:05,34,BOS,shot,,,,,,,,,,Jaylen Brown,2,,,made,,layup,3,26,14,22.4,6.4,Brown 3' Running Finger Roll Layup (4 PTS)
22200887,2022-23 Regular Season,2023-02-23,Robert Williams III,Marcus Smart,Jaylen Brown,Jayson Tatum,Al Horford,Myles Turner,Aaron Nesmith,Andrew Nembhard,Buddy Hield,Tyrese Haliburton,1,14,13,0:06:58,0:05:02,0:00:14,35,IND,shot,Tyrese Haliburton,,,,,,,,,Myles Turner,3,,,made,,3pt jump shot,27,-10,268,24.0,62.2,Turner 27' 3PT Jump Shot (6 PTS) (Haliburton 2 AST)
22200887,2022-23 Regular Season,2023-02-23,Robert Williams III,Marcus Smart,Jaylen Brown,Jayson Tatum,Al Horford,Myles Turner,Aaron Nesmith,Andrew Nembhard,Buddy Hield,Tyrese Haliburton,1,16,13,0:06:37,0:05:23,0:00:21,36,BOS,shot,Jayson Tatum,,,,,,,,,Al Horford,2,,,made,,jump shot,15,142,43,10.799999999999999,9.3,Horford 15' Turnaround Jump Shot (5 PTS) (Tatum 1 AST)
22200887,2022-23 Regular Season,2023-02-23,Robert Williams III,Marcus Smart,Jaylen Brown,Jayson Tatum,Al Horford,Myles Turner,Aaron Nesmith,Andrew Nembhard,Buddy Hield,Tyrese Haliburton,1,16,13,0:06:15,0:05:45,0:00:22,37,IND,shot,,,,,,,,,,Buddy Hield,0,,,missed,,3pt step back jump shot,26,15,257,26.5,63.3,MISS Hield 26' 3PT Step Back Jump Shot
22200887,2022-23 Regular Season,2023-02-23,Robert Williams III,Marcus Smart,Jaylen Brown,Jayson Tatum,Al Horford,Myles Turner,Aaron Nesmith,Andrew Nembhard,Buddy Hield,Tyrese Haliburton,1,16,13,0:06:11,0:05:49,0:00:04,38,BOS,rebound,,,,,,,,,,Marcus Smart,,,,,,rebound defensive,,,,,,Smart REBOUND (Off:0 Def:1)
22200887,2022-23 Regular Season,2023-02-23,Robert Williams III,Marcus Smart,Jaylen Brown,Jayson Tatum,Al Horford,Myles Turner,Aaron Nesmith,Andrew Nembhard,Buddy Hield,Tyrese Haliburton,1,16,13,0:06:08,0:05:52,0:00:03,39,IND,foul,,,,,,,,Jaylen Brown,,Buddy Hield,,,s.foul,,,shooting,,,,,,Hield S.FOUL (P1.T1) (S.Twardoski)
