game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
22200898,2022-23 Regular Season,2023-02-24,Mark Williams,P.J. Washington,Gordon Hayward,LaMelo Ball,Terry Rozier,Rudy Gobert,Mike Conley,Jaden McDaniels,Kyle Anderson,Anthony Edwards,1,0,0,0:12:00,0:00:00,0:00:00,1,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
22200898,2022-23 Regular Season,2023-02-24,Mark Williams,P.J. Washington,Gordon Hayward,LaMelo Ball,Terry Rozier,Rudy Gobert,Mike Conley,Jaden McDaniels,Kyle Anderson,Anthony Edwards,1,0,0,0:12:00,0:00:00,0:00:00,2,MIN,jump ball,,Mark Williams,Rudy Gobert,,,,,,,Rudy Gobert,,Mike Conley,,,,jump ball,,,,,,Jump Ball Gobert vs. Williams: Tip to Conley
22200898,2022-23 Regular Season,2023-02-24,Mark Williams,P.J. Washington,Gordon Hayward,LaMelo Ball,Terry Rozier,Rudy Gobert,Mike Conley,Jaden McDaniels,Kyle Anderson,Anthony Edwards,1,0,0,0:11:36,0:00:24,0:00:24,3,MIN,shot,,,,,,,,,,Mike Conley,0,,,missed,,3pt jump shot,26,96,237,34.6,65.3,MISS Conley 26' 3PT Jump Shot
22200898,2022-23 Regular Season,2023-02-24,Mark Williams,P.J. Washington,Gordon Hayward,LaMelo Ball,Terry Rozier,Rudy Gobert,Mike Conley,Jaden McDaniels,Kyle Anderson,Anthony Edwards,1,0,0,0:11:33,0:00:27,0:00:03,4,CHA,rebound,,,,,,,,,,P.J. Washington,,,,,,rebound defensive,,,,,,Washington REBOUND (Off:0 Def:1)
22200898,2022-23 Regular Season,2023-02-24,Mark Williams,P.J. Washington,Gordon Hayward,LaMelo Ball,Terry Rozier,Rudy Gobert,Mike Conley,Jaden McDaniels,Kyle Anderson,Anthony Edwards,1,2,0,0:11:19,0:00:41,0:00:14,5,CHA,shot,,,,,,,,,,Gordon Hayward,2,,,made,,jump shot,18,142,111,10.799999999999999,16.1,Hayward 18' Pullup Jump Shot (2 PTS)
22200898,2022-23 Regular Season,2023-02-24,Mark Williams,P.J. Washington,Gordon Hayward,LaMelo Ball,Terry Rozier,Rudy Gobert,Mike Conley,Jaden McDaniels,Kyle Anderson,Anthony Edwards,1,2,2,0:11:08,0:00:52,0:00:11,6,MIN,shot,,,,,,,,,,Jaden McDaniels,2,,,made,,floating jump shot,8,0,85,25.0,80.5,McDaniels 9' Floating Jump Shot (2 PTS)
22200898,2022-23 Regular Season,2023-02-24,Mark Williams,P.J. Washington,Gordon Hayward,LaMelo Ball,Terry Rozier,Rudy Gobert,Mike Conley,Jaden McDaniels,Kyle Anderson,Anthony Edwards,1,2,2,0:11:08,0:00:52,0:00:00,7,CHA,foul,,,,,,,,Jaden McDaniels,,Gordon Hayward,,,s.foul,,,shooting,,,,,,Hayward S.FOUL (P1.T1) (J.Schroeder)
22200898,2022-23 Regular Season,2023-02-24,Mark Williams,P.J. Washington,Gordon Hayward,LaMelo Ball,Terry Rozier,Rudy Gobert,Mike Conley,Jaden McDaniels,Kyle Anderson,Anthony Edwards,1,2,2,0:11:08,0:00:52,0:00:00,8,MIN,free throw,,,,,,,1,,1,Jaden McDaniels,0,,,missed,,free throw 1/1,,,,,,MISS McDaniels Free Throw 1 of 1
22200898,2022-23 Regular Season,2023-02-24,Mark Williams,P.J. Washington,Gordon Hayward,LaMelo Ball,Terry Rozier,Rudy Gobert,Mike Conley,Jaden McDaniels,Kyle Anderson,Anthony Edwards,1,2,2,0:11:06,0:00:54,0:00:02,9,CHA,rebound,,,,,,,,,,Gordon Hayward,,,,,,rebound defensive,,,,,,Hayward REBOUND (Off:0 Def:1)
22200898,2022-23 Regular Season,2023-02-24,Mark Williams,P.J. Washington,Gordon Hayward,LaMelo Ball,Terry Rozier,Rudy Gobert,Mike Conley,Jaden McDaniels,Kyle Anderson,Anthony Edwards,1,2,2,0:10:57,0:01:03,0:00:09,10,CHA,shot,,,,,,,,,,Mark Williams,0,,,missed,,floating jump shot,8,-5,75,25.5,12.5,MISS Williams 8' Floating Jump Shot
