game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
22200909,2022-23 Regular Season,2023-02-25,Zach Collins,Malaki Branham,Jeremy Sochan,Keita Bates-Diop,Keldon Johnson,Walker Kessler,Talen Horton-Tucker,Lauri Markkanen,Kelly Olynyk,Jordan Clarkson,1,0,0,0:12:00,0:00:00,0:00:00,1,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
22200909,2022-23 Regular Season,2023-02-25,Zach Collins,Malaki Branham,Jeremy Sochan,Keita Bates-Diop,Keldon Johnson,Walker Kessler,Talen Horton-Tucker,Lauri Markkanen,Kelly Olynyk,Jordan Clarkson,1,0,0,0:12:00,0:00:00,0:00:00,2,UTA,jump ball,,Zach Collins,Walker Kessler,,,,,,,Walker Kessler,,Talen Horton-Tucker,,,,jump ball,,,,,,Jump Ball Kessler vs. Collins: Tip to Horton-Tucker
22200909,2022-23 Regular Season,2023-02-25,Zach Collins,Malaki Branham,Jeremy Sochan,Keita Bates-Diop,Keldon Johnson,Walker Kessler,Talen Horton-Tucker,Lauri Markkanen,Kelly Olynyk,Jordan Clarkson,1,0,0,0:11:41,0:00:19,0:00:19,3,UTA,shot,,,,,,,,,,Lauri Markkanen,0,,,missed,,hook shot,9,-45,73,20.5,81.7,MISS Markkanen 9' Driving Hook Shot
22200909,2022-23 Regular Season,2023-02-25,Zach Collins,Malaki Branham,Jeremy Sochan,Keita Bates-Diop,Keldon Johnson,Walker Kessler,Talen Horton-Tucker,Lauri Markkanen,Kelly Olynyk,Jordan Clarkson,1,0,0,0:11:39,0:00:21,0:00:02,4,SAS,rebound,,,,,,,,,,Zach Collins,,,,,,rebound defensive,,,,,,Collins REBOUND (Off:0 Def:1)
22200909,2022-23 Regular Season,2023-02-25,Zach Collins,Malaki Branham,Jeremy Sochan,Keita Bates-Diop,Keldon Johnson,Walker Kessler,Talen Horton-Tucker,Lauri Markkanen,Kelly Olynyk,Jordan Clarkson,1,0,0,0:11:29,0:00:31,0:00:10,5,SAS,shot,,,,Talen Horton-Tucker,,,,,,Malaki Branham,0,,,missed,,driving layup,3,-21,24,27.1,7.4,Horton-Tucker BLOCK (1 BLK): MISS Branham 3' Driving Layup
22200909,2022-23 Regular Season,2023-02-25,Zach Collins,Malaki Branham,Jeremy Sochan,Keita Bates-Diop,Keldon Johnson,Walker Kessler,Talen Horton-Tucker,Lauri Markkanen,Kelly Olynyk,Jordan Clarkson,1,0,0,0:11:25,0:00:35,0:00:04,6,SAS,rebound,,,,,,,,,,Malaki Branham,,,,,,rebound offensive,,,,,,Branham REBOUND (Off:1 Def:0)
22200909,2022-23 Regular Season,2023-02-25,Zach Collins,Malaki Branham,Jeremy Sochan,Keita Bates-Diop,Keldon Johnson,Walker Kessler,Talen Horton-Tucker,Lauri Markkanen,Kelly Olynyk,Jordan Clarkson,1,3,0,0:11:25,0:00:35,0:00:00,7,SAS,shot,Malaki Branham,,,,,,,,,Jeremy Sochan,3,,,made,,3pt jump shot,25,-44,243,29.4,29.3,Sochan 25' 3PT Jump Shot (3 PTS) (Branham 1 AST)
22200909,2022-23 Regular Season,2023-02-25,Zach Collins,Malaki Branham,Jeremy Sochan,Keita Bates-Diop,Keldon Johnson,Walker Kessler,Talen Horton-Tucker,Lauri Markkanen,Kelly Olynyk,Jordan Clarkson,1,3,2,0:11:08,0:00:52,0:00:17,8,UTA,shot,Kelly Olynyk,,,,,,,,,Walker Kessler,2,,,made,,cutting dunk shot,2,-15,13,23.5,87.7,Kessler 2' Cutting Dunk Shot (2 PTS) (Olynyk 1 AST)
22200909,2022-23 Regular Season,2023-02-25,Zach Collins,Malaki Branham,Jeremy Sochan,Keita Bates-Diop,Keldon Johnson,Walker Kessler,Talen Horton-Tucker,Lauri Markkanen,Kelly Olynyk,Jordan Clarkson,1,6,2,0:10:51,0:01:09,0:00:17,9,SAS,shot,Keita Bates-Diop,,,,,,,,,Zach Collins,3,,,made,,3pt jump shot,25,104,226,14.6,27.6,Collins 25' 3PT Jump Shot (3 PTS) (Bates-Diop 1 AST)
22200909,2022-23 Regular Season,2023-02-25,Zach Collins,Malaki Branham,Jeremy Sochan,Keita Bates-Diop,Keldon Johnson,Walker Kessler,Talen Horton-Tucker,Lauri Markkanen,Kelly Olynyk,Jordan Clarkson,1,6,2,0:10:41,0:01:19,0:00:10,10,UTA,turnover,,,,,,,,,,Talen Horton-Tucker,,,bad pass,,Zach Collins,bad pass,,,,,,Horton-Tucker Bad Pass Turnover (P1.T1): Collins STEAL (1 STL)
