game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
22200922,2022-23 Regular Season,2023-02-27,Wendell Carter Jr.,Markelle Fultz,Paolo Banchero,Franz Wagner,Gary Harris,Jonas Valanciunas,Brandon Ingram,CJ McCollum,Josh Richardson,Herbert Jones,1,0,0,0:12:00,0:00:00,0:00:00,1,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
22200922,2022-23 Regular Season,2023-02-27,Wendell Carter Jr.,Markelle Fultz,Paolo Banchero,Franz Wagner,Gary Harris,Jonas Valanciunas,Brandon Ingram,CJ McCollum,Josh Richardson,Herbert Jones,1,0,0,0:12:00,0:00:00,0:00:00,2,NOP,jump ball,,Wendell Carter Jr.,Jonas Valanciunas,,,,,,,Jonas Valanciunas,,Brandon Ingram,,,,jump ball,,,,,,Jump Ball Valanciunas vs. Carter Jr.: Tip to Ingram
22200922,2022-23 Regular Season,2023-02-27,Wendell Carter Jr.,Markelle Fultz,Paolo Banchero,Franz Wagner,Gary Harris,Jonas Valanciunas,Brandon Ingram,CJ McCollum,Josh Richardson,Herbert Jones,1,0,2,0:11:46,0:00:14,0:00:14,3,NOP,shot,CJ McCollum,,,,,,,,,Brandon Ingram,2,,,made,,jump shot,18,97,152,34.7,73.8,Ingram 18' Pullup Jump Shot (2 PTS) (McCollum 1 AST)
22200922,2022-23 Regular Season,2023-02-27,Wendell Carter Jr.,Markelle Fultz,Paolo Banchero,Franz Wagner,Gary Harris,Jonas Valanciunas,Brandon Ingram,CJ McCollum,Josh Richardson,Herbert Jones,1,0,2,0:11:35,0:00:25,0:00:11,4,ORL,shot,,,,,,,,,,Wendell Carter Jr.,0,,,missed,,3pt jump shot,26,168,197,8.2,24.700000000000003,MISS Carter Jr. 26' 3PT Jump Shot
22200922,2022-23 Regular Season,2023-02-27,Wendell Carter Jr.,Markelle Fultz,Paolo Banchero,Franz Wagner,Gary Harris,Jonas Valanciunas,Brandon Ingram,CJ McCollum,Josh Richardson,Herbert Jones,1,0,2,0:11:30,0:00:30,0:00:05,5,ORL,rebound,,,,,,,,,,Wendell Carter Jr.,,,,,,rebound offensive,,,,,,Carter Jr. REBOUND (Off:1 Def:0)
22200922,2022-23 Regular Season,2023-02-27,Wendell Carter Jr.,Markelle Fultz,Paolo Banchero,Franz Wagner,Gary Harris,Jonas Valanciunas,Brandon Ingram,CJ McCollum,Josh Richardson,Herbert Jones,1,2,2,0:11:29,0:00:31,0:00:01,6,ORL,shot,Wendell Carter Jr.,,,,,,,,,Markelle Fultz,2,,,made,,driving floating jump shot,10,-97,-6,34.7,4.4,Fultz 10' Driving Floating Jump Shot (2 PTS) (Carter Jr. 1 AST)
22200922,2022-23 Regular Season,2023-02-27,Wendell Carter Jr.,Markelle Fultz,Paolo Banchero,Franz Wagner,Gary Harris,Jonas Valanciunas,Brandon Ingram,CJ McCollum,Josh Richardson,Herbert Jones,1,2,5,0:11:11,0:00:49,0:00:18,7,NOP,shot,CJ McCollum,,,,,,,,,Brandon Ingram,3,,,made,,3pt jump shot,25,233,91,48.3,79.9,Ingram 25' 3PT Jump Shot (5 PTS) (McCollum 2 AST)
22200922,2022-23 Regular Season,2023-02-27,Wendell Carter Jr.,Markelle Fultz,Paolo Banchero,Franz Wagner,Gary Harris,Jonas Valanciunas,Brandon Ingram,CJ McCollum,Josh Richardson,Herbert Jones,1,5,5,0:10:54,0:01:06,0:00:17,8,ORL,shot,Paolo Banchero,,,,,,,,,Markelle Fultz,3,,,made,,3pt jump shot,26,179,182,7.099999999999998,23.2,Fultz 26' 3PT Jump Shot (5 PTS) (Banchero 1 AST)
22200922,2022-23 Regular Season,2023-02-27,Wendell Carter Jr.,Markelle Fultz,Paolo Banchero,Franz Wagner,Gary Harris,Jonas Valanciunas,Brandon Ingram,CJ McCollum,Josh Richardson,Herbert Jones,1,5,5,0:10:44,0:01:16,0:00:10,9,NOP,shot,,,,,,,,,,CJ McCollum,0,,,missed,,3pt pullup jump shot,26,37,262,28.7,62.8,MISS McCollum 26' 3PT Pullup Jump Shot
22200922,2022-23 Regular Season,2023-02-27,Wendell Carter Jr.,Markelle Fultz,Paolo Banchero,Franz Wagner,Gary Harris,Jonas Valanciunas,Brandon Ingram,CJ McCollum,Josh Richardson,Herbert Jones,1,5,5,0:10:43,0:01:17,0:00:01,10,NOP,rebound,,,,,,,,,,,,,,,,rebound offensive,,,,,,PELICANS Rebound
22200922,2022-23 Regular Season,2023-02-27,Wendell Carter Jr.,Markelle Fultz,Paolo Banchero,Franz Wagner,Gary Harris,Jonas Valanciunas,Brandon Ingram,CJ McCollum,Josh Richardson,Herbert Jones,1,5,5,0:10:43,0:01:17,0:00:00,11,ORL,foul,,,,,,,,Jonas Valanciunas,,Wendell Carter Jr.,,,l.b.foul,,,loose ball,,,,,,Carter Jr. L.B.FOUL (P1.T1) (C.Washington)
22200922,2022-23 Regular Season,2023-02-27,Wendell Carter Jr.,Markelle Fultz,Paolo Banchero,Franz Wagner,Gary Harris,Jonas Valanciunas,Brandon Ingram,CJ McCollum,Josh Richardson,Herbert Jones,1,5,5,0:10:30,0:01:30,0:00:13,12,NOP,turnover,,,,,,,,,,CJ McCollum,,,bad pass,,Paolo Banchero,bad pass,,,,,,McCollum Bad Pass Turnover (P1.T1): Banchero STEAL (1 STL)
22200922,2022-23 Regular Season,2023-02-27,Wendell Carter Jr.,Markelle Fultz,Paolo Banchero,Franz Wagner,Gary Harris,Jonas Valanciunas,Brandon Ingram,CJ McCollum,Josh Richardson,Herbert Jones,1,5,5,0:10:29,0:01:31,0:00:01,13,ORL,turnover,,,,,,,,,,Wendell Carter Jr.,,,bad pass,,CJ McCollum,bad pass,,,,,,McCollum STEAL (1 STL): Carter Jr. Bad Pass Turnover (P1.T1)
22200922,2022-23 Regular Season,2023-02-27,Wendell Carter Jr.,Markelle Fultz,Paolo Banchero,Franz Wagner,Gary Harris,Jonas Valanciunas,Brandon Ingram,CJ McCollum,Josh Richardson,Herbert Jones,1,5,5,0:10:27,0:01:33,0:00:02,14,NOP,shot,,,,,,,,,,CJ McCollum,0,,,missed,,3pt step back jump shot,27,-87,260,16.299999999999997,63.0,MISS McCollum 27' 3PT Step Back Jump Shot
22200922,2022-23 Regular Season,2023-02-27,Wendell Carter Jr.,Markelle Fultz,Paolo Banchero,Franz Wagner,Gary Harris,Jonas Valanciunas,Brandon Ingram,CJ McCollum,Josh Richardson,Herbert Jones,1,5,5,0:10:23,0:01:37,0:00:04,15,ORL,rebound,,,,,,,,,,Wendell Carter Jr.,,,,,,rebound defensive,,,,,,Carter Jr. REBOUND (Off:1 Def:1)
22200922,2022-23 Regular Season,2023-02-27,Wendell Carter Jr.,Markelle Fultz,Paolo Banchero,Franz Wagner,Gary Harris,Jonas Valanciunas,Brandon Ingram,CJ McCollum,Josh Richardson,Herbert Jones,1,5,5,0:10:16,0:01:44,0:00:07,16,ORL,foul,,,,,,,,Josh Richardson,,Wendell Carter Jr.,,,,,,offensive,,,,,,Carter Jr. OFF.Foul (P2) (P.Fraher)
22200922,2022-23 Regular Season,2023-02-27,Wendell Carter Jr.,Markelle Fultz,Paolo Banchero,Franz Wagner,Gary Harris,Jonas Valanciunas,Brandon Ingram,CJ McCollum,Josh Richardson,Herbert Jones,1,5,5,0:10:16,0:01:44,0:00:00,17,ORL,turnover,,,,,,,,,,Wendell Carter Jr.,,,offensive foul turnover,,,offensive foul,,,,,,Carter Jr. Offensive Foul Turnover (P2.T2)
22200922,2022-23 Regular Season,2023-02-27,Moritz Wagner,Markelle Fultz,Paolo Banchero,Franz Wagner,Gary Harris,Jonas Valanciunas,Brandon Ingram,CJ McCollum,Josh Richardson,Herbert Jones,1,5,5,0:10:16,0:01:44,0:00:00,18,ORL,substitution,,,,,Moritz Wagner,Wendell Carter Jr.,,,,Wendell Carter Jr.,,,,,,sub,,,,,,SUB: M. Wagner FOR Carter Jr.
22200922,2022-23 Regular Season,2023-02-27,Moritz Wagner,Markelle Fultz,Paolo Banchero,Franz Wagner,Gary Harris,Jonas Valanciunas,Brandon Ingram,CJ McCollum,Josh Richardson,Herbert Jones,1,5,5,0:10:00,0:02:00,0:00:16,19,ORL,foul,,,,,,,,Brandon Ingram,,Moritz Wagner,,,s.foul,,,shooting,,,,,,M. Wagner S.FOUL (P1.T2) (P.Fraher)
22200922,2022-23 Regular Season,2023-02-27,Moritz Wagner,Markelle Fultz,Paolo Banchero,Franz Wagner,Gary Harris,Jonas Valanciunas,Brandon Ingram,CJ McCollum,Josh Richardson,Herbert Jones,1,5,6,0:10:00,0:02:00,0:00:00,20,NOP,free throw,,,,,,,1,,2,Brandon Ingram,1,,,made,,free throw 1/2,,,,,,Ingram Free Throw 1 of 2 (6 PTS)
22200922,2022-23 Regular Season,2023-02-27,Moritz Wagner,Markelle Fultz,Paolo Banchero,Franz Wagner,Gary Harris,Jonas Valanciunas,Brandon Ingram,CJ McCollum,Josh Richardson,Herbert Jones,1,5,7,0:10:00,0:02:00,0:00:00,21,NOP,free throw,,,,,,,2,,2,Brandon Ingram,1,,,made,,free throw 2/2,,,,,,Ingram Free Throw 2 of 2 (7 PTS)
22200922,2022-23 Regular Season,2023-02-27,Moritz Wagner,Markelle Fultz,Paolo Banchero,Franz Wagner,Gary Harris,Jonas Valanciunas,Brandon Ingram,CJ McCollum,Josh Richardson,Herbert Jones,1,7,7,0:09:48,0:02:12,0:00:12,22,ORL,shot,Franz Wagner,,,,,,,,,Moritz Wagner,2,,,made,,driving layup,2,17,0,23.3,5.0,M. Wagner 2' Driving Layup (2 PTS) (F. Wagner 1 AST)
22200922,2022-23 Regular Season,2023-02-27,Moritz Wagner,Markelle Fultz,Paolo Banchero,Franz Wagner,Gary Harris,Jonas Valanciunas,Brandon Ingram,CJ McCollum,Josh Richardson,Herbert Jones,1,7,7,0:09:33,0:02:27,0:00:15,23,NOP,shot,,,,,,,,,,Josh Richardson,0,,,missed,,3pt jump shot,23,-232,0,1.7999999999999972,89.0,MISS Richardson 3PT Jump Shot
22200922,2022-23 Regular Season,2023-02-27,Moritz Wagner,Markelle Fultz,Paolo Banchero,Franz Wagner,Gary Harris,Jonas Valanciunas,Brandon Ingram,CJ McCollum,Josh Richardson,Herbert Jones,1,7,7,0:09:29,0:02:31,0:00:04,24,ORL,rebound,,,,,,,,,,Markelle Fultz,,,,,,rebound defensive,,,,,,Fultz REBOUND (Off:0 Def:1)
22200922,2022-23 Regular Season,2023-02-27,Moritz Wagner,Markelle Fultz,Paolo Banchero,Franz Wagner,Gary Harris,Jonas Valanciunas,Brandon Ingram,CJ McCollum,Josh Richardson,Herbert Jones,1,10,7,0:09:24,0:02:36,0:00:05,25,ORL,shot,Markelle Fultz,,,,,,,,,Moritz Wagner,3,,,made,,3pt jump shot,25,-189,169,43.900000000000006,21.900000000000002,M. Wagner 25' 3PT Jump Shot (5 PTS) (Fultz 1 AST)
22200922,2022-23 Regular Season,2023-02-27,Moritz Wagner,Markelle Fultz,Paolo Banchero,Franz Wagner,Gary Harris,Jonas Valanciunas,Brandon Ingram,CJ McCollum,Josh Richardson,Herbert Jones,1,10,7,0:09:00,0:03:00,0:00:24,26,NOP,turnover,,,,,,,,,,Jonas Valanciunas,,,,,Gary Harris,lost ball,,,,,,Valanciunas Lost Ball Turnover (P1.T2): Harris STEAL (1 STL)
22200922,2022-23 Regular Season,2023-02-27,Moritz Wagner,Markelle Fultz,Paolo Banchero,Franz Wagner,Gary Harris,Jonas Valanciunas,Brandon Ingram,CJ McCollum,Josh Richardson,Herbert Jones,1,12,7,0:08:50,0:03:10,0:00:10,27,ORL,shot,,,,,,,,,,Paolo Banchero,2,,,made,,hook shot,7,65,-10,18.5,4.0,Banchero 7' Turnaround Bank Hook Shot (2 PTS)
