game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
22200941,2022-23 Regular Season,2023-03-01,Willy Hernangomez,CJ McCollum,Brandon Ingram,Herbert Jones,Josh Richardson,Drew Eubanks,Damian Lillard,Matisse Thybulle,Jerami Grant,Anfernee Simons,1,0,0,0:12:00,0:00:00,0:00:00,1,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
22200941,2022-23 Regular Season,2023-03-01,Willy Hernangomez,CJ McCollum,Brandon Ingram,Herbert Jones,Josh Richardson,Drew Eubanks,Damian Lillard,Matisse Thybulle,Jerami Grant,Anfernee Simons,1,0,0,0:12:00,0:00:00,0:00:00,2,POR,jump ball,,Willy Hernangomez,Drew Eubanks,,,,,,,Drew Eubanks,,Damian Lillard,,,,jump ball,,,,,,Jump Ball Eubanks vs. Hernangomez: Tip to Lillard
22200941,2022-23 Regular Season,2023-03-01,Willy Hernangomez,CJ McCollum,Brandon Ingram,Herbert Jones,Josh Richardson,Drew Eubanks,Damian Lillard,Matisse Thybulle,Jerami Grant,Anfernee Simons,1,0,2,0:11:34,0:00:26,0:00:26,3,POR,shot,,,,,,,,,,Matisse Thybulle,2,,,made,,driving layup,8,28,71,27.8,81.9,Thybulle 8' Driving Layup (2 PTS)
22200941,2022-23 Regular Season,2023-03-01,Willy Hernangomez,CJ McCollum,Brandon Ingram,Herbert Jones,Josh Richardson,Drew Eubanks,Damian Lillard,Matisse Thybulle,Jerami Grant,Anfernee Simons,1,0,2,0:11:12,0:00:48,0:00:22,4,NOP,shot,,,,,,,,,,CJ McCollum,0,,,missed,,jump shot,15,145,29,10.5,7.9,MISS McCollum 15' Jump Shot
22200941,2022-23 Regular Season,2023-03-01,Willy Hernangomez,CJ McCollum,Brandon Ingram,Herbert Jones,Josh Richardson,Drew Eubanks,Damian Lillard,Matisse Thybulle,Jerami Grant,Anfernee Simons,1,0,2,0:11:10,0:00:50,0:00:02,5,POR,rebound,,,,,,,,,,Damian Lillard,,,,,,rebound defensive,,,,,,Lillard REBOUND (Off:0 Def:1)
22200941,2022-23 Regular Season,2023-03-01,Willy Hernangomez,CJ McCollum,Brandon Ingram,Herbert Jones,Josh Richardson,Drew Eubanks,Damian Lillard,Matisse Thybulle,Jerami Grant,Anfernee Simons,1,0,2,0:11:06,0:00:54,0:00:04,6,POR,shot,,,,,,,,,,Matisse Thybulle,0,,,missed,,layup,4,-16,31,23.4,85.9,MISS Thybulle 3' Running Layup
22200941,2022-23 Regular Season,2023-03-01,Willy Hernangomez,CJ McCollum,Brandon Ingram,Herbert Jones,Josh Richardson,Drew Eubanks,Damian Lillard,Matisse Thybulle,Jerami Grant,Anfernee Simons,1,0,2,0:11:03,0:00:57,0:00:03,7,NOP,rebound,,,,,,,,,,CJ McCollum,,,,,,rebound defensive,,,,,,McCollum REBOUND (Off:0 Def:1)
22200941,2022-23 Regular Season,2023-03-01,Willy Hernangomez,CJ McCollum,Brandon Ingram,Herbert Jones,Josh Richardson,Drew Eubanks,Damian Lillard,Matisse Thybulle,Jerami Grant,Anfernee Simons,1,2,2,0:11:00,0:01:00,0:00:03,8,NOP,shot,,,,,,,,,,CJ McCollum,2,,,made,,jump shot,6,-38,41,28.8,9.100000000000001,McCollum 6' Running Pull-Up Jump Shot (2 PTS)
22200941,2022-23 Regular Season,2023-03-01,Willy Hernangomez,CJ McCollum,Brandon Ingram,Herbert Jones,Josh Richardson,Drew Eubanks,Damian Lillard,Matisse Thybulle,Jerami Grant,Anfernee Simons,1,2,2,0:10:45,0:01:15,0:00:15,9,POR,foul,,,,,,,,Brandon Ingram,,Jerami Grant,,,offensive charge foul,,,offensive charge,,,,,,Grant Offensive Charge Foul (P1) (B.Barnaky)
22200941,2022-23 Regular Season,2023-03-01,Willy Hernangomez,CJ McCollum,Brandon Ingram,Herbert Jones,Josh Richardson,Drew Eubanks,Damian Lillard,Matisse Thybulle,Jerami Grant,Anfernee Simons,1,2,2,0:10:45,0:01:15,0:00:00,10,POR,turnover,,,,,,,,,,Jerami Grant,,,offensive foul turnover,,,offensive foul,,,,,,Grant Offensive Foul Turnover (P1.T1)
