game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
22200957,2022-23 Regular Season,2023-03-04,James Wiseman,Jaden Ivey,Marvin Bagley III,Killian Hayes,Isaiah Livers,Jarrett Allen,Evan Mobley,Donovan Mitchell,Darius Garland,Isaac Okoro,1,0,0,0:12:00,0:00:00,0:00:00,1,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
22200957,2022-23 Regular Season,2023-03-04,James Wiseman,Jaden Ivey,Marvin Bagley III,Killian Hayes,Isaiah Livers,Jarrett Allen,Evan Mobley,Donovan Mitchell,Darius Garland,Isaac Okoro,1,0,0,0:12:00,0:00:00,0:00:00,2,CLE,jump ball,,James Wiseman,Jarrett Allen,,,,,,,James Wiseman,,Jaden Ivey,,,,jump ball,,,,,,Jump Ball Allen vs. Wiseman: Tip to Ivey
22200957,2022-23 Regular Season,2023-03-04,James Wiseman,Jaden Ivey,Marvin Bagley III,Killian Hayes,Isaiah Livers,Jarrett Allen,Evan Mobley,Donovan Mitchell,Darius Garland,Isaac Okoro,1,0,0,0:11:55,0:00:05,0:00:05,3,DET,shot,,,,,,,,,,Jaden Ivey,0,,,missed,,driving layup,3,-9,31,25.9,8.1,MISS Ivey 3' Driving Layup
22200957,2022-23 Regular Season,2023-03-04,James Wiseman,Jaden Ivey,Marvin Bagley III,Killian Hayes,Isaiah Livers,Jarrett Allen,Evan Mobley,Donovan Mitchell,Darius Garland,Isaac Okoro,1,0,0,0:11:54,0:00:06,0:00:01,4,CLE,rebound,,,,,,,,,,Evan Mobley,,,,,,rebound defensive,,,,,,Mobley REBOUND (Off:0 Def:1)
22200957,2022-23 Regular Season,2023-03-04,James Wiseman,Jaden Ivey,Marvin Bagley III,Killian Hayes,Isaiah Livers,Jarrett Allen,Evan Mobley,Donovan Mitchell,Darius Garland,Isaac Okoro,1,0,0,0:11:50,0:00:10,0:00:04,5,CLE,shot,,,,,,,,,,Jarrett Allen,0,,,missed,,dunk,1,-10,7,24.0,88.3,MISS Allen 1' Alley Oop Dunk
22200957,2022-23 Regular Season,2023-03-04,James Wiseman,Jaden Ivey,Marvin Bagley III,Killian Hayes,Isaiah Livers,Jarrett Allen,Evan Mobley,Donovan Mitchell,Darius Garland,Isaac Okoro,1,0,0,0:11:49,0:00:11,0:00:01,6,DET,rebound,,,,,,,,,,James Wiseman,,,,,,rebound defensive,,,,,,Wiseman REBOUND (Off:0 Def:1)
22200957,2022-23 Regular Season,2023-03-04,James Wiseman,Jaden Ivey,Marvin Bagley III,Killian Hayes,Isaiah Livers,Jarrett Allen,Evan Mobley,Donovan Mitchell,Darius Garland,Isaac Okoro,1,0,0,0:11:46,0:00:14,0:00:03,7,DET,turnover,,,,,,,,,,James Wiseman,,,bad pass,,Jarrett Allen,bad pass,,,,,,Allen STEAL (1 STL): Wiseman Bad Pass Turnover (P1.T1)
22200957,2022-23 Regular Season,2023-03-04,James Wiseman,Jaden Ivey,Marvin Bagley III,Killian Hayes,Isaiah Livers,Jarrett Allen,Evan Mobley,Donovan Mitchell,Darius Garland,Isaac Okoro,1,0,2,0:11:42,0:00:18,0:00:04,8,CLE,shot,,,,,,,,,,Donovan Mitchell,2,,,made,,driving layup,2,1,18,25.1,87.2,Mitchell 2' Driving Layup (2 PTS)
22200957,2022-23 Regular Season,2023-03-04,James Wiseman,Jaden Ivey,Marvin Bagley III,Killian Hayes,Isaiah Livers,Jarrett Allen,Evan Mobley,Donovan Mitchell,Darius Garland,Isaac Okoro,1,2,2,0:11:14,0:00:46,0:00:28,9,DET,shot,,,,,,,,,,Marvin Bagley III,2,,,made,,jump shot,9,48,79,20.2,12.9,Bagley III 9' Turnaround Jump Shot (2 PTS)
22200957,2022-23 Regular Season,2023-03-04,James Wiseman,Jaden Ivey,Marvin Bagley III,Killian Hayes,Isaiah Livers,Jarrett Allen,Evan Mobley,Donovan Mitchell,Darius Garland,Isaac Okoro,1,2,2,0:10:52,0:01:08,0:00:22,10,CLE,shot,,,,,,,,,,Evan Mobley,0,,,missed,,turnaround fadeaway,9,-48,78,20.2,81.2,MISS Mobley 9' Turnaround Fadeaway Shot
22200957,2022-23 Regular Season,2023-03-04,James Wiseman,Jaden Ivey,Marvin Bagley III,Killian Hayes,Isaiah Livers,Jarrett Allen,Evan Mobley,Donovan Mitchell,Darius Garland,Isaac Okoro,1,2,2,0:10:50,0:01:10,0:00:02,11,DET,rebound,,,,,,,,,,James Wiseman,,,,,,rebound defensive,,,,,,Wiseman REBOUND (Off:0 Def:2)
22200957,2022-23 Regular Season,2023-03-04,James Wiseman,Jaden Ivey,Marvin Bagley III,Killian Hayes,Isaiah Livers,Jarrett Allen,Evan Mobley,Donovan Mitchell,Darius Garland,Isaac Okoro,1,2,2,0:10:41,0:01:19,0:00:09,12,DET,shot,,,,,,,,,,James Wiseman,0,,,missed,,jump shot,21,2,206,24.8,25.6,MISS Wiseman 21' Jump Shot
22200957,2022-23 Regular Season,2023-03-04,James Wiseman,Jaden Ivey,Marvin Bagley III,Killian Hayes,Isaiah Livers,Jarrett Allen,Evan Mobley,Donovan Mitchell,Darius Garland,Isaac Okoro,1,2,2,0:10:39,0:01:21,0:00:02,13,DET,rebound,,,,,,,,,,Marvin Bagley III,,,,,,rebound offensive,,,,,,Bagley III REBOUND (Off:1 Def:0)
22200957,2022-23 Regular Season,2023-03-04,James Wiseman,Jaden Ivey,Marvin Bagley III,Killian Hayes,Isaiah Livers,Jarrett Allen,Evan Mobley,Donovan Mitchell,Darius Garland,Isaac Okoro,1,2,2,0:10:29,0:01:31,0:00:10,14,CLE,foul,,,,,,,,James Wiseman,,Darius Garland,,,s.foul,,,shooting,,,,,,Garland S.FOUL (P1.T1) (J.Van Duyne)
