game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
22200769,2022-23 Regular Season,2023-03-07,Kristaps Porzingis,Daniel Gafford,Kyle Kuzma,Bradley Beal,Delon Wright,James Wiseman,Jaden Ivey,Isaiah Livers,Marvin Bagley III,Rodney McGruder,1,0,0,0:12:00,0:00:00,0:00:00,1,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
22200769,2022-23 Regular Season,2023-03-07,Kristaps Porzingis,Daniel Gafford,Kyle Kuzma,Bradley Beal,Delon Wright,James Wiseman,Jaden Ivey,Isaiah Livers,Marvin Bagley III,Rodney McGruder,1,0,0,0:12:00,0:00:00,0:00:00,2,DET,jump ball,,Kristaps Porzingis,James Wiseman,,,,,,,James Wiseman,,Jaden Ivey,,,,jump ball,,,,,,Jump Ball Wiseman vs. Porzingis: Tip to Ivey
22200769,2022-23 Regular Season,2023-03-07,Kristaps Porzingis,Daniel Gafford,Kyle Kuzma,Bradley Beal,Delon Wright,James Wiseman,Jaden Ivey,Isaiah Livers,Marvin Bagley III,Rodney McGruder,1,0,0,0:11:41,0:00:19,0:00:19,3,DET,shot,,,,,,,,,,Isaiah Livers,0,,,missed,,3pt jump shot,28,162,225,41.2,66.5,MISS Livers 28' 3PT Jump Shot
22200769,2022-23 Regular Season,2023-03-07,Kristaps Porzingis,Daniel Gafford,Kyle Kuzma,Bradley Beal,Delon Wright,James Wiseman,Jaden Ivey,Isaiah Livers,Marvin Bagley III,Rodney McGruder,1,0,0,0:11:38,0:00:22,0:00:03,4,WAS,rebound,,,,,,,,,,Daniel Gafford,,,,,,rebound defensive,,,,,,Gafford REBOUND (Off:0 Def:1)
22200769,2022-23 Regular Season,2023-03-07,Kristaps Porzingis,Daniel Gafford,Kyle Kuzma,Bradley Beal,Delon Wright,James Wiseman,Jaden Ivey,Isaiah Livers,Marvin Bagley III,Rodney McGruder,1,0,0,0:11:17,0:00:43,0:00:21,5,WAS,shot,,,,,,,,,,Kyle Kuzma,0,,,missed,,driving layup,3,-26,22,27.6,7.2,MISS Kuzma 3' Driving Layup
22200769,2022-23 Regular Season,2023-03-07,Kristaps Porzingis,Daniel Gafford,Kyle Kuzma,Bradley Beal,Delon Wright,James Wiseman,Jaden Ivey,Isaiah Livers,Marvin Bagley III,Rodney McGruder,1,0,0,0:11:15,0:00:45,0:00:02,6,WAS,rebound,,,,,,,,,,Bradley Beal,,,,,,rebound offensive,,,,,,Beal REBOUND (Off:1 Def:0)
22200769,2022-23 Regular Season,2023-03-07,Kristaps Porzingis,Daniel Gafford,Kyle Kuzma,Bradley Beal,Delon Wright,James Wiseman,Jaden Ivey,Isaiah Livers,Marvin Bagley III,Rodney McGruder,1,2,0,0:11:15,0:00:45,0:00:00,7,WAS,shot,,,,,,,,,,Bradley Beal,2,,,made,,layup,0,0,0,25.0,5.0,Beal Tip Layup Shot (2 PTS)
22200769,2022-23 Regular Season,2023-03-07,Kristaps Porzingis,Daniel Gafford,Kyle Kuzma,Bradley Beal,Delon Wright,James Wiseman,Jaden Ivey,Isaiah Livers,Marvin Bagley III,Rodney McGruder,1,2,0,0:11:04,0:00:56,0:00:11,8,DET,turnover,,,,,,,,,,James Wiseman,,,bad pass,,Delon Wright,bad pass,,,,,,Wiseman Bad Pass Turnover (P1.T1): Wright STEAL (1 STL)
22200769,2022-23 Regular Season,2023-03-07,Kristaps Porzingis,Daniel Gafford,Kyle Kuzma,Bradley Beal,Delon Wright,James Wiseman,Jaden Ivey,Isaiah Livers,Marvin Bagley III,Rodney McGruder,1,2,0,0:10:58,0:01:02,0:00:06,9,DET,foul,,,,,,,,Kristaps Porzingis,,Jaden Ivey,,,s.foul,,,shooting,,,,,,Ivey S.FOUL (P1.T1) (C.Blair)
22200769,2022-23 Regular Season,2023-03-07,Kristaps Porzingis,Daniel Gafford,Kyle Kuzma,Bradley Beal,Delon Wright,James Wiseman,Jaden Ivey,Isaiah Livers,Marvin Bagley III,Rodney McGruder,1,2,0,0:10:58,0:01:02,0:00:00,10,WAS,free throw,,,,,,,1,,2,Kristaps Porzingis,0,,,missed,,free throw 1/2,,,,,,MISS Porzingis Free Throw 1 of 2
