game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
22201010,2022-23 Regular Season,2023-03-11,Dwight Powell,Jaden Hardy,Josh Green,Reggie Bullock,Tim Hardaway Jr.,Jaren Jackson Jr.,Tyus Jones,Xavier Tillman,Desmond Bane,Dillon Brooks,1,0,0,0:12:00,0:00:00,0:00:00,1,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
22201010,2022-23 Regular Season,2023-03-11,Dwight Powell,Jaden Hardy,Josh Green,Reggie Bullock,Tim Hardaway Jr.,Jaren Jackson Jr.,Tyus Jones,Xavier Tillman,Desmond Bane,Dillon Brooks,1,0,0,0:12:00,0:00:00,0:00:00,2,MEM,violation,,,,,,,,,,,,,,,,delay of game,,,,,,GRIZZLIES Violation: Delay of game Violation
22201010,2022-23 Regular Season,2023-03-11,Dwight Powell,Jaden Hardy,Josh Green,Reggie Bullock,Tim Hardaway Jr.,Jaren Jackson Jr.,Tyus Jones,Xavier Tillman,Desmond Bane,Dillon Brooks,1,0,0,0:12:00,0:00:00,0:00:00,3,MEM,jump ball,,Dwight Powell,Jaren Jackson Jr.,,,,,,,Jaren Jackson Jr.,,Tyus Jones,,,,jump ball,,,,,,Jump Ball Jackson Jr. vs. Powell: Tip to Jones
22201010,2022-23 Regular Season,2023-03-11,Dwight Powell,Jaden Hardy,Josh Green,Reggie Bullock,Tim Hardaway Jr.,Jaren Jackson Jr.,Tyus Jones,Xavier Tillman,Desmond Bane,Dillon Brooks,1,0,2,0:11:38,0:00:22,0:00:22,4,MEM,shot,Desmond Bane,,,,,,,,,Xavier Tillman,2,,,made,,layup,3,17,24,26.7,86.6,Tillman 3' Layup (2 PTS) (Bane 1 AST)
22201010,2022-23 Regular Season,2023-03-11,Dwight Powell,Jaden Hardy,Josh Green,Reggie Bullock,Tim Hardaway Jr.,Jaren Jackson Jr.,Tyus Jones,Xavier Tillman,Desmond Bane,Dillon Brooks,1,2,2,0:11:20,0:00:40,0:00:18,5,DAL,shot,,,,,,,,,,Jaden Hardy,2,,,made,,jump shot,14,17,136,23.3,18.6,Hardy 14' Pullup Jump Shot (2 PTS)
22201010,2022-23 Regular Season,2023-03-11,Dwight Powell,Jaden Hardy,Josh Green,Reggie Bullock,Tim Hardaway Jr.,Jaren Jackson Jr.,Tyus Jones,Xavier Tillman,Desmond Bane,Dillon Brooks,1,2,2,0:11:09,0:00:51,0:00:11,6,MEM,shot,,,,,,,,,,Dillon Brooks,0,,,missed,,3pt jump shot,25,-47,246,20.3,64.4,MISS Brooks 25' 3PT Jump Shot
22201010,2022-23 Regular Season,2023-03-11,Dwight Powell,Jaden Hardy,Josh Green,Reggie Bullock,Tim Hardaway Jr.,Jaren Jackson Jr.,Tyus Jones,Xavier Tillman,Desmond Bane,Dillon Brooks,1,2,2,0:11:04,0:00:56,0:00:05,7,DAL,rebound,,,,,,,,,,Josh Green,,,,,,rebound defensive,,,,,,Green REBOUND (Off:0 Def:1)
22201010,2022-23 Regular Season,2023-03-11,Dwight Powell,Jaden Hardy,Josh Green,Reggie Bullock,Tim Hardaway Jr.,Jaren Jackson Jr.,Tyus Jones,Xavier Tillman,Desmond Bane,Dillon Brooks,1,5,2,0:10:54,0:01:06,0:00:10,8,DAL,shot,Josh Green,,,,,,,,,Jaden Hardy,3,,,made,,3pt jump shot,23,-228,-5,47.8,4.5,Hardy 3PT Jump Shot (5 PTS) (Green 1 AST)
22201010,2022-23 Regular Season,2023-03-11,Dwight Powell,Jaden Hardy,Josh Green,Reggie Bullock,Tim Hardaway Jr.,Jaren Jackson Jr.,Tyus Jones,Xavier Tillman,Desmond Bane,Dillon Brooks,1,5,2,0:10:40,0:01:20,0:00:14,9,MEM,shot,,,,,,,,,,Desmond Bane,0,,,missed,,3pt jump shot,27,124,236,37.4,65.4,MISS Bane 27' 3PT Jump Shot
22201010,2022-23 Regular Season,2023-03-11,Dwight Powell,Jaden Hardy,Josh Green,Reggie Bullock,Tim Hardaway Jr.,Jaren Jackson Jr.,Tyus Jones,Xavier Tillman,Desmond Bane,Dillon Brooks,1,5,2,0:10:34,0:01:26,0:00:06,10,DAL,rebound,,,,,,,,,,Reggie Bullock,,,,,,rebound defensive,,,,,,Bullock REBOUND (Off:0 Def:1)
22201010,2022-23 Regular Season,2023-03-11,Dwight Powell,Jaden Hardy,Josh Green,Reggie Bullock,Tim Hardaway Jr.,Jaren Jackson Jr.,Tyus Jones,Xavier Tillman,Desmond Bane,Dillon Brooks,1,5,2,0:10:22,0:01:38,0:00:12,11,DAL,shot,,,,,,,,,,Josh Green,0,,,missed,,driving floating jump shot,6,-5,60,25.5,11.0,MISS Green 6' Driving Floating Jump Shot
