game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
22201020,2022-23 Regular Season,2023-03-13,Isaiah Jackson,Buddy Hield,Andrew Nembhard,Aaron Nesmith,Chris Duarte,James Wiseman,Rodney McGruder,Killian Hayes,Eugene Omoruyi,Isaiah Livers,1,0,0,0:12:00,0:00:00,0:00:00,1,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
22201020,2022-23 Regular Season,2023-03-13,Isaiah Jackson,Buddy Hield,Andrew Nembhard,Aaron Nesmith,Chris Duarte,James Wiseman,Rodney McGruder,Killian Hayes,Eugene Omoruyi,Isaiah Livers,1,0,0,0:12:00,0:00:00,0:00:00,2,DET,jump ball,,Isaiah Jackson,James Wiseman,,,,,,,James Wiseman,,Rodney McGruder,,,,jump ball,,,,,,Jump Ball Wiseman vs. Jackson: Tip to McGruder
22201020,2022-23 Regular Season,2023-03-13,Isaiah Jackson,Buddy Hield,Andrew Nembhard,Aaron Nesmith,Chris Duarte,James Wiseman,Rodney McGruder,Killian Hayes,Eugene Omoruyi,Isaiah Livers,1,0,2,0:11:37,0:00:23,0:00:23,3,DET,shot,,,,,,,,,,Killian Hayes,2,,,made,,jump shot,17,127,107,37.7,78.3,Hayes 17' Pullup Jump Shot (2 PTS)
22201020,2022-23 Regular Season,2023-03-13,Isaiah Jackson,Buddy Hield,Andrew Nembhard,Aaron Nesmith,Chris Duarte,James Wiseman,Rodney McGruder,Killian Hayes,Eugene Omoruyi,Isaiah Livers,1,0,2,0:11:15,0:00:45,0:00:22,4,IND,shot,,,,,,,,,,Buddy Hield,0,,,missed,,driving floating bank jump shot,7,-47,48,29.7,9.8,MISS Hield 7' Driving Floating Bank Jump Shot
22201020,2022-23 Regular Season,2023-03-13,Isaiah Jackson,Buddy Hield,Andrew Nembhard,Aaron Nesmith,Chris Duarte,James Wiseman,Rodney McGruder,Killian Hayes,Eugene Omoruyi,Isaiah Livers,1,0,2,0:11:11,0:00:49,0:00:04,5,DET,rebound,,,,,,,,,,James Wiseman,,,,,,rebound defensive,,,,,,Wiseman REBOUND (Off:0 Def:1)
22201020,2022-23 Regular Season,2023-03-13,Isaiah Jackson,Buddy Hield,Andrew Nembhard,Aaron Nesmith,Chris Duarte,James Wiseman,Rodney McGruder,Killian Hayes,Eugene Omoruyi,Isaiah Livers,1,0,2,0:10:57,0:01:03,0:00:14,6,DET,shot,,,,,,,,,,James Wiseman,0,,,missed,,3pt jump shot,26,-181,188,6.899999999999999,70.2,MISS Wiseman 26' 3PT Jump Shot
22201020,2022-23 Regular Season,2023-03-13,Isaiah Jackson,Buddy Hield,Andrew Nembhard,Aaron Nesmith,Chris Duarte,James Wiseman,Rodney McGruder,Killian Hayes,Eugene Omoruyi,Isaiah Livers,1,0,2,0:10:55,0:01:05,0:00:02,7,IND,rebound,,,,,,,,,,Andrew Nembhard,,,,,,rebound defensive,,,,,,Nembhard REBOUND (Off:0 Def:1)
22201020,2022-23 Regular Season,2023-03-13,Isaiah Jackson,Buddy Hield,Andrew Nembhard,Aaron Nesmith,Chris Duarte,James Wiseman,Rodney McGruder,Killian Hayes,Eugene Omoruyi,Isaiah Livers,1,3,2,0:10:51,0:01:09,0:00:04,8,IND,shot,Andrew Nembhard,,,,,,,,,Aaron Nesmith,3,,,made,,3pt jump shot,25,184,166,6.599999999999998,21.6,Nesmith 25' 3PT Jump Shot (3 PTS) (Nembhard 1 AST)
22201020,2022-23 Regular Season,2023-03-13,Isaiah Jackson,Buddy Hield,Andrew Nembhard,Aaron Nesmith,Chris Duarte,James Wiseman,Rodney McGruder,Killian Hayes,Eugene Omoruyi,Isaiah Livers,1,3,2,0:10:37,0:01:23,0:00:14,9,IND,foul,,,,,,,,James Wiseman,,Isaiah Jackson,,,p.foul,,,personal,,,,,,Jackson P.FOUL (P1.T1) (S.Mehta)
22201020,2022-23 Regular Season,2023-03-13,Isaiah Jackson,Buddy Hield,Andrew Nembhard,Aaron Nesmith,Chris Duarte,James Wiseman,Rodney McGruder,Killian Hayes,Eugene Omoruyi,Isaiah Livers,1,3,2,0:10:28,0:01:32,0:00:09,10,IND,foul,,,,,,,,Killian Hayes,,Isaiah Jackson,,,s.foul,,,shooting,,,,,,Jackson S.FOUL (P2.T2) (B.Barnaky)
