game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
22201058,2022-23 Regular Season,2023-03-18,Rudy Gobert,Taurean Prince,Jaden McDaniels,Mike Conley,Kyle Anderson,Jakob Poeltl,Fred VanVleet,Scottie Barnes,Pascal Siakam,O.G. Anunoby,1,0,0,0:12:00,0:00:00,0:00:00,1,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
22201058,2022-23 Regular Season,2023-03-18,Rudy Gobert,Taurean Prince,Jaden McDaniels,Mike Conley,Kyle Anderson,Jakob Poeltl,Fred VanVleet,Scottie Barnes,Pascal Siakam,O.G. Anunoby,1,0,0,0:12:00,0:00:00,0:00:00,2,TOR,jump ball,,Rudy Gobert,Jakob Poeltl,,,,,,,Jakob Poeltl,,Fred VanVleet,,,,jump ball,,,,,,Jump Ball Poeltl vs. Gobert: Tip to VanVleet
22201058,2022-23 Regular Season,2023-03-18,Rudy Gobert,Taurean Prince,Jaden McDaniels,Mike Conley,Kyle Anderson,Jakob Poeltl,Fred VanVleet,Scottie Barnes,Pascal Siakam,O.G. Anunoby,1,0,0,0:11:40,0:00:20,0:00:20,3,TOR,shot,,,,,,,,,,Scottie Barnes,0,,,missed,,turnaround fadeaway,16,-164,17,8.599999999999998,87.3,MISS Barnes 16' Turnaround Fadeaway Shot
22201058,2022-23 Regular Season,2023-03-18,Rudy Gobert,Taurean Prince,Jaden McDaniels,Mike Conley,Kyle Anderson,Jakob Poeltl,Fred VanVleet,Scottie Barnes,Pascal Siakam,O.G. Anunoby,1,0,0,0:11:40,0:00:20,0:00:00,4,MIN,rebound,,,,,,,,,,Rudy Gobert,,,,,,rebound defensive,,,,,,Gobert REBOUND (Off:0 Def:1)
22201058,2022-23 Regular Season,2023-03-18,Rudy Gobert,Taurean Prince,Jaden McDaniels,Mike Conley,Kyle Anderson,Jakob Poeltl,Fred VanVleet,Scottie Barnes,Pascal Siakam,O.G. Anunoby,1,0,0,0:11:16,0:00:44,0:00:24,5,MIN,turnover,,,,,,,,,,,,,,,,shot clock,,,,,,Timberwolves Turnover: Shot Clock (T#1)
22201058,2022-23 Regular Season,2023-03-18,Rudy Gobert,Taurean Prince,Jaden McDaniels,Mike Conley,Kyle Anderson,Jakob Poeltl,Fred VanVleet,Scottie Barnes,Pascal Siakam,O.G. Anunoby,1,0,0,0:11:05,0:00:55,0:00:11,6,TOR,shot,,,,,,,,,,Pascal Siakam,0,,,missed,,driving floating jump shot,10,20,97,27.0,79.3,MISS Siakam 10' Driving Floating Jump Shot
22201058,2022-23 Regular Season,2023-03-18,Rudy Gobert,Taurean Prince,Jaden McDaniels,Mike Conley,Kyle Anderson,Jakob Poeltl,Fred VanVleet,Scottie Barnes,Pascal Siakam,O.G. Anunoby,1,0,0,0:11:03,0:00:57,0:00:02,7,MIN,rebound,,,,,,,,,,Rudy Gobert,,,,,,rebound defensive,,,,,,Gobert REBOUND (Off:0 Def:2)
22201058,2022-23 Regular Season,2023-03-18,Rudy Gobert,Taurean Prince,Jaden McDaniels,Mike Conley,Kyle Anderson,Jakob Poeltl,Fred VanVleet,Scottie Barnes,Pascal Siakam,O.G. Anunoby,1,0,0,0:11:00,0:01:00,0:00:03,8,MIN,turnover,,,,,,,,,,Taurean Prince,,,traveling,,,traveling,,,,,,Prince Traveling Turnover (P1.T2)
22201058,2022-23 Regular Season,2023-03-18,Rudy Gobert,Taurean Prince,Jaden McDaniels,Mike Conley,Kyle Anderson,Jakob Poeltl,Fred VanVleet,Scottie Barnes,Pascal Siakam,O.G. Anunoby,1,0,2,0:10:39,0:01:21,0:00:21,9,TOR,shot,,,,,,,,,,Pascal Siakam,2,,,made,,hook shot,6,-55,31,19.5,85.9,Siakam 6' Turnaround Bank Hook Shot (2 PTS)
22201058,2022-23 Regular Season,2023-03-18,Rudy Gobert,Taurean Prince,Jaden McDaniels,Mike Conley,Kyle Anderson,Jakob Poeltl,Fred VanVleet,Scottie Barnes,Pascal Siakam,O.G. Anunoby,1,0,2,0:10:23,0:01:37,0:00:16,10,MIN,shot,,,,,,,,,,Taurean Prince,0,,,missed,,3pt jump shot,23,230,9,2.0,5.9,MISS Prince 3PT Jump Shot
22201058,2022-23 Regular Season,2023-03-18,Rudy Gobert,Taurean Prince,Jaden McDaniels,Mike Conley,Kyle Anderson,Jakob Poeltl,Fred VanVleet,Scottie Barnes,Pascal Siakam,O.G. Anunoby,1,0,2,0:10:22,0:01:38,0:00:01,11,MIN,rebound,,,,,,,,,,Rudy Gobert,,,,,,rebound offensive,,,,,,Gobert REBOUND (Off:1 Def:2)
22201058,2022-23 Regular Season,2023-03-18,Rudy Gobert,Taurean Prince,Jaden McDaniels,Mike Conley,Kyle Anderson,Jakob Poeltl,Fred VanVleet,Scottie Barnes,Pascal Siakam,O.G. Anunoby,1,0,2,0:10:21,0:01:39,0:00:01,12,MIN,shot,,,,,,,,,,Rudy Gobert,0,,,missed,,layup,1,11,7,23.9,5.7,MISS Gobert 1' Tip Layup Shot
22201058,2022-23 Regular Season,2023-03-18,Rudy Gobert,Taurean Prince,Jaden McDaniels,Mike Conley,Kyle Anderson,Jakob Poeltl,Fred VanVleet,Scottie Barnes,Pascal Siakam,O.G. Anunoby,1,0,2,0:10:21,0:01:39,0:00:00,13,MIN,rebound,,,,,,,,,,Rudy Gobert,,,,,,rebound offensive,,,,,,Gobert REBOUND (Off:2 Def:2)
22201058,2022-23 Regular Season,2023-03-18,Rudy Gobert,Taurean Prince,Jaden McDaniels,Mike Conley,Kyle Anderson,Jakob Poeltl,Fred VanVleet,Scottie Barnes,Pascal Siakam,O.G. Anunoby,1,2,2,0:10:20,0:01:40,0:00:01,14,MIN,shot,,,,,,,,,,Rudy Gobert,2,,,made,,layup,2,2,23,24.8,7.300000000000001,Gobert 2' Putback Layup (2 PTS)
22201058,2022-23 Regular Season,2023-03-18,Rudy Gobert,Taurean Prince,Jaden McDaniels,Mike Conley,Kyle Anderson,Jakob Poeltl,Fred VanVleet,Scottie Barnes,Pascal Siakam,O.G. Anunoby,1,2,2,0:10:20,0:01:40,0:00:00,15,TOR,foul,,,,,,,,Rudy Gobert,,Jakob Poeltl,,,s.foul,,,shooting,,,,,,Poeltl S.FOUL (P1.T1) (S.Wall)
22201058,2022-23 Regular Season,2023-03-18,Rudy Gobert,Taurean Prince,Jaden McDaniels,Mike Conley,Kyle Anderson,Jakob Poeltl,Fred VanVleet,Scottie Barnes,Pascal Siakam,O.G. Anunoby,1,3,2,0:10:20,0:01:40,0:00:00,16,MIN,free throw,,,,,,,1,,1,Rudy Gobert,1,,,made,,free throw 1/1,,,,,,Gobert Free Throw 1 of 1 (3 PTS)
