game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
22201091,2022-23 Regular Season,2023-03-22,Jusuf Nurkic,Trendon Watford,Damian Lillard,Shaedon Sharpe,Matisse Thybulle,Walker Kessler,Kelly Olynyk,Lauri Markkanen,Talen Horton-Tucker,Ochai Agbaji,1,0,0,0:12:00,0:00:00,0:00:00,1,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
22201091,2022-23 Regular Season,2023-03-22,Jusuf Nurkic,Trendon Watford,Damian Lillard,Shaedon Sharpe,Matisse Thybulle,Walker Kessler,Kelly Olynyk,Lauri Markkanen,Talen Horton-Tucker,Ochai Agbaji,1,0,0,0:12:00,0:00:00,0:00:00,2,UTA,jump ball,,Jusuf Nurkic,Walker Kessler,,,,,,,Jusuf Nurkic,,Trendon Watford,,,,jump ball,,,,,,Jump Ball Kessler vs. Nurkic: Tip to Watford
22201091,2022-23 Regular Season,2023-03-22,Jusuf Nurkic,Trendon Watford,Damian Lillard,Shaedon Sharpe,Matisse Thybulle,Walker Kessler,Kelly Olynyk,Lauri Markkanen,Talen Horton-Tucker,Ochai Agbaji,1,0,0,0:11:44,0:00:16,0:00:16,3,POR,shot,,,,,,,,,,Damian Lillard,0,,,missed,,3pt jump shot,29,142,252,10.799999999999999,30.200000000000003,MISS Lillard 29' 3PT Jump Shot
22201091,2022-23 Regular Season,2023-03-22,Jusuf Nurkic,Trendon Watford,Damian Lillard,Shaedon Sharpe,Matisse Thybulle,Walker Kessler,Kelly Olynyk,Lauri Markkanen,Talen Horton-Tucker,Ochai Agbaji,1,0,0,0:11:41,0:00:19,0:00:03,4,UTA,rebound,,,,,,,,,,Kelly Olynyk,,,,,,rebound defensive,,,,,,Olynyk REBOUND (Off:0 Def:1)
22201091,2022-23 Regular Season,2023-03-22,Jusuf Nurkic,Trendon Watford,Damian Lillard,Shaedon Sharpe,Matisse Thybulle,Walker Kessler,Kelly Olynyk,Lauri Markkanen,Talen Horton-Tucker,Ochai Agbaji,1,0,0,0:11:35,0:00:25,0:00:06,5,UTA,shot,,,,,,,,,,Lauri Markkanen,0,,,missed,,3pt jump shot,25,-238,80,1.1999999999999993,81.0,MISS Markkanen 25' 3PT Jump Shot
22201091,2022-23 Regular Season,2023-03-22,Jusuf Nurkic,Trendon Watford,Damian Lillard,Shaedon Sharpe,Matisse Thybulle,Walker Kessler,Kelly Olynyk,Lauri Markkanen,Talen Horton-Tucker,Ochai Agbaji,1,0,0,0:11:33,0:00:27,0:00:02,6,UTA,rebound,,,,,,,,,,Walker Kessler,,,,,,rebound offensive,,,,,,Kessler REBOUND (Off:1 Def:0)
22201091,2022-23 Regular Season,2023-03-22,Jusuf Nurkic,Trendon Watford,Damian Lillard,Shaedon Sharpe,Matisse Thybulle,Walker Kessler,Kelly Olynyk,Lauri Markkanen,Talen Horton-Tucker,Ochai Agbaji,1,0,0,0:11:29,0:00:31,0:00:04,7,UTA,turnover,,,,,,,,,,Talen Horton-Tucker,,,bad pass,,Shaedon Sharpe,bad pass,,,,,,Horton-Tucker Bad Pass Turnover (P1.T1): Sharpe STEAL (1 STL)
22201091,2022-23 Regular Season,2023-03-22,Jusuf Nurkic,Trendon Watford,Damian Lillard,Shaedon Sharpe,Matisse Thybulle,Walker Kessler,Kelly Olynyk,Lauri Markkanen,Talen Horton-Tucker,Ochai Agbaji,1,0,0,0:11:23,0:00:37,0:00:06,8,POR,shot,,,,,,,,,,Shaedon Sharpe,0,,,missed,,jump shot,20,-124,161,37.4,21.1,MISS Sharpe 20' Pullup Jump Shot
22201091,2022-23 Regular Season,2023-03-22,Jusuf Nurkic,Trendon Watford,Damian Lillard,Shaedon Sharpe,Matisse Thybulle,Walker Kessler,Kelly Olynyk,Lauri Markkanen,Talen Horton-Tucker,Ochai Agbaji,1,0,0,0:11:20,0:00:40,0:00:03,9,UTA,rebound,,,,,,,,,,Kelly Olynyk,,,,,,rebound defensive,,,,,,Olynyk REBOUND (Off:0 Def:2)
22201091,2022-23 Regular Season,2023-03-22,Jusuf Nurkic,Trendon Watford,Damian Lillard,Shaedon Sharpe,Matisse Thybulle,Walker Kessler,Kelly Olynyk,Lauri Markkanen,Talen Horton-Tucker,Ochai Agbaji,1,0,0,0:11:11,0:00:49,0:00:09,10,UTA,shot,,,,Matisse Thybulle,,,,,,Lauri Markkanen,0,,,missed,,3pt jump shot,23,228,10,47.8,88.0,MISS Markkanen 3PT Jump Shot: Thybulle BLOCK (1 BLK)
