game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
22201104,2022-23 Regular Season,2023-03-24,Nikola Vucevic,Zach LaVine,Patrick Williams,Patrick Beverley,Alex Caruso,Drew Eubanks,Ryan Arcidiacono,Shaedon Sharpe,Trendon Watford,Matisse Thybulle,1,0,0,0:12:00,0:00:00,0:00:00,1,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
22201104,2022-23 Regular Season,2023-03-24,Nikola Vucevic,Zach LaVine,Patrick Williams,Patrick Beverley,Alex Caruso,Drew Eubanks,Ryan Arcidiacono,Shaedon Sharpe,Trendon Watford,Matisse Thybulle,1,0,0,0:12:00,0:00:00,0:00:00,2,POR,jump ball,,Nikola Vucevic,Drew Eubanks,,,,,,,Drew Eubanks,,Ryan Arcidiacono,,,,jump ball,,,,,,Jump Ball Eubanks vs. Vucevic: Tip to Arcidiacono
22201104,2022-23 Regular Season,2023-03-24,Nikola Vucevic,Zach LaVine,Patrick Williams,Patrick Beverley,Alex Caruso,Drew Eubanks,Ryan Arcidiacono,Shaedon Sharpe,Trendon Watford,Matisse Thybulle,1,0,3,0:11:34,0:00:26,0:00:26,3,POR,shot,Trendon Watford,,,,,,,,,Shaedon Sharpe,3,,,made,,3pt step back jump shot,29,-158,241,9.2,64.9,Sharpe 29' 3PT Step Back Jump Shot (3 PTS) (Watford 1 AST)
22201104,2022-23 Regular Season,2023-03-24,Nikola Vucevic,Zach LaVine,Patrick Williams,Patrick Beverley,Alex Caruso,Drew Eubanks,Ryan Arcidiacono,Shaedon Sharpe,Trendon Watford,Matisse Thybulle,1,2,3,0:11:14,0:00:46,0:00:20,4,CHI,shot,Zach LaVine,,,,,,,,,Nikola Vucevic,2,,,made,,driving layup,3,-27,5,27.7,5.5,Vucevic 3' Driving Layup (2 PTS) (LaVine 1 AST)
22201104,2022-23 Regular Season,2023-03-24,Nikola Vucevic,Zach LaVine,Patrick Williams,Patrick Beverley,Alex Caruso,Drew Eubanks,Ryan Arcidiacono,Shaedon Sharpe,Trendon Watford,Matisse Thybulle,1,2,3,0:11:01,0:00:59,0:00:13,5,POR,turnover,,,,,,,,,,Matisse Thybulle,,,bad pass,,,bad pass,,,,,,Thybulle Out of Bounds - Bad Pass Turnover Turnover (P1.T1)
22201104,2022-23 Regular Season,2023-03-24,Nikola Vucevic,Zach LaVine,Patrick Williams,Patrick Beverley,Alex Caruso,Drew Eubanks,Ryan Arcidiacono,Shaedon Sharpe,Trendon Watford,Matisse Thybulle,1,2,3,0:10:48,0:01:12,0:00:13,6,CHI,turnover,,,,,,,,,,Nikola Vucevic,,,bad pass,,Drew Eubanks,bad pass,,,,,,Eubanks STEAL (1 STL): Vucevic Bad Pass Turnover (P1.T1)
22201104,2022-23 Regular Season,2023-03-24,Nikola Vucevic,Zach LaVine,Patrick Williams,Patrick Beverley,Alex Caruso,Drew Eubanks,Ryan Arcidiacono,Shaedon Sharpe,Trendon Watford,Matisse Thybulle,1,2,3,0:10:41,0:01:19,0:00:07,7,POR,shot,,,,,,,,,,Trendon Watford,0,,,missed,,3pt jump shot,26,126,232,37.6,65.8,MISS Watford 26' 3PT Jump Shot
22201104,2022-23 Regular Season,2023-03-24,Nikola Vucevic,Zach LaVine,Patrick Williams,Patrick Beverley,Alex Caruso,Drew Eubanks,Ryan Arcidiacono,Shaedon Sharpe,Trendon Watford,Matisse Thybulle,1,2,3,0:10:38,0:01:22,0:00:03,8,CHI,rebound,,,,,,,,,,Nikola Vucevic,,,,,,rebound defensive,,,,,,Vucevic REBOUND (Off:0 Def:1)
22201104,2022-23 Regular Season,2023-03-24,Nikola Vucevic,Zach LaVine,Patrick Williams,Patrick Beverley,Alex Caruso,Drew Eubanks,Ryan Arcidiacono,Shaedon Sharpe,Trendon Watford,Matisse Thybulle,1,2,3,0:10:30,0:01:30,0:00:08,9,CHI,shot,,,,,,,,,,Nikola Vucevic,0,,,missed,,jump shot,16,116,110,13.399999999999999,16.0,MISS Vucevic 16' Jump Shot
22201104,2022-23 Regular Season,2023-03-24,Nikola Vucevic,Zach LaVine,Patrick Williams,Patrick Beverley,Alex Caruso,Drew Eubanks,Ryan Arcidiacono,Shaedon Sharpe,Trendon Watford,Matisse Thybulle,1,2,3,0:10:28,0:01:32,0:00:02,10,POR,rebound,,,,,,,,,,Trendon Watford,,,,,,rebound defensive,,,,,,Watford REBOUND (Off:0 Def:1)
