game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
22201164,2022-23 Regular Season,2023-04-02,Walker Kessler,Lauri Markkanen,Talen Horton-Tucker,Ochai Agbaji,Kelly Olynyk,Nic Claxton,Spencer Dinwiddie,Mikal Bridges,Cameron Johnson,Dorian Finney-Smith,1,0,0,0:12:00,0:00:00,0:00:00,1,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
22201164,2022-23 Regular Season,2023-04-02,Walker Kessler,Lauri Markkanen,Talen Horton-Tucker,Ochai Agbaji,Kelly Olynyk,Nic Claxton,Spencer Dinwiddie,Mikal Bridges,Cameron Johnson,Dorian Finney-Smith,1,0,0,0:12:00,0:00:00,0:00:00,2,BKN,jump ball,,Walker Kessler,Nic Claxton,,,,,,,Nic Claxton,,Spencer Dinwiddie,,,,jump ball,,,,,,Jump Ball Claxton vs. Kessler: Tip to Dinwiddie
22201164,2022-23 Regular Season,2023-04-02,Walker Kessler,Lauri Markkanen,Talen Horton-Tucker,Ochai Agbaji,Kelly Olynyk,Nic Claxton,Spencer Dinwiddie,Mikal Bridges,Cameron Johnson,Dorian Finney-Smith,1,0,2,0:11:37,0:00:23,0:00:23,3,BKN,shot,Mikal Bridges,,,,,,,,,Nic Claxton,2,,,made,,cutting dunk shot,1,-7,4,24.3,88.6,Claxton 1' Cutting Dunk Shot (2 PTS) (Bridges 1 AST)
22201164,2022-23 Regular Season,2023-04-02,Walker Kessler,Lauri Markkanen,Talen Horton-Tucker,Ochai Agbaji,Kelly Olynyk,Nic Claxton,Spencer Dinwiddie,Mikal Bridges,Cameron Johnson,Dorian Finney-Smith,1,0,2,0:11:09,0:00:51,0:00:28,4,UTA,shot,,,,,,,,,,Lauri Markkanen,0,,,missed,,3pt jump shot,27,-94,254,34.4,30.400000000000002,MISS Markkanen 27' 3PT Jump Shot
22201164,2022-23 Regular Season,2023-04-02,Walker Kessler,Lauri Markkanen,Talen Horton-Tucker,Ochai Agbaji,Kelly Olynyk,Nic Claxton,Spencer Dinwiddie,Mikal Bridges,Cameron Johnson,Dorian Finney-Smith,1,0,2,0:11:06,0:00:54,0:00:03,5,BKN,rebound,,,,,,,,,,Mikal Bridges,,,,,,rebound defensive,,,,,,Bridges REBOUND (Off:0 Def:1)
22201164,2022-23 Regular Season,2023-04-02,Walker Kessler,Lauri Markkanen,Talen Horton-Tucker,Ochai Agbaji,Kelly Olynyk,Nic Claxton,Spencer Dinwiddie,Mikal Bridges,Cameron Johnson,Dorian Finney-Smith,1,0,2,0:11:00,0:01:00,0:00:06,6,BKN,shot,,,,,,,,,,Mikal Bridges,0,,,missed,,jump shot,12,-119,-18,13.1,90.8,MISS Bridges 12' Pullup Jump Shot
22201164,2022-23 Regular Season,2023-04-02,Walker Kessler,Lauri Markkanen,Talen Horton-Tucker,Ochai Agbaji,Kelly Olynyk,Nic Claxton,Spencer Dinwiddie,Mikal Bridges,Cameron Johnson,Dorian Finney-Smith,1,0,2,0:10:56,0:01:04,0:00:04,7,UTA,rebound,,,,,,,,,,Walker Kessler,,,,,,rebound defensive,,,,,,Kessler REBOUND (Off:0 Def:1)
22201164,2022-23 Regular Season,2023-04-02,Walker Kessler,Lauri Markkanen,Talen Horton-Tucker,Ochai Agbaji,Kelly Olynyk,Nic Claxton,Spencer Dinwiddie,Mikal Bridges,Cameron Johnson,Dorian Finney-Smith,1,0,2,0:10:46,0:01:14,0:00:10,8,UTA,shot,,,,,,,,,,Talen Horton-Tucker,0,,,missed,,turnaround fadeaway,13,-91,94,34.1,14.4,MISS Horton-Tucker 13' Turnaround Fadeaway Shot
22201164,2022-23 Regular Season,2023-04-02,Walker Kessler,Lauri Markkanen,Talen Horton-Tucker,Ochai Agbaji,Kelly Olynyk,Nic Claxton,Spencer Dinwiddie,Mikal Bridges,Cameron Johnson,Dorian Finney-Smith,1,0,2,0:10:43,0:01:17,0:00:03,9,BKN,rebound,,,,,,,,,,Cameron Johnson,,,,,,rebound defensive,,,,,,Johnson REBOUND (Off:0 Def:1)
22201164,2022-23 Regular Season,2023-04-02,Walker Kessler,Lauri Markkanen,Talen Horton-Tucker,Ochai Agbaji,Kelly Olynyk,Nic Claxton,Spencer Dinwiddie,Mikal Bridges,Cameron Johnson,Dorian Finney-Smith,1,0,4,0:10:29,0:01:31,0:00:14,10,BKN,shot,Dorian Finney-Smith,,,,,,,,,Nic Claxton,2,,,made,,floating jump shot,10,102,-2,35.2,89.2,Claxton 10' Floating Jump Shot (4 PTS) (Finney-Smith 1 AST)
