game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
22201207,2022-23 Regular Season,2023-04-07,Goga Bitadze,Markelle Fultz,Franz Wagner,Jalen Suggs,Cole Anthony,Nic Claxton,Cameron Johnson,Dorian Finney-Smith,Mikal Bridges,Spencer Dinwiddie,1,0,0,0:12:00,0:00:00,0:00:00,1,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
22201207,2022-23 Regular Season,2023-04-07,Goga Bitadze,Markelle Fultz,Franz Wagner,Jalen Suggs,Cole Anthony,Nic Claxton,Cameron Johnson,Dorian Finney-Smith,Mikal Bridges,Spencer Dinwiddie,1,0,0,0:12:00,0:00:00,0:00:00,2,BKN,jump ball,,Goga Bitadze,Nic Claxton,,,,,,,Nic Claxton,,Cameron Johnson,,,,jump ball,,,,,,Jump Ball Claxton vs. Bitadze: Tip to Johnson
22201207,2022-23 Regular Season,2023-04-07,Goga Bitadze,Markelle Fultz,Franz Wagner,Jalen Suggs,Cole Anthony,Nic Claxton,Cameron Johnson,Dorian Finney-Smith,Mikal Bridges,Spencer Dinwiddie,1,0,0,0:11:45,0:00:15,0:00:15,3,BKN,turnover,,,,,,,,,,Dorian Finney-Smith,,,,,Markelle Fultz,lost ball,,,,,,Finney-Smith Lost Ball Turnover (P1.T1): Fultz STEAL (1 STL)
22201207,2022-23 Regular Season,2023-04-07,Goga Bitadze,Markelle Fultz,Franz Wagner,Jalen Suggs,Cole Anthony,Nic Claxton,Cameron Johnson,Dorian Finney-Smith,Mikal Bridges,Spencer Dinwiddie,1,2,0,0:11:40,0:00:20,0:00:05,4,ORL,shot,Markelle Fultz,,,,,,,,,Goga Bitadze,2,,,made,,layup,2,15,6,23.5,5.6,Bitadze 2' Running Layup (2 PTS) (Fultz 1 AST)
22201207,2022-23 Regular Season,2023-04-07,Goga Bitadze,Markelle Fultz,Franz Wagner,Jalen Suggs,Cole Anthony,Nic Claxton,Cameron Johnson,Dorian Finney-Smith,Mikal Bridges,Spencer Dinwiddie,1,2,0,0:11:18,0:00:42,0:00:22,5,BKN,shot,,,,,,,,,,Cameron Johnson,0,,,missed,,3pt jump shot,22,-224,0,2.599999999999998,89.0,MISS Johnson 3PT Jump Shot
22201207,2022-23 Regular Season,2023-04-07,Goga Bitadze,Markelle Fultz,Franz Wagner,Jalen Suggs,Cole Anthony,Nic Claxton,Cameron Johnson,Dorian Finney-Smith,Mikal Bridges,Spencer Dinwiddie,1,2,0,0:11:18,0:00:42,0:00:00,6,BKN,rebound,,,,,,,,,,,,,,,,rebound offensive,,,,,,NETS Rebound
22201207,2022-23 Regular Season,2023-04-07,Goga Bitadze,Markelle Fultz,Franz Wagner,Jalen Suggs,Cole Anthony,Nic Claxton,Cameron Johnson,Dorian Finney-Smith,Mikal Bridges,Spencer Dinwiddie,1,2,0,0:11:18,0:00:42,0:00:00,7,ORL,foul,,,,,,,,Nic Claxton,,Franz Wagner,,,l.b.foul,,,loose ball,,,,,,Wagner L.B.FOUL (P1.T1) (E.Lewis)
22201207,2022-23 Regular Season,2023-04-07,Goga Bitadze,Markelle Fultz,Franz Wagner,Jalen Suggs,Cole Anthony,Nic Claxton,Cameron Johnson,Dorian Finney-Smith,Mikal Bridges,Spencer Dinwiddie,1,2,0,0:11:13,0:00:47,0:00:05,8,BKN,shot,,,,,,,,,,Mikal Bridges,0,,,missed,,3pt jump shot,25,157,196,40.7,69.4,MISS Bridges 25' 3PT Jump Shot
22201207,2022-23 Regular Season,2023-04-07,Goga Bitadze,Markelle Fultz,Franz Wagner,Jalen Suggs,Cole Anthony,Nic Claxton,Cameron Johnson,Dorian Finney-Smith,Mikal Bridges,Spencer Dinwiddie,1,2,0,0:11:10,0:00:50,0:00:03,9,ORL,rebound,,,,,,,,,,Jalen Suggs,,,,,,rebound defensive,,,,,,Suggs REBOUND (Off:0 Def:1)
22201207,2022-23 Regular Season,2023-04-07,Goga Bitadze,Markelle Fultz,Franz Wagner,Jalen Suggs,Cole Anthony,Nic Claxton,Cameron Johnson,Dorian Finney-Smith,Mikal Bridges,Spencer Dinwiddie,1,4,0,0:10:58,0:01:02,0:00:12,10,ORL,shot,Markelle Fultz,,,,,,,,,Franz Wagner,2,,,made,,layup,2,-18,1,26.8,5.1,Wagner 2' Reverse Layup (2 PTS) (Fultz 2 AST)
