game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
52200211,2022-23 Regular Season,2023-04-14,Jaylin Williams,Josh Giddey,Luguentz Dort,Jalen Williams,Shai Gilgeous-Alexander,Rudy Gobert,Anthony Edwards,Nickeil Alexander-Walker,Mike Conley,Karl-Anthony Towns,1,0,0,0:12:00,0:00:00,0:00:00,1,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
52200211,2022-23 Regular Season,2023-04-14,Jaylin Williams,Josh Giddey,Luguentz Dort,Jalen Williams,Shai Gilgeous-Alexander,Rudy Gobert,Anthony Edwards,Nickeil Alexander-Walker,Mike Conley,Karl-Anthony Towns,1,0,0,0:12:00,0:00:00,0:00:00,2,MIN,jump ball,,Jaylin Williams,Rudy Gobert,,,,,,,Rudy Gobert,,Anthony Edwards,,,,jump ball,,,,,,Jump Ball Gobert vs. Jay. Williams: Tip to Edwards
52200211,2022-23 Regular Season,2023-04-14,Jaylin Williams,Josh Giddey,Luguentz Dort,Jalen Williams,Shai Gilgeous-Alexander,Rudy Gobert,Anthony Edwards,Nickeil Alexander-Walker,Mike Conley,Karl-Anthony Towns,1,0,2,0:11:33,0:00:27,0:00:27,3,MIN,shot,Anthony Edwards,,,,,,,,,Nickeil Alexander-Walker,2,,,made,,floating jump shot,6,None,None,,,Alexander-Walker 6' Floating Jump Shot (2 PTS) (Edwards 1 AST)
52200211,2022-23 Regular Season,2023-04-14,Jaylin Williams,Josh Giddey,Luguentz Dort,Jalen Williams,Shai Gilgeous-Alexander,Rudy Gobert,Anthony Edwards,Nickeil Alexander-Walker,Mike Conley,Karl-Anthony Towns,1,0,2,0:11:18,0:00:42,0:00:15,4,OKC,turnover,,,,,,,,,,Josh Giddey,,,,,Nickeil Alexander-Walker,lost ball,,,,,,Alexander-Walker STEAL (1 STL): Giddey Lost Ball Turnover (P1.T1)
52200211,2022-23 Regular Season,2023-04-14,Jaylin Williams,Josh Giddey,Luguentz Dort,Jalen Williams,Shai Gilgeous-Alexander,Rudy Gobert,Anthony Edwards,Nickeil Alexander-Walker,Mike Conley,Karl-Anthony Towns,1,0,2,0:11:10,0:00:50,0:00:08,5,MIN,shot,,,,Jaylin Williams,,,,,,Anthony Edwards,0,,,missed,,driving layup,3,None,None,,,MISS Edwards 3' Driving Layup: Jay. Williams BLOCK (1 BLK)
52200211,2022-23 Regular Season,2023-04-14,Jaylin Williams,Josh Giddey,Luguentz Dort,Jalen Williams,Shai Gilgeous-Alexander,Rudy Gobert,Anthony Edwards,Nickeil Alexander-Walker,Mike Conley,Karl-Anthony Towns,1,0,2,0:11:08,0:00:52,0:00:02,6,OKC,rebound,,,,,,,,,,Jaylin Williams,,,,,,rebound defensive,,,,,,Jay. Williams REBOUND (Off:0 Def:1)
52200211,2022-23 Regular Season,2023-04-14,Jaylin Williams,Josh Giddey,Luguentz Dort,Jalen Williams,Shai Gilgeous-Alexander,Rudy Gobert,Anthony Edwards,Nickeil Alexander-Walker,Mike Conley,Karl-Anthony Towns,1,3,2,0:10:53,0:01:07,0:00:15,7,OKC,shot,Jalen Williams,,,,,,,,,Luguentz Dort,3,,,made,,3pt jump shot,,None,None,,,Dort 26' 3PT Jump Shot (3 PTS) (Jal. Williams 1 AST)
52200211,2022-23 Regular Season,2023-04-14,Jaylin Williams,Josh Giddey,Luguentz Dort,Jalen Williams,Shai Gilgeous-Alexander,Rudy Gobert,Anthony Edwards,Nickeil Alexander-Walker,Mike Conley,Karl-Anthony Towns,1,3,2,0:10:24,0:01:36,0:00:29,8,MIN,shot,,,,,,,,,,Anthony Edwards,0,,,missed,,3pt step back jump shot,,None,None,,,MISS Edwards 24' 3PT Step Back Jump Shot
52200211,2022-23 Regular Season,2023-04-14,Jaylin Williams,Josh Giddey,Luguentz Dort,Jalen Williams,Shai Gilgeous-Alexander,Rudy Gobert,Anthony Edwards,Nickeil Alexander-Walker,Mike Conley,Karl-Anthony Towns,1,3,2,0:10:21,0:01:39,0:00:03,9,OKC,rebound,,,,,,,,,,Jaylin Williams,,,,,,rebound defensive,,,,,,Jay. Williams REBOUND (Off:0 Def:2)
52200211,2022-23 Regular Season,2023-04-14,Jaylin Williams,Josh Giddey,Luguentz Dort,Jalen Williams,Shai Gilgeous-Alexander,Rudy Gobert,Anthony Edwards,Nickeil Alexander-Walker,Mike Conley,Karl-Anthony Towns,1,5,2,0:10:09,0:01:51,0:00:12,10,OKC,shot,Josh Giddey,,,,,,,,,Jalen Williams,2,,,made,,jump shot,10,None,None,,,Jal. Williams 10' Step Back Jump Shot (2 PTS) (Giddey 1 AST)
52200211,2022-23 Regular Season,2023-04-14,Jaylin Williams,Josh Giddey,Luguentz Dort,Jalen Williams,Shai Gilgeous-Alexander,Rudy Gobert,Anthony Edwards,Nickeil Alexander-Walker,Mike Conley,Karl-Anthony Towns,1,5,2,0:09:52,0:02:08,0:00:17,11,MIN,turnover,,,,,,,,,,Nickeil Alexander-Walker,,,bad pass,,Luguentz Dort,bad pass,,,,,,Alexander-Walker Bad Pass Turnover (P1.T1): Dort STEAL (1 STL)
52200211,2022-23 Regular Season,2023-04-14,Jaylin Williams,Josh Giddey,Luguentz Dort,Jalen Williams,Shai Gilgeous-Alexander,Rudy Gobert,Anthony Edwards,Nickeil Alexander-Walker,Mike Conley,Karl-Anthony Towns,1,7,2,0:09:45,0:02:15,0:00:07,12,OKC,shot,,,,,,,,,,Luguentz Dort,2,,,made,,driving reverse layup,,None,None,,,Dort Driving Reverse Layup (5 PTS)
52200211,2022-23 Regular Season,2023-04-14,Jaylin Williams,Josh Giddey,Luguentz Dort,Jalen Williams,Shai Gilgeous-Alexander,Rudy Gobert,Anthony Edwards,Nickeil Alexander-Walker,Mike Conley,Karl-Anthony Towns,1,7,2,0:09:20,0:02:40,0:00:25,13,OKC,foul,,,,,,,,Mike Conley,,Shai Gilgeous-Alexander,,,s.foul,,,shooting,,,,,,Gilgeous-Alexander S.FOUL (P1.T1) (S.Foster)
52200211,2022-23 Regular Season,2023-04-14,Jaylin Williams,Josh Giddey,Luguentz Dort,Jalen Williams,Shai Gilgeous-Alexander,Rudy Gobert,Anthony Edwards,Nickeil Alexander-Walker,Mike Conley,Karl-Anthony Towns,1,7,2,0:09:20,0:02:40,0:00:00,14,,,,,,,,,,,,,,,,,,unknown,,,,,,
52200211,2022-23 Regular Season,2023-04-14,Jaylin Williams,Josh Giddey,Luguentz Dort,Jalen Williams,Shai Gilgeous-Alexander,Rudy Gobert,Anthony Edwards,Nickeil Alexander-Walker,Mike Conley,Karl-Anthony Towns,1,7,3,0:09:20,0:02:40,0:00:00,15,MIN,free throw,,,,,,,1,,2,Mike Conley,1,,,made,,free throw 1/2,,,,,,Conley Free Throw 1 of 2 (1 PTS)
52200211,2022-23 Regular Season,2023-04-14,Jaylin Williams,Josh Giddey,Luguentz Dort,Jalen Williams,Shai Gilgeous-Alexander,Rudy Gobert,Anthony Edwards,Nickeil Alexander-Walker,Mike Conley,Karl-Anthony Towns,1,7,4,0:09:20,0:02:40,0:00:00,16,MIN,free throw,,,,,,,2,,2,Mike Conley,1,,,made,,free throw 2/2,,,,,,Conley Free Throw 2 of 2 (2 PTS)
52200211,2022-23 Regular Season,2023-04-14,Jaylin Williams,Josh Giddey,Luguentz Dort,Jalen Williams,Shai Gilgeous-Alexander,Rudy Gobert,Anthony Edwards,Nickeil Alexander-Walker,Mike Conley,Karl-Anthony Towns,1,9,4,0:09:02,0:02:58,0:00:18,17,OKC,shot,,,,,,,,,,Shai Gilgeous-Alexander,2,,,made,,fadeaway jumper,14,None,None,,,Gilgeous-Alexander 14' Fadeaway Jumper (2 PTS)
52200211,2022-23 Regular Season,2023-04-14,Jaylin Williams,Josh Giddey,Luguentz Dort,Jalen Williams,Shai Gilgeous-Alexander,Rudy Gobert,Anthony Edwards,Nickeil Alexander-Walker,Mike Conley,Karl-Anthony Towns,1,9,4,0:08:49,0:03:11,0:00:13,18,OKC,foul,,,,,,,,Rudy Gobert,,Luguentz Dort,,,s.foul,,,shooting,,,,,,Dort S.FOUL (P1.T2) (G.Petraitis)
52200211,2022-23 Regular Season,2023-04-14,Jaylin Williams,Josh Giddey,Luguentz Dort,Jalen Williams,Shai Gilgeous-Alexander,Rudy Gobert,Anthony Edwards,Nickeil Alexander-Walker,Mike Conley,Karl-Anthony Towns,1,9,5,0:08:49,0:03:11,0:00:00,19,MIN,free throw,,,,,,,1,,2,Rudy Gobert,1,,,made,,free throw 1/2,,,,,,Gobert Free Throw 1 of 2 (1 PTS)
52200211,2022-23 Regular Season,2023-04-14,Jaylin Williams,Josh Giddey,Luguentz Dort,Jalen Williams,Shai Gilgeous-Alexander,Rudy Gobert,Anthony Edwards,Nickeil Alexander-Walker,Mike Conley,Karl-Anthony Towns,1,9,6,0:08:49,0:03:11,0:00:00,20,MIN,free throw,,,,,,,2,,2,Rudy Gobert,1,,,made,,free throw 2/2,,,,,,Gobert Free Throw 2 of 2 (2 PTS)
52200211,2022-23 Regular Season,2023-04-14,Jaylin Williams,Josh Giddey,Luguentz Dort,Jalen Williams,Shai Gilgeous-Alexander,Rudy Gobert,Anthony Edwards,Nickeil Alexander-Walker,Mike Conley,Karl-Anthony Towns,1,9,6,0:08:36,0:03:24,0:00:13,21,OKC,shot,,,,,,,,,,Josh Giddey,0,,,missed,,floating jump shot,5,None,None,,,MISS Giddey 5' Floating Jump Shot
52200211,2022-23 Regular Season,2023-04-14,Jaylin Williams,Josh Giddey,Luguentz Dort,Jalen Williams,Shai Gilgeous-Alexander,Rudy Gobert,Anthony Edwards,Nickeil Alexander-Walker,Mike Conley,Karl-Anthony Towns,1,9,6,0:08:34,0:03:26,0:00:02,22,MIN,rebound,,,,,,,,,,Anthony Edwards,,,,,,rebound defensive,,,,,,Edwards REBOUND (Off:0 Def:1)
