game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
42200134,2022-23 Playoffs,2023-04-23,Jarrett Allen,Darius Garland,Caris LeVert,Donovan Mitchell,Evan Mobley,Mitchell Robinson,Julius Randle,RJ Barrett,Jalen Brunson,Josh Hart,1,0,0,0:12:00,0:00:00,0:00:00,1,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
42200134,2022-23 Playoffs,2023-04-23,Jarrett Allen,Darius Garland,Caris LeVert,Donovan Mitchell,Evan Mobley,Mitchell Robinson,Julius Randle,RJ Barrett,Jalen Brunson,Josh Hart,1,0,0,0:12:00,0:00:00,0:00:00,2,NYK,jump ball,,Jarrett Allen,Mitchell Robinson,,,,,,,Mitchell Robinson,,Julius Randle,,,,jump ball,,,,,,Jump Ball Robinson vs. Allen: Tip to Randle
42200134,2022-23 Playoffs,2023-04-23,Jarrett Allen,Darius Garland,Caris LeVert,Donovan Mitchell,Evan Mobley,Mitchell Robinson,Julius Randle,RJ Barrett,Jalen Brunson,Josh Hart,1,0,2,0:11:45,0:00:15,0:00:15,3,NYK,shot,,,,,,,,,,RJ Barrett,2,,,made,,driving layup,2,-23,-1,22.7,89.1,Barrett 2' Driving Layup (2 PTS)
42200134,2022-23 Playoffs,2023-04-23,Jarrett Allen,Darius Garland,Caris LeVert,Donovan Mitchell,Evan Mobley,Mitchell Robinson,Julius Randle,RJ Barrett,Jalen Brunson,Josh Hart,1,2,2,0:11:29,0:00:31,0:00:16,4,CLE,shot,Darius Garland,,,,,,,,,Jarrett Allen,2,,,made,,floating jump shot,6,-50,22,30.0,7.2,Allen 5' Floating Jump Shot (2 PTS) (Garland 1 AST)
42200134,2022-23 Playoffs,2023-04-23,Jarrett Allen,Darius Garland,Caris LeVert,Donovan Mitchell,Evan Mobley,Mitchell Robinson,Julius Randle,RJ Barrett,Jalen Brunson,Josh Hart,1,2,4,0:11:16,0:00:44,0:00:13,5,NYK,shot,,,,,,,,,,Jalen Brunson,2,,,made,,jump shot,17,99,143,34.9,74.7,Brunson 17' Step Back Jump Shot (2 PTS)
42200134,2022-23 Playoffs,2023-04-23,Jarrett Allen,Darius Garland,Caris LeVert,Donovan Mitchell,Evan Mobley,Mitchell Robinson,Julius Randle,RJ Barrett,Jalen Brunson,Josh Hart,1,2,4,0:11:01,0:00:59,0:00:15,6,CLE,shot,,,,,,,,,,Darius Garland,0,,,missed,,driving layup,2,-18,8,26.8,5.8,MISS Garland 2' Driving Layup
42200134,2022-23 Playoffs,2023-04-23,Jarrett Allen,Darius Garland,Caris LeVert,Donovan Mitchell,Evan Mobley,Mitchell Robinson,Julius Randle,RJ Barrett,Jalen Brunson,Josh Hart,1,2,4,0:10:59,0:01:01,0:00:02,7,NYK,rebound,,,,,,,,,,Mitchell Robinson,,,,,,rebound defensive,,,,,,Robinson REBOUND (Off:0 Def:1)
42200134,2022-23 Playoffs,2023-04-23,Jarrett Allen,Darius Garland,Caris LeVert,Donovan Mitchell,Evan Mobley,Mitchell Robinson,Julius Randle,RJ Barrett,Jalen Brunson,Josh Hart,1,2,4,0:10:56,0:01:04,0:00:03,8,NYK,shot,,,,,,,,,,Jalen Brunson,0,,,missed,,3pt running pull-up jump shot,24,161,183,41.1,70.7,MISS Brunson 24' 3PT Running Pull-Up Jump Shot
42200134,2022-23 Playoffs,2023-04-23,Jarrett Allen,Darius Garland,Caris LeVert,Donovan Mitchell,Evan Mobley,Mitchell Robinson,Julius Randle,RJ Barrett,Jalen Brunson,Josh Hart,1,2,4,0:10:52,0:01:08,0:00:04,9,NYK,rebound,,,,,,,,,,Jalen Brunson,,,,,,rebound offensive,,,,,,Brunson REBOUND (Off:1 Def:0)
42200134,2022-23 Playoffs,2023-04-23,Jarrett Allen,Darius Garland,Caris LeVert,Donovan Mitchell,Evan Mobley,Mitchell Robinson,Julius Randle,RJ Barrett,Jalen Brunson,Josh Hart,1,2,4,0:10:39,0:01:21,0:00:13,10,CLE,foul,,,,,,,,RJ Barrett,,Jarrett Allen,,,s.foul,,,shooting,,,,,,Allen S.FOUL (P1.T1) (T.Maddox)
42200134,2022-23 Playoffs,2023-04-23,Jarrett Allen,Darius Garland,Caris LeVert,Donovan Mitchell,Evan Mobley,Mitchell Robinson,Julius Randle,RJ Barrett,Jalen Brunson,Josh Hart,1,2,4,0:10:39,0:01:21,0:00:00,11,NYK,free throw,,,,,,,1,,2,RJ Barrett,0,,,missed,,free throw 1/2,,,,,,MISS Barrett Free Throw 1 of 2
42200134,2022-23 Playoffs,2023-04-23,Jarrett Allen,Darius Garland,Caris LeVert,Donovan Mitchell,Evan Mobley,Mitchell Robinson,Julius Randle,RJ Barrett,Jalen Brunson,Josh Hart,1,2,4,0:10:39,0:01:21,0:00:00,12,NYK,rebound,,,,,,,,,,,,,,,,team rebound,,,,,,KNICKS Rebound
42200134,2022-23 Playoffs,2023-04-23,Jarrett Allen,Darius Garland,Caris LeVert,Donovan Mitchell,Evan Mobley,Mitchell Robinson,Julius Randle,RJ Barrett,Jalen Brunson,Josh Hart,1,2,4,0:10:39,0:01:21,0:00:00,13,NYK,free throw,,,,,,,2,,2,RJ Barrett,0,,,missed,,free throw 2/2,,,,,,MISS Barrett Free Throw 2 of 2
42200134,2022-23 Playoffs,2023-04-23,Jarrett Allen,Darius Garland,Caris LeVert,Donovan Mitchell,Evan Mobley,Mitchell Robinson,Julius Randle,RJ Barrett,Jalen Brunson,Josh Hart,1,2,4,0:10:37,0:01:23,0:00:02,14,CLE,rebound,,,,,,,,,,,,,,,,rebound defensive,,,,,,Cavaliers Rebound
42200134,2022-23 Playoffs,2023-04-23,Jarrett Allen,Darius Garland,Caris LeVert,Donovan Mitchell,Evan Mobley,Mitchell Robinson,Julius Randle,RJ Barrett,Jalen Brunson,Josh Hart,1,2,4,0:10:22,0:01:38,0:00:15,15,CLE,shot,,,,Mitchell Robinson,,,,,,Jarrett Allen,0,,,missed,,layup,1,9,5,24.1,5.5,Robinson BLOCK (1 BLK): MISS Allen 1' Reverse Layup
42200134,2022-23 Playoffs,2023-04-23,Jarrett Allen,Darius Garland,Caris LeVert,Donovan Mitchell,Evan Mobley,Mitchell Robinson,Julius Randle,RJ Barrett,Jalen Brunson,Josh Hart,1,2,4,0:10:20,0:01:40,0:00:02,16,NYK,rebound,,,,,,,,,,Josh Hart,,,,,,rebound defensive,,,,,,Hart REBOUND (Off:0 Def:1)
42200134,2022-23 Playoffs,2023-04-23,Jarrett Allen,Darius Garland,Caris LeVert,Donovan Mitchell,Evan Mobley,Mitchell Robinson,Julius Randle,RJ Barrett,Jalen Brunson,Josh Hart,1,2,4,0:10:13,0:01:47,0:00:07,17,CLE,foul,,,,,,,,Jalen Brunson,,Darius Garland,,,p.foul,,,personal,,,,,,Garland P.FOUL (P1.T2) (S.Foster)
42200134,2022-23 Playoffs,2023-04-23,Jarrett Allen,Darius Garland,Caris LeVert,Donovan Mitchell,Evan Mobley,Mitchell Robinson,Julius Randle,RJ Barrett,Jalen Brunson,Josh Hart,1,2,4,0:09:58,0:02:02,0:00:15,18,NYK,shot,,,,,,,,,,Jalen Brunson,0,,,missed,,driving floating jump shot,9,21,88,27.1,80.2,MISS Brunson 9' Driving Floating Jump Shot
42200134,2022-23 Playoffs,2023-04-23,Jarrett Allen,Darius Garland,Caris LeVert,Donovan Mitchell,Evan Mobley,Mitchell Robinson,Julius Randle,RJ Barrett,Jalen Brunson,Josh Hart,1,2,4,0:09:57,0:02:03,0:00:01,19,NYK,rebound,,,,,,,,,,Mitchell Robinson,,,,,,rebound offensive,,,,,,Robinson REBOUND (Off:1 Def:1)
42200134,2022-23 Playoffs,2023-04-23,Jarrett Allen,Darius Garland,Caris LeVert,Donovan Mitchell,Evan Mobley,Mitchell Robinson,Julius Randle,RJ Barrett,Jalen Brunson,Josh Hart,1,2,6,0:09:55,0:02:05,0:00:02,20,NYK,shot,,,,,,,,,,Mitchell Robinson,2,,,made,,dunk,1,-12,-8,23.8,89.8,Robinson 1' Putback Dunk (2 PTS)
42200134,2022-23 Playoffs,2023-04-23,Jarrett Allen,Darius Garland,Caris LeVert,Donovan Mitchell,Evan Mobley,Mitchell Robinson,Julius Randle,RJ Barrett,Jalen Brunson,Josh Hart,1,2,6,0:09:41,0:02:19,0:00:14,21,CLE,turnover,,,,,,,,,,Caris LeVert,,,bad pass,,,bad pass,,,,,,LeVert Out of Bounds - Bad Pass Turnover Turnover (P1.T1)
42200134,2022-23 Playoffs,2023-04-23,Jarrett Allen,Darius Garland,Caris LeVert,Donovan Mitchell,Evan Mobley,Mitchell Robinson,Julius Randle,RJ Barrett,Jalen Brunson,Josh Hart,1,2,6,0:09:22,0:02:38,0:00:19,22,NYK,shot,,,,,,,,,,Julius Randle,0,,,missed,,3pt jump shot,26,-43,252,20.7,63.8,MISS Randle 26' 3PT Jump Shot
42200134,2022-23 Playoffs,2023-04-23,Jarrett Allen,Darius Garland,Caris LeVert,Donovan Mitchell,Evan Mobley,Mitchell Robinson,Julius Randle,RJ Barrett,Jalen Brunson,Josh Hart,1,2,6,0:09:20,0:02:40,0:00:02,23,CLE,rebound,,,,,,,,,,Caris LeVert,,,,,,rebound defensive,,,,,,LeVert REBOUND (Off:0 Def:1)
42200134,2022-23 Playoffs,2023-04-23,Jarrett Allen,Darius Garland,Caris LeVert,Donovan Mitchell,Evan Mobley,Mitchell Robinson,Julius Randle,RJ Barrett,Jalen Brunson,Josh Hart,1,4,6,0:09:08,0:02:52,0:00:12,24,CLE,shot,Caris LeVert,,,,,,,,,Donovan Mitchell,2,,,made,,layup,4,5,36,24.5,8.6,Mitchell 4' Driving Finger Roll Layup (2 PTS) (LeVert 1 AST)
42200134,2022-23 Playoffs,2023-04-23,Jarrett Allen,Darius Garland,Caris LeVert,Donovan Mitchell,Evan Mobley,Mitchell Robinson,Julius Randle,RJ Barrett,Jalen Brunson,Josh Hart,1,4,6,0:08:49,0:03:11,0:00:19,25,CLE,foul,,,,,,,,RJ Barrett,,Caris LeVert,,,s.foul,,,shooting,,,,,,LeVert S.FOUL (P1.T3) (T.Maddox)
42200134,2022-23 Playoffs,2023-04-23,Jarrett Allen,Darius Garland,Caris LeVert,Donovan Mitchell,Evan Mobley,Mitchell Robinson,Julius Randle,RJ Barrett,Jalen Brunson,Josh Hart,1,4,7,0:08:49,0:03:11,0:00:00,26,NYK,free throw,,,,,,,1,,2,RJ Barrett,1,,,made,,free throw 1/2,,,,,,Barrett Free Throw 1 of 2 (3 PTS)
42200134,2022-23 Playoffs,2023-04-23,Jarrett Allen,Darius Garland,Caris LeVert,Donovan Mitchell,Evan Mobley,Mitchell Robinson,Julius Randle,RJ Barrett,Jalen Brunson,Josh Hart,1,4,8,0:08:49,0:03:11,0:00:00,27,NYK,free throw,,,,,,,2,,2,RJ Barrett,1,,,made,,free throw 2/2,,,,,,Barrett Free Throw 2 of 2 (4 PTS)
42200134,2022-23 Playoffs,2023-04-23,Jarrett Allen,Darius Garland,Caris LeVert,Donovan Mitchell,Evan Mobley,Mitchell Robinson,Julius Randle,RJ Barrett,Jalen Brunson,Josh Hart,1,4,8,0:08:36,0:03:24,0:00:13,28,CLE,turnover,,,,,,,,,,Evan Mobley,,,traveling,,,traveling,,,,,,Mobley Traveling Turnover (P1.T2)
42200134,2022-23 Playoffs,2023-04-23,Jarrett Allen,Darius Garland,Caris LeVert,Donovan Mitchell,Evan Mobley,Mitchell Robinson,Julius Randle,RJ Barrett,Jalen Brunson,Josh Hart,1,4,8,0:08:18,0:03:42,0:00:18,29,NYK,shot,,,,,,,,,,Jalen Brunson,0,,,missed,,3pt step back jump shot,25,126,220,37.6,67.0,MISS Brunson 25' 3PT Step Back Jump Shot
42200134,2022-23 Playoffs,2023-04-23,Jarrett Allen,Darius Garland,Caris LeVert,Donovan Mitchell,Evan Mobley,Mitchell Robinson,Julius Randle,RJ Barrett,Jalen Brunson,Josh Hart,1,4,8,0:08:16,0:03:44,0:00:02,30,NYK,rebound,,,,,,,,,,Mitchell Robinson,,,,,,rebound offensive,,,,,,Robinson REBOUND (Off:2 Def:1)
42200134,2022-23 Playoffs,2023-04-23,Jarrett Allen,Darius Garland,Caris LeVert,Donovan Mitchell,Evan Mobley,Mitchell Robinson,Julius Randle,RJ Barrett,Jalen Brunson,Josh Hart,1,4,8,0:08:12,0:03:48,0:00:04,31,NYK,shot,,,,,,,,,,Julius Randle,0,,,missed,,3pt jump shot,25,214,127,46.400000000000006,76.3,MISS Randle 25' 3PT Jump Shot
42200134,2022-23 Playoffs,2023-04-23,Jarrett Allen,Darius Garland,Caris LeVert,Donovan Mitchell,Evan Mobley,Mitchell Robinson,Julius Randle,RJ Barrett,Jalen Brunson,Josh Hart,1,4,8,0:08:10,0:03:50,0:00:02,32,CLE,rebound,,,,,,,,,,Darius Garland,,,,,,rebound defensive,,,,,,Garland REBOUND (Off:0 Def:1)
42200134,2022-23 Playoffs,2023-04-23,Jarrett Allen,Darius Garland,Caris LeVert,Donovan Mitchell,Evan Mobley,Mitchell Robinson,Julius Randle,RJ Barrett,Jalen Brunson,Josh Hart,1,6,8,0:08:03,0:03:57,0:00:07,33,CLE,shot,Donovan Mitchell,,,,,,,,,Evan Mobley,2,,,made,,dunk,0,0,5,25.0,5.5,Mobley 1' Running Dunk (2 PTS) (Mitchell 1 AST)
42200134,2022-23 Playoffs,2023-04-23,Jarrett Allen,Darius Garland,Caris LeVert,Donovan Mitchell,Evan Mobley,Mitchell Robinson,Julius Randle,RJ Barrett,Jalen Brunson,Josh Hart,1,6,10,0:07:45,0:04:15,0:00:18,34,NYK,shot,,,,,,,,,,Jalen Brunson,2,,,made,,jump shot,13,44,120,29.4,77.0,Brunson 13' Step Back Jump Shot (4 PTS)
42200134,2022-23 Playoffs,2023-04-23,Jarrett Allen,Darius Garland,Caris LeVert,Donovan Mitchell,Evan Mobley,Mitchell Robinson,Julius Randle,RJ Barrett,Jalen Brunson,Josh Hart,1,6,10,0:07:30,0:04:30,0:00:15,35,CLE,shot,,,,,,,,,,Donovan Mitchell,0,,,missed,,jump shot,15,-17,148,26.7,19.8,MISS Mitchell 15' Pullup Jump Shot
42200134,2022-23 Playoffs,2023-04-23,Jarrett Allen,Darius Garland,Caris LeVert,Donovan Mitchell,Evan Mobley,Mitchell Robinson,Julius Randle,RJ Barrett,Jalen Brunson,Josh Hart,1,6,10,0:07:28,0:04:32,0:00:02,36,NYK,rebound,,,,,,,,,,Jalen Brunson,,,,,,rebound defensive,,,,,,Brunson REBOUND (Off:1 Def:1)
42200134,2022-23 Playoffs,2023-04-23,Jarrett Allen,Darius Garland,Caris LeVert,Donovan Mitchell,Evan Mobley,Mitchell Robinson,Julius Randle,RJ Barrett,Jalen Brunson,Josh Hart,1,6,10,0:07:17,0:04:43,0:00:11,37,NYK,shot,,,,,,,,,,Julius Randle,0,,,missed,,driving layup,3,25,8,27.5,88.2,MISS Randle 3' Driving Layup
42200134,2022-23 Playoffs,2023-04-23,Jarrett Allen,Darius Garland,Caris LeVert,Donovan Mitchell,Evan Mobley,Mitchell Robinson,Julius Randle,RJ Barrett,Jalen Brunson,Josh Hart,1,6,10,0:07:15,0:04:45,0:00:02,38,CLE,rebound,,,,,,,,,,Evan Mobley,,,,,,rebound defensive,,,,,,Mobley REBOUND (Off:0 Def:1)
42200134,2022-23 Playoffs,2023-04-23,Jarrett Allen,Darius Garland,Caris LeVert,Donovan Mitchell,Evan Mobley,Mitchell Robinson,Julius Randle,RJ Barrett,Jalen Brunson,Josh Hart,1,6,10,0:06:55,0:05:05,0:00:20,39,CLE,shot,,,,,,,,,,Evan Mobley,0,,,missed,,hook shot,4,-7,41,25.7,9.100000000000001,MISS Mobley 4' Driving Hook Shot
42200134,2022-23 Playoffs,2023-04-23,Jarrett Allen,Darius Garland,Caris LeVert,Donovan Mitchell,Evan Mobley,Mitchell Robinson,Julius Randle,RJ Barrett,Jalen Brunson,Josh Hart,1,6,10,0:06:53,0:05:07,0:00:02,40,NYK,rebound,,,,,,,,,,Julius Randle,,,,,,rebound defensive,,,,,,Randle REBOUND (Off:0 Def:1)
42200134,2022-23 Playoffs,2023-04-23,Jarrett Allen,Darius Garland,Caris LeVert,Donovan Mitchell,Evan Mobley,Mitchell Robinson,Julius Randle,RJ Barrett,Jalen Brunson,Josh Hart,1,6,10,0:06:46,0:05:14,0:00:07,41,NYK,turnover,,,,,,,,,,Julius Randle,,,,,Jarrett Allen,lost ball,,,,,,Randle Lost Ball Turnover (P1.T1): Allen STEAL (1 STL)
42200134,2022-23 Playoffs,2023-04-23,Jarrett Allen,Darius Garland,Caris LeVert,Donovan Mitchell,Evan Mobley,Mitchell Robinson,Julius Randle,RJ Barrett,Jalen Brunson,Josh Hart,1,8,10,0:06:40,0:05:20,0:00:06,42,CLE,shot,,,,,,,,,,Donovan Mitchell,2,,,made,,layup,1,-5,3,25.5,5.3,Mitchell 1' Running Layup (4 PTS)
42200134,2022-23 Playoffs,2023-04-23,Jarrett Allen,Darius Garland,Caris LeVert,Donovan Mitchell,Evan Mobley,Mitchell Robinson,Julius Randle,RJ Barrett,Jalen Brunson,Josh Hart,1,8,13,0:06:17,0:05:43,0:00:23,43,NYK,shot,Julius Randle,,,,,,,,,Josh Hart,3,,,made,,3pt jump shot,23,-234,11,1.5999999999999979,87.9,Hart 3PT Jump Shot (3 PTS) (Randle 1 AST)
42200134,2022-23 Playoffs,2023-04-23,Jarrett Allen,Darius Garland,Caris LeVert,Donovan Mitchell,Evan Mobley,Mitchell Robinson,Julius Randle,RJ Barrett,Jalen Brunson,Josh Hart,1,10,13,0:05:54,0:06:06,0:00:23,44,CLE,shot,Darius Garland,,,,,,,,,Evan Mobley,2,,,made,,hook shot,5,26,42,22.4,9.2,Mobley 5' Turnaround Hook Shot (4 PTS) (Garland 2 AST)
42200134,2022-23 Playoffs,2023-04-23,Jarrett Allen,Darius Garland,Caris LeVert,Donovan Mitchell,Evan Mobley,Mitchell Robinson,Julius Randle,RJ Barrett,Jalen Brunson,Josh Hart,1,10,15,0:05:37,0:06:23,0:00:17,45,NYK,shot,Jalen Brunson,,,,,,,,,RJ Barrett,2,,,made,,driving reverse layup,2,-16,4,23.4,88.6,Barrett 2' Driving Reverse Layup (6 PTS) (Brunson 1 AST)
42200134,2022-23 Playoffs,2023-04-23,Jarrett Allen,Darius Garland,Caris LeVert,Donovan Mitchell,Evan Mobley,Mitchell Robinson,Julius Randle,RJ Barrett,Jalen Brunson,Josh Hart,1,10,15,0:05:37,0:06:23,0:00:00,46,CLE,timeout,,,,,,,,,,,,,,,,timeout: regular,,,,,,Cavaliers Timeout: Regular (Reg.1 Short 0)
42200134,2022-23 Playoffs,2023-04-23,Jarrett Allen,Darius Garland,Cedi Osman,Donovan Mitchell,Evan Mobley,Mitchell Robinson,Julius Randle,RJ Barrett,Jalen Brunson,Josh Hart,1,10,15,0:05:37,0:06:23,0:00:00,47,CLE,substitution,,,,,Cedi Osman,Caris LeVert,,,,Caris LeVert,,,,,,sub,,,,,,SUB: Osman FOR LeVert
42200134,2022-23 Playoffs,2023-04-23,Jarrett Allen,Darius Garland,Cedi Osman,Donovan Mitchell,Evan Mobley,Mitchell Robinson,Julius Randle,RJ Barrett,Jalen Brunson,Josh Hart,1,10,15,0:05:21,0:06:39,0:00:16,48,CLE,turnover,,,,,,,,,,Donovan Mitchell,,,bad pass,,Jalen Brunson,bad pass,,,,,,Brunson STEAL (1 STL): Mitchell Bad Pass Turnover (P1.T3)
42200134,2022-23 Playoffs,2023-04-23,Jarrett Allen,Darius Garland,Cedi Osman,Donovan Mitchell,Evan Mobley,Mitchell Robinson,Julius Randle,RJ Barrett,Jalen Brunson,Josh Hart,1,10,17,0:05:18,0:06:42,0:00:03,49,NYK,shot,Jalen Brunson,,,,,,,,,Josh Hart,2,,,made,,layup,2,2,16,25.2,87.4,Hart 2' Running Layup (5 PTS) (Brunson 2 AST)
