game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
42200105,2022-23 Playoffs,2023-04-26,Bam Adebayo,Jimmy Butler,Gabe Vincent,Kevin Love,Max Strus,Brook Lopez,Jrue Holiday,Grayson Allen,Khris Middleton,Giannis Antetokounmpo,1,0,0,0:12:00,0:00:00,0:00:00,1,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
42200105,2022-23 Playoffs,2023-04-26,Bam Adebayo,Jimmy Butler,Gabe Vincent,Kevin Love,Max Strus,Brook Lopez,Jrue Holiday,Grayson Allen,Khris Middleton,Giannis Antetokounmpo,1,0,0,0:12:00,0:00:00,0:00:00,2,MIL,jump ball,,Bam Adebayo,Brook Lopez,,,,,,,Brook Lopez,,Jrue Holiday,,,,jump ball,,,,,,Jump Ball Lopez vs. Adebayo: Tip to Holiday
42200105,2022-23 Playoffs,2023-04-26,Bam Adebayo,Jimmy Butler,Gabe Vincent,Kevin Love,Max Strus,Brook Lopez,Jrue Holiday,Grayson Allen,Khris Middleton,Giannis Antetokounmpo,1,0,0,0:11:54,0:00:06,0:00:06,3,MIL,shot,,,,,,,,,,Jrue Holiday,0,,,missed,,3pt running jump shot,25,234,80,48.400000000000006,81.0,MISS Holiday 25' 3PT Running Jump Shot
42200105,2022-23 Playoffs,2023-04-26,Bam Adebayo,Jimmy Butler,Gabe Vincent,Kevin Love,Max Strus,Brook Lopez,Jrue Holiday,Grayson Allen,Khris Middleton,Giannis Antetokounmpo,1,0,0,0:11:52,0:00:08,0:00:02,4,MIA,rebound,,,,,,,,,,Jimmy Butler,,,,,,rebound defensive,,,,,,Butler REBOUND (Off:0 Def:1)
42200105,2022-23 Playoffs,2023-04-26,Bam Adebayo,Jimmy Butler,Gabe Vincent,Kevin Love,Max Strus,Brook Lopez,Jrue Holiday,Grayson Allen,Khris Middleton,Giannis Antetokounmpo,1,0,0,0:11:40,0:00:20,0:00:12,5,MIA,shot,,,,,,,,,,Gabe Vincent,0,,,missed,,layup,5,44,29,20.6,7.9,MISS Vincent 5' Driving Finger Roll Layup
42200105,2022-23 Playoffs,2023-04-26,Bam Adebayo,Jimmy Butler,Gabe Vincent,Kevin Love,Max Strus,Brook Lopez,Jrue Holiday,Grayson Allen,Khris Middleton,Giannis Antetokounmpo,1,0,0,0:11:37,0:00:23,0:00:03,6,MIL,rebound,,,,,,,,,,Grayson Allen,,,,,,rebound defensive,,,,,,Allen REBOUND (Off:0 Def:1)
42200105,2022-23 Playoffs,2023-04-26,Bam Adebayo,Jimmy Butler,Gabe Vincent,Kevin Love,Max Strus,Brook Lopez,Jrue Holiday,Grayson Allen,Khris Middleton,Giannis Antetokounmpo,1,0,0,0:11:26,0:00:34,0:00:11,7,MIL,jump ball,,Gabe Vincent,Khris Middleton,,,,,,,Khris Middleton,,Grayson Allen,,,,jump ball,,,,,,Jump Ball Middleton vs. Vincent: Tip to Allen
42200105,2022-23 Playoffs,2023-04-26,Bam Adebayo,Jimmy Butler,Gabe Vincent,Kevin Love,Max Strus,Brook Lopez,Jrue Holiday,Grayson Allen,Khris Middleton,Giannis Antetokounmpo,1,0,2,0:11:23,0:00:37,0:00:03,8,MIL,shot,Khris Middleton,,,,,,,,,Giannis Antetokounmpo,2,,,made,,dunk,3,1,27,25.1,86.3,G. Antetokounmpo 3' Alley Oop Dunk (2 PTS) (Middleton 1 AST)
42200105,2022-23 Playoffs,2023-04-26,Bam Adebayo,Jimmy Butler,Gabe Vincent,Kevin Love,Max Strus,Brook Lopez,Jrue Holiday,Grayson Allen,Khris Middleton,Giannis Antetokounmpo,1,2,2,0:11:11,0:00:49,0:00:12,9,MIA,shot,,,,,,,,,,Gabe Vincent,2,,,made,,driving floating jump shot,10,-51,89,30.1,13.9,Vincent 10' Driving Floating Jump Shot (2 PTS)
42200105,2022-23 Playoffs,2023-04-26,Bam Adebayo,Jimmy Butler,Gabe Vincent,Kevin Love,Max Strus,Brook Lopez,Jrue Holiday,Grayson Allen,Khris Middleton,Giannis Antetokounmpo,1,2,2,0:10:56,0:01:04,0:00:15,10,MIA,foul,,,,,,,,Brook Lopez,,Kevin Love,,,p.foul,,,personal,,,,,,Love P.FOUL (P1.T1) (S.Wright)
