game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
42200223,2022-23 Playoffs,2023-05-05,Nikola Jokic,Michael Porter Jr.,Aaron Gordon,Jamal Murray,Kentavious Caldwell-Pope,Deandre Ayton,Cameron Payne,Kevin Durant,Devin Booker,Josh Okogie,1,0,0,0:12:00,0:00:00,0:00:00,1,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
42200223,2022-23 Playoffs,2023-05-05,Nikola Jokic,Michael Porter Jr.,Aaron Gordon,Jamal Murray,Kentavious Caldwell-Pope,Deandre Ayton,Cameron Payne,Kevin Durant,Devin Booker,Josh Okogie,1,0,0,0:12:00,0:00:00,0:00:00,2,PHX,jump ball,,Nikola Jokic,Deandre Ayton,,,,,,,Deandre Ayton,,Cameron Payne,,,,jump ball,,,,,,Jump Ball Ayton vs. Jokic: Tip to Payne
42200223,2022-23 Playoffs,2023-05-05,Nikola Jokic,Michael Porter Jr.,Aaron Gordon,Jamal Murray,Kentavious Caldwell-Pope,Deandre Ayton,Cameron Payne,Kevin Durant,Devin Booker,Josh Okogie,1,0,0,0:11:39,0:00:21,0:00:21,3,PHX,shot,,,,,,,,,,Kevin Durant,0,,,missed,,jump shot,18,103,153,35.3,73.7,MISS Durant 18' Pullup Jump Shot
42200223,2022-23 Playoffs,2023-05-05,Nikola Jokic,Michael Porter Jr.,Aaron Gordon,Jamal Murray,Kentavious Caldwell-Pope,Deandre Ayton,Cameron Payne,Kevin Durant,Devin Booker,Josh Okogie,1,0,0,0:11:36,0:00:24,0:00:03,4,DEN,rebound,,,,,,,,,,Michael Porter Jr.,,,,,,rebound defensive,,,,,,Porter Jr. REBOUND (Off:0 Def:1)
42200223,2022-23 Playoffs,2023-05-05,Nikola Jokic,Michael Porter Jr.,Aaron Gordon,Jamal Murray,Kentavious Caldwell-Pope,Deandre Ayton,Cameron Payne,Kevin Durant,Devin Booker,Josh Okogie,1,0,0,0:11:26,0:00:34,0:00:10,5,DEN,shot,,,,,,,,,,Aaron Gordon,0,,,missed,,fadeaway jumper,8,1,75,24.9,12.5,MISS Gordon 8' Fadeaway Jumper
42200223,2022-23 Playoffs,2023-05-05,Nikola Jokic,Michael Porter Jr.,Aaron Gordon,Jamal Murray,Kentavious Caldwell-Pope,Deandre Ayton,Cameron Payne,Kevin Durant,Devin Booker,Josh Okogie,1,0,0,0:11:24,0:00:36,0:00:02,6,PHX,rebound,,,,,,,,,,Kevin Durant,,,,,,rebound defensive,,,,,,Durant REBOUND (Off:0 Def:1)
42200223,2022-23 Playoffs,2023-05-05,Nikola Jokic,Michael Porter Jr.,Aaron Gordon,Jamal Murray,Kentavious Caldwell-Pope,Deandre Ayton,Cameron Payne,Kevin Durant,Devin Booker,Josh Okogie,1,0,2,0:11:19,0:00:41,0:00:05,7,PHX,shot,,,,,,,,,,Cameron Payne,2,,,made,,layup,6,-40,44,21.0,84.6,Payne 6' Running Layup (2 PTS)
42200223,2022-23 Playoffs,2023-05-05,Nikola Jokic,Michael Porter Jr.,Aaron Gordon,Jamal Murray,Kentavious Caldwell-Pope,Deandre Ayton,Cameron Payne,Kevin Durant,Devin Booker,Josh Okogie,1,0,2,0:11:04,0:00:56,0:00:15,8,PHX,foul,,,,,,,,Michael Porter Jr.,,Devin Booker,,,p.foul,,,personal,,,,,,Booker P.FOUL (P1.T1) (Z.Zarba)
42200223,2022-23 Playoffs,2023-05-05,Nikola Jokic,Michael Porter Jr.,Aaron Gordon,Jamal Murray,Kentavious Caldwell-Pope,Deandre Ayton,Cameron Payne,Kevin Durant,Devin Booker,Josh Okogie,1,0,2,0:10:55,0:01:05,0:00:09,9,DEN,turnover,,,,,,,,,,Michael Porter Jr.,,,bad pass,,Devin Booker,bad pass,,,,,,Booker STEAL (1 STL): Porter Jr. Bad Pass Turnover (P1.T1)
42200223,2022-23 Playoffs,2023-05-05,Nikola Jokic,Michael Porter Jr.,Aaron Gordon,Jamal Murray,Kentavious Caldwell-Pope,Deandre Ayton,Cameron Payne,Kevin Durant,Devin Booker,Josh Okogie,1,0,4,0:10:49,0:01:11,0:00:06,10,PHX,shot,,,,,,,,,,Devin Booker,2,,,made,,jump shot,12,17,116,26.7,77.4,Booker 12' Running Pull-Up Jump Shot (2 PTS)
42200223,2022-23 Playoffs,2023-05-05,Nikola Jokic,Michael Porter Jr.,Aaron Gordon,Jamal Murray,Kentavious Caldwell-Pope,Deandre Ayton,Cameron Payne,Kevin Durant,Devin Booker,Josh Okogie,1,2,4,0:10:30,0:01:30,0:00:19,11,DEN,shot,Nikola Jokic,,,,,,,,,Jamal Murray,2,,,made,,jump shot,14,140,25,11.0,7.5,Murray 14' Step Back Jump Shot (2 PTS) (Jokic 1 AST)
42200223,2022-23 Playoffs,2023-05-05,Nikola Jokic,Michael Porter Jr.,Aaron Gordon,Jamal Murray,Kentavious Caldwell-Pope,Deandre Ayton,Cameron Payne,Kevin Durant,Devin Booker,Josh Okogie,1,2,6,0:10:22,0:01:38,0:00:08,12,PHX,shot,Cameron Payne,,,,,,,,,Josh Okogie,2,,,made,,driving layup,6,-34,49,21.6,84.1,Okogie 6' Driving Layup (2 PTS) (Payne 1 AST)
42200223,2022-23 Playoffs,2023-05-05,Nikola Jokic,Michael Porter Jr.,Aaron Gordon,Jamal Murray,Kentavious Caldwell-Pope,Deandre Ayton,Cameron Payne,Kevin Durant,Devin Booker,Josh Okogie,1,4,6,0:10:11,0:01:49,0:00:11,13,DEN,shot,Nikola Jokic,,,,,,,,,Jamal Murray,2,,,made,,driving floating jump shot,8,-28,79,27.8,12.9,Murray 8' Driving Floating Jump Shot (4 PTS) (Jokic 2 AST)
42200223,2022-23 Playoffs,2023-05-05,Nikola Jokic,Michael Porter Jr.,Aaron Gordon,Jamal Murray,Kentavious Caldwell-Pope,Deandre Ayton,Cameron Payne,Kevin Durant,Devin Booker,Josh Okogie,1,4,8,0:09:55,0:02:05,0:00:16,14,PHX,shot,,,,,,,,,,Devin Booker,2,,,made,,jump shot,19,-99,167,15.1,72.3,Booker 19' Pullup Jump Shot (4 PTS)
42200223,2022-23 Playoffs,2023-05-05,Nikola Jokic,Michael Porter Jr.,Aaron Gordon,Jamal Murray,Kentavious Caldwell-Pope,Deandre Ayton,Cameron Payne,Kevin Durant,Devin Booker,Josh Okogie,1,6,8,0:09:38,0:02:22,0:00:17,15,DEN,shot,,,,,,,,,,Jamal Murray,2,,,made,,jump shot,16,6,159,24.4,20.9,Murray 16' Step Back Jump Shot (6 PTS)
42200223,2022-23 Playoffs,2023-05-05,Nikola Jokic,Michael Porter Jr.,Aaron Gordon,Jamal Murray,Kentavious Caldwell-Pope,Deandre Ayton,Cameron Payne,Kevin Durant,Devin Booker,Josh Okogie,1,6,8,0:09:26,0:02:34,0:00:12,16,PHX,shot,,,,,,,,,,Kevin Durant,0,,,missed,,jump shot,9,36,79,28.6,81.1,MISS Durant 9' Pullup Jump Shot
42200223,2022-23 Playoffs,2023-05-05,Nikola Jokic,Michael Porter Jr.,Aaron Gordon,Jamal Murray,Kentavious Caldwell-Pope,Deandre Ayton,Cameron Payne,Kevin Durant,Devin Booker,Josh Okogie,1,6,8,0:09:21,0:02:39,0:00:05,17,DEN,rebound,,,,,,,,,,Nikola Jokic,,,,,,rebound defensive,,,,,,Jokic REBOUND (Off:0 Def:1)
42200223,2022-23 Playoffs,2023-05-05,Nikola Jokic,Michael Porter Jr.,Aaron Gordon,Jamal Murray,Kentavious Caldwell-Pope,Deandre Ayton,Cameron Payne,Kevin Durant,Devin Booker,Josh Okogie,1,6,8,0:09:11,0:02:49,0:00:10,18,DEN,shot,,,,,,,,,,Aaron Gordon,0,,,missed,,driving layup,2,12,10,23.8,6.0,MISS Gordon 2' Driving Layup
42200223,2022-23 Playoffs,2023-05-05,Nikola Jokic,Michael Porter Jr.,Aaron Gordon,Jamal Murray,Kentavious Caldwell-Pope,Deandre Ayton,Cameron Payne,Kevin Durant,Devin Booker,Josh Okogie,1,6,8,0:09:10,0:02:50,0:00:01,19,DEN,rebound,,,,,,,,,,Jamal Murray,,,,,,rebound offensive,,,,,,Murray REBOUND (Off:1 Def:0)
42200223,2022-23 Playoffs,2023-05-05,Nikola Jokic,Michael Porter Jr.,Aaron Gordon,Jamal Murray,Kentavious Caldwell-Pope,Deandre Ayton,Cameron Payne,Kevin Durant,Devin Booker,Josh Okogie,1,6,8,0:09:10,0:02:50,0:00:00,20,DEN,shot,,,,,,,,,,Jamal Murray,0,,,missed,,layup,1,-12,8,26.2,5.8,MISS Murray 1' Tip Layup Shot
